beds:health_specialty:intensive_care_medicine,health_specialty:neurology,amenity,bicycle,health_specialty:clinical_pathology,opening_hours:emergency,health_specialty:intensive_care_medicine,health_specialty:gynaecology,health_specialty:emergency_medicine,health_specialty:paediatric_intensive_care_medicine,surface,lon,health_specialty:diabetology,email,wikidata,alt_name,operator,emergency:paediatric,opening_hours:surgery,health_specialty:medical_microbiology,addr:housenumber,health_specialty:cardiology,health_specialty:audiology,short_name,description:sv,health_specialty:cardiothoracic_surgery,health_specialty:family_medicine,contact:phone,wikipedia,health_specialty:ear_nose_throat,health_specialty:intensive,source,health_specialty:dermatology,segregated,health_specialty:anaesthesiology,start_date,healthcare:speciality,operator:type,addr:street,contact:website,highway,health_specialty:transfusion_medicine,website,fax,loc_name,description,emergency,brand,opening_hours,health_specialty:infectiology,health_specialty:neurosurgery,phone,health_specialty:orthopaedics,ownership,old_name,foot,name:sv,hospital,lat,health_specialty:haematology,name,building,name:fi,name:en,health_specialty:paediatrics,health_specialty:vascular_surgery,oneway:bicycle,health_specialty:endocrinology,addr:postcode,wheelchair,health_specialty:hepatology,health_specialty:general_surgery,addr:city,aeroway,health_specialty:surgery,healthcare,health_specialty:radiology,toilets:wheelchair,health_specialty:ophthalmology,health_specialty:oncology,addr:country,health_specialty:urology
,,hospital,,,,yes,,yes,,,18.0527941,,,Q1509325,,,yes,,,,,,,,,yes,,sv:Södersjukhuset,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,59.3108115,,Södersjukhuset,,Eteläsairaala,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,17.6335201,,,,,Stockholms Landsting,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,59.1999784,,Södertälje sjukhus,,,,,,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,12.8497664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2373297,,Södra sjukhusområdet,,,,,,,,,,,,,,,,,,,,,
6,,hospital,,,,yes,,yes,,,13.0013835,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.liv.se/Om-Landstinget-i-Varmland/Halsa-vard-och-patientinformation/Sjukhus-i-Varmland/Sjukhuset-i-Torsby/,,,,yes,,24/7,,,,yes,,,,,,60.1372025,,Torsby sjukhus,,,,,,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,11.9264746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3564508,,Uddevalla sjukhus,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,15.6245181,,,Q6554447,,Region Östergötland,,,,,,,,,yes,yes,,sv:Universitetssjukhuset i Linköping,,,,,,,,,,,,,,,,,,yes,,24/7,,yes,,,,,,,,58.4002105,,Universitetssjukhuset i Linköping,,,,,yes,,,,,,,,,yes,hospital,,,,,,
,,hospital,,,,yes,,yes,,,15.2216943,,,,,Region Örebro Län,,,,,,,,,yes,yes,,,,,,,,,,,,Södra Grev Rosengatan,,,,https://www.regionorebrolan.se/uso/,,,,yes,,24/7,,,+46 19-6021000,yes,,,,,,59.2754291,,Universitetssjukhuset Örebro,,,,yes,yes,,,,yes,,,,,yes,,,,,,,
,yes,hospital,,yes,,yes,yes,yes,,,18.3009211,yes,,,,,,,yes,5,yes,yes,,,,yes,,,yes,,Bing,yes,,yes,,,,S:t Göransgatan,,,yes,https://www.gotland.se/visbylasarett,,,,yes,,24/7,yes,,+46 498 269000,yes,,,,,,57.6502119,yes,Visby Lasarett,,,,yes,yes,,yes,621 84,,yes,yes,Visby,,yes,,yes,,yes,yes,SE,yes
,,hospital,,,,,,,,,14.0314829,,,Q7944365,,Jönköpings läns landsting,,,,,,,,,,,,sv:Värnamo sjukhus,,,,,,,,general;surgery;orthopaedics;family_medicine;emergency,,,,,,,,,,yes,,24/7,,,,,,,,,,57.1757549,,Värnamo sjukhus,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,16.6321999,,,,,Landstinget Kalmar Län,,,,48,,,,,,yes,,,,,,,,,,,,Östra Kyrkogatan,,,,,,,,yes,,24/7,,,,yes,,,,,yes,57.7546007,,Västerviks sjukhus,,,,,yes,,,59330,,,,Västervik,,yes,hospital,,,,,,
,,hospital,,,,yes,,yes,,,16.5884702,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,http://www.ltv.se/Halsa_och_vard/vardcentraler-och-mottagningar/sjukhus1/vastmanlands-sjukhus-vasteras/,,,,yes,,24/7,,,,yes,,,,,,59.6149082,,Västerås Centrallasarett,,,,,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,15.8094664,,,,,Region Västmanland,,,,1,,,,,,,,,,,,,,,,,,Floravägen,,,,,,,,,,,,,,,,Bergslagssjukhuset,,,,59.9958624,,Västmanlands sjukhus Fagersta,,,,,,,,73742,,,,Fagersta,,,,,,,,,
,,hospital,,,,,,,,,16.6025209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9244286,,Västmanlands sjukhus Sala,yes,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,16.4606078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,58.9884607,,Vårdhem,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,16.0454828,,alvgarden@stat-inst.se,,,"SiS,Statens institutionsstyrelse",,,,4,,,,,,,,,,,,,,,,,,Älvgården,,,,https://www.stat-inst.se/alvgarden,+46 10 453 70 10,,"LVM-hem Älvgården SiS LVM-hem Älvgården i Hedemora tar emot män med alkohol-, narkotika- eller blandmissbruk, i kombination med psykisk störning.",no,,,,,+46 10 453 70 00,,,,,,,60.3486055,,Älvgården,,,,,,,,776 90,,,,Hedemora,,,,,,,,SE,
,,hospital,,,24/7,yes,,yes,,,18.7075338,,,Q21979793,,,,24/7,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,Mo-Th 07:00-16:30; Fr 07:00-16:00,,,,yes,,,,,,63.3005306,,Örnsköldsviks sjukhus,,,,yes,,,,,,,,,,yes,,,,,,,
,,hospital,,,24/7,yes,,yes,,,14.6328219,,,,,,,https://www.regionjh.se/halsaochsjukvard/hittavard/ostersundssjukhus.4.632d0e0a1545e3686a15b2.html,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,Mo-Su 06:00-22:00,,,,yes,,,,,,63.1835873,,Östersunds sjukhus,,,,yes,yes,,,,yes,,,,,yes,,,,,,,
