health_facility:type,healthcare:speciality,building:part,social_facility,payment:cash,housenumer,addr:housenumber,description,fenced,addr:state,ele,source,covered,image,fax,emergency,jastrzebiegis:opis,contact:facebook,leisure,historic,addr:street,fixme,name:en,contact:fax,name,designation,website:operator,addr:postcode,ref:nid,name:etymology:wikidata,internet_access,int_name,fence,ewmapa:warstwa,parking,loc_name,name:ru,building:fireproof,phone_1,note:official_name,wikipedia,access,mapillary,operator:centre,boundary,addr:street:sym_ul,ref,email,fixme2,barrier,contact:email,addr:province,jastrzebiegis:id,phone1,addr:city:simc,source:geometry,addr:city,building:use:pl,toilets:wheelchair,source_ref,building:type:pl,lon,contact:website,roof:colour,layer,height,email_1,alt_name,construction_date,operator,name:pl,name:de,boat,fee,protect_class,heritage:since,opening_hours,contact:phone,addr:housename,contact:mobile,heritage,start_date,website,addr:province:en,phone,old_name,smoking,aeroway,dispensing,note:name,landuse,roof:levels,amenity,operator:type,reg_name,addr:suburb,official_name,wikidata,waterway,short_name,building:levels,note,building:usage:pl,data_zmiany,source:addr,building:material,addr:full,fence_type,lat,medical_system:western,building,building:colour,url,wheelchair,addr:place,healthcare,addr:country,heritage:operator
,,,,,,,,,,,,,,,,,,,,,,,,Opolskie Centrum Onkologii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9369398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.6723787,,,,,,,,,
,,,,,,1B,,,,,,,,,no,,,,,Plac Ratuszowy,,,,"Osrodek zdrowia, przychodnia lekarska",,,43-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łaziska Górne,,,,,18.8397024,,,,,,,,Proelmed,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.1502017,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Ośrodek Diagnostyczno-Leczniczy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4828394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.1350706,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Ośrodek Kardiologii Inwazyjnej IKARDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2077706,,,,,,,,,,,,,,,,,,,,,http://szpital.ikardia.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.2845881,,,,,,,hospital,,
,,,,,,27,,,,,,,,,,,,,,Nowowiejska,,,,Ośrodek Leczenia Specjalistycznego,,,00-665,,,,,,,,,,,,,,,,,,14495,,,,,,,,,0918123,,Warszawa,,,,,21.0082314,http://www.szpitalnowowiejski.pl/index.php?option=com_content&task=view&id=25&Itemid=28,,,,,,,,,,,,,,,+48 22 8252031,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,mapa.um.warszawa.pl,,,,52.2199317,,hospital,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Ośrodek Pediatryczny im. dr J. Korczaka - Wojewódzki Szpital Specjalistyczny im. M.Kopernika w Łodzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4841195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.7582325,,,,,,,,,
,,,,,,71,,,,,,,,,yes,,,,hospital,Aleja Marszałka Józefa Piłsudskiego,,,,Ośrodek Pediatryczny im. dr. Janusza Korczaka,,,,A/336,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łódź,,,,,19.4840198,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,hospital,,,,,,,,2,,,,EMUiA (emuia.geoportal.gov.pl),,,,51.7611942,,hospital,,,,,,,nid
,,,,,,42,,,,,,,,,,,,,,Dolna,,,,Ośrodek Psychiatryczny,,,00-774,,,,,,,,,,,,,,,,,,04034,,,,,,,,,0918123,,Warszawa,,,,,21.0257103,,,,,,,,,,,,,,,,,,,,,http://www.szpitalnowowiejski.pl,,,,,,,,,,hospital,,,,Samodzielny Wojewódzki Zespół Publicznych Zakładów Psychiatrycznej Opieki Zdrowotnej w Warszawie,,,,,,,,mapa.um.warszawa.pl,,,,52.2004304,,yes,,,,,,,
,,,,,,5,,,,,,,,,no,,,,,Stanisława Konarskiego,,Dega Rehabilitation Centre,,Ośrodek Rehabilitacji im. Prof. Dr Wiktora Degi,,,59-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zgorzelec,,,,,15.0067908,,,,,,,,Wielospecjalistyczny Szpital SPZOZ w Zgorzelcu,,Rehabilitationszentrum Professor Dr. Wiktor Dega,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.1463865,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Ośrodek Rehabilitacyjno-Reumatologiczny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9792152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.9372259,,,,,,,,,
,,,,,,23,,,,,,,,,,,,,,Mossego,,,,Ośrodek Zdrowia,,,62-065,,,,,,,,,,,,,,,,,,,,,,,,,,,0970810,,Grodzisk Wielkopolski,,,,,16.3696575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,EMUiA (grodziskwielkopolski.e-mapa.net),,,,52.2279694,,yes,,,,,,,
,,,,,,795,,,,,,,,,no,,,,,,,,,Ośrodek Zdrowia,,,36-047,,,,,,,,,,,,,,,,,,,,,,,,,,,0645056,,,,,,,21.8741571,,,,,,,,,Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,2012-01-10 12:12:53,boguchwala.e-mapa.net,,,,49.9963735,,yes,,,,Niechobrz,,,
,,,,,,,,,,,,,,,no,,,,,Ludowa,,,,Ośrodek Zdrowia,,,33-380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krynica-Zdrój,,,,,20.9543762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.3970575,,yes,,,,,,,
,,,,,,45,,,,,,,,,,,,,,Augustowska,,,,Ośrodek Zdrowia,,,16-310,,,,,,,,,,,,,,,,,,00493,,,,,,,,,0769960,,Sztabin,,,,,23.0957768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,sztabin.e-mapa.net,,,,53.6846098,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5903152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.7614387,,,,,,,,,
,,,,,,29,,,,,,,,,,,,,,Główna,,,,Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,05635,,,,,,,,,0832835,,Koszyce Małe,,,,,20.9469114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,emuia.gugik.gov.pl,,,,49.9690734,,yes,,,,,,,
,,,,,,70,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,33-112,,,,,,,,,,,,,,,,,,,,,,,,,,,0832947,,,,,,,20.9906953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,emuia.gugik.gov.pl,,,,49.9705079,,yes,,,,Nowodworze,,,
,,,,,,9,,,,,,,,,,,,,,Garwolińska,,,,Ośrodek Zdrowia,,,08-412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borowie,,,,,21.7687628,,,,,,,,,,,,,,,,,,,,,,,+48 25 685 90 29,,,,,,,,hospital,,,,,,,,,,,,,,,,51.9489385,,yes,,,,,,,
,,,,,,17,,,,,,,,,no,,,,,Józefa Piłsudskiego,,,,Ośrodek Zdrowia,,,39-432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gorzyce,,,,,21.8398540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,gorzycetarnobrzeskie.e-mapa.net,,,,50.6628807,,hospital,,,,,,,
,,,,,,427,,,,,,,,,no,,,,,,,,,Ośrodek Zdrowia,,,37-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2392420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,rakszawa.e-mapa.net,,,,50.1595382,,,,,,Rakszawa,,,
,,,,,,4,,,,,,,,,,,,,,Radzyńska,,,,Ośrodek Zdrowia,,,86-320,,,,,,,,,,,,,,,,,,18375,,,,,,,,,0983557,,Łasin,,,,,19.0812354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,emuia.gugik.gov.pl,,,,53.5174671,,yes,,,,,,,
,,,,,,5,,,,,Starostwo Powiatowe w Wieruszowie,,,,,,,,,Szkolna,,,,"Ośrodek Zdrowia ""Domestica""",,,98-410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czastary,,,,,18.3236492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,czastary.e-mapa.net,,,,51.2590559,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Bukowej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2029210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.8637729,,yes,,,,,,,
,,,,,,1A,,,,,,,,,,,,,,Wyzwolenia,,,,Ośrodek Zdrowia w Krzyżanowicach,,,47-450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krzyżanowice,,,,,18.2692767,,,,,,,,,,,,,,,,,,,,,,,+4832 419 40 22,,,,,,,,hospital,,,,,,,,,,,,,,,,49.9821412,,yes,,,,,,,
,,,,,,858,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Przysietnicy,,,36-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0466012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,,49.7191169,,yes,,,,Przysietnica,,,
,,,,,,1,,,,,,,,,,,,,,Leśna,,,,Ośrodek Zdrowia w Rutce-Tartak,,,16-406,,,,,,,,,,,,,,,,,,10898,,,,,,,,,0767470,,Rutka-Tartak,,,,,22.9709955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,rutkatartak.e-mapa.net,,,,54.3214913,,,,,,,hospital,,
,,,,,,15,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Tuczępach,,,28-142,,,,,,,,,,,,,,,,,,,,,,,,,,,0275560,,,,,,,20.9922258,,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Tuczępach,,,,,,,,,,,,,,hospital,,,,,,,,,,,,emuia.gugik.gov.pl,,,,50.5162447,,yes,,,,Tuczępy,,,
,,,,,,,,,,,"addr: EMUiA (emuia.geoportal.gov.pl), photo: geoportal i kalibrowany bing",,,,,,,,,,,,,Ośrodek zdrowia,,,37-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2299912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.0138249,,yes,,,,Albigowa,,,
,,,,,,,,,,,,,,,no,,,,,,,,,Ośrodek zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6314663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.5624136,,,,,,,,,
,,,,,,10/12,,,,,,,,,no,,,,,Jana Kilińskiego,,,,Pabian-Med,,,95-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pabianice,,,,,19.3548004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.6603221,,yes,,,,,,,
,,,,,,60,,,,,,,,,,,,,,Wiejska,,,,Pabianickie Centrum Psychiatryczne,,,95-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pabianice,,,,,19.3302534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,,51.6503986,,yes,,,,,,,
,general,,,,,30,,,,,,,,,yes,,,,,Szpitalna,,,,Pałuckie Centrum Zdrowia SZPITAL,,,88-400,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,Żnin,,,,,17.7179887,,,,,,,,Powiat Żnin,,,,,,,,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,,,,,52.8471996,,,,,,,hospital,,
,gynaecology;emergency;internal;surgery;endocrynology,,,,,11,,,,,,,,,yes,,,,,Szpitalna,,,,Piekarskie Centrum Medyczne,,,41-940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piekary Śląskie,,,,,18.9524166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.3745234,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,yes,,https://www.facebook.com/pages/Pleszewskie-Centrum-Medyczne-w-Pleszewie/127083997324626,,,,,,,Pleszewskie Centrum Medyczne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7643519,,,,,,,,,,,,,,,,,,,,,http://www.szpitalpleszew.pl/,,+48627420900,,,,,,,,hospital,,,,,,,PCM,,,,,,,,,51.8986911,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Podhalański Szpital Specjalistyczny im. Jana Pawła II w Nowym Targu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0306161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.4875435,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Pogotowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0213049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.6201304,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pogotowie Ratunkowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9970674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.0343853,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pogotowie Ratunkowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6405346,,#696969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,1,,,,,,,,51.3404151,,yes,,,,,,,
,,,,,,8,,,,,,,,,,,,,,Wąska,,,,Pogotowie Ratunkowe w Łomży,,,18-400,,,,,,,,,,,,,,,,,,23795,,,,,,,,,0957241,,Łomża,,,,,22.0815210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,mlomza.e-mapa.net,,,,53.1730830,,yes,,,,,,,
,,,,,,1,,,,,,,,,,,,,,Szosa Zambrowska,,,,Pogotowie Ratunkowe w Łomży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łomża,,,,,22.0814395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,,53.1732612,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pogotowie ratunkowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9356510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.9712971,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Poliklinika MSW, Zespół Lecznictwa Psychiatrycznego",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4831587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.7956023,,,,,,,,,
,,,,,,,,,,,MPZP,,,,,,,,,,,,,Poliklinika MSWiA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5548295,,,,,,,,,,,,,,,,,,,,,,,+48 81 5285595,,,,,,,,hospital,,,,,,,,,,,,,,,,51.2497286,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Polmedic - Centrum Medyczne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1621522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.3812803,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pomorskie Centrum Chorób Zakaźnych i Gruźlicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6153392,,,,,,,,Szpitale Pomorskie Sp. z o.o.,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,54.3629107,,,,,,,hospital,,
,,,,,,,,,,,,,,,no,,,,,Szpitalna,,,,Pomorskie Centrum Rehabilitacji - Szpital w Dzierżążnie,,,83-332,,,,,,,,,,,,,,,,,,22073,,,,,,,,,0163104,,Dzierżążno,,,,,18.2610104,,,,,,,,,,,,,,,,,Pomorskie Centrum Rehabilitacji - Szpital w Dzierżążnie,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,54.3297463,,,,,yes,,,,
,,,,,,9,,,,,,,,,,,,,,Tadeusza Kościuszki,,,,"Poradnia ""Salus""",,,59-400,,,,,,,,,,,,,,,,,,09582,,,,,,,,,,,Jawor,,,,,16.1959494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.0477615,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Poradnia rehabilitacyjna,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,20.0230104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.5287901,,,,,,,,,
,,,,,,3,,,,,,,,,,,,,,Franklina Roosevelta,,,,Powiatowe Centrum Matki i Dziecka,,,97-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piotrków Trybunalski,,,,,19.6909399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.4008518,,,,,,,hospital,,
,,,,,,105/106,,,,,,,,,yes,,,,,Aleja Armii Krajowej,,,,Powiatowe Centrum Zdrowia,,,82-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malbork,,,,,19.0222245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,54.0315709,,hospital,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,Gustawa Morcinka,,,,Powiatowe Centrum Zdrowia,,,59-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lwówek Śląski,,,,,15.5863659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.1119210,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,+48 77 417 35 12,Powiatowe Centrum Zdrowia S.A.,,,,,,,,,,,,,,,,,,,,,,,,,fence,sekretariat@pczszpitalkluczbork.pl,,,,,,,,,,,18.2163277,,,,,,,,Starostwo Kluczbork,,,,,,,,+48 77 417 35 00,,,,,http://www.pczszpitalkluczbork.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.9664533,,,,,,,,,
,,,,,,9,,,,,,,,,,,,,,Niepodległości,,,,Powiatowy Szpital Pomocy Maltańskiej,,,11-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barczewo,,,,,20.6952972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.8293093,,yes,,,,,,,
,,,,,,18,,,,,,,,,yes,,,,,Juliusza Słowackiego,,,,Powiatowy Szpital w Aleksnadrowie Kujawskim,,,87-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandrów Kujawski,,,,,18.6968919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.8742131,,yes,,,,,,PL,
,,,,,,,,,,,,,,,,,,,,,,,,Powiatowy Szpital w Iławie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5646436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.5852161,,,,,,,,,
,,,,,,,,,,,,,,,yes,,,,,,,,,Powiatowy Zespół Opieki Zdrowotnej w Ostródzie S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9744278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.6931711,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Powiatowy Zespół Szpitali im. Józefa Dietla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3901236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.2091144,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Powiatowy Zespół Zakładów Opieki Zdrowotnej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1313763,,,,,,Szpital Powiatowy,,,,,,,,,,,,,,,http://pzzoz.bedzin.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.3249260,,,,,,,hospital,,
,,,,,,40,,,,,Starostwo Powiatowe Będzin,,,,,,,,,Szpitalna,,,,Powiatowy Zespół Zakładów Opieki Zdrowotnej w Będzinie - Szpital w Czeladzi,,,41-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czeladź,"Szpital lub zakład opieki medycznej, socjalnej",,,,19.0760773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,4,,,,,,,,50.3269768,,healthcare,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Prosektorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0366755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.3538186,,yes,,,,,,,
,,,,,,19,,,,,,,,,,,,,,Stefana Batorego,,,,Prywatna Klinika ADO MED 2,,,41-500,,,,,,,,,,,,,,,,,,,,adomed2@adomed2.com.pl,,,,,,,,,Chorzów,,,,,18.9393923,,,,,,,,,,,,,,,,,,,,,http://adomed2.com.pl,,+48 32 247-00-29,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2735559,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Prywatna Klinika Chirurgii i Medycyny Estetycznej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4691694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.1355439,,,,,,,,,
,,,,,,3,,,,,,,,,,,,,,Łubinowa,,,,Prywatny Szpital Położniczo Ginekologiczny,,,40-647,,,,,,,,,,,,,,,,,,,,szpital@narodziny.com.pl,,,,,,,,,Katowice,,,,,18.9898269,,,,,,,,,,,,,,,,,,,,,http://www.narodziny.com.pl/,,+48 32 2025521,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2058505,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Przychodnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9264158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.3830561,,,,,,,,,
,,,,,,26,,,,,,,,,,,,,,Kardynała Stefana Wyszyńskiego,,,,Przychodnia,,,89-634,,,,,,,,,,,,,,,,,,25107,,,,,,,,,0079912,,Leśno,,,,,17.7041539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,brusy.e-mapa.net,,,,53.9473922,,yes,,,,,,,
,,,,,,2,,,Warmińsko-Mazurskie,,,,,,,,,,,Tadeusza Kościuszki,,,,Przychodnia,,,14-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ostróda,,,,,19.9635316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.6967740,,yes,,,,,,PL,
,,,,,,9,,,,,,,,,no,,,,,Koźmińska,,,,"Przychodnia ""Centrum""",,,98-290,,,,,,,,,,,,,,,,,,09760,,,,,,,,,0976557,,Warta,,,,,18.6194006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,warta.e-mapa.net,,,,51.7106244,,yes,,,,,,,
,,,,,,1,,,,,,,,,no,,,,,Popioły,,,,"Przychodnia ""Medyk""",,,98-290,,,,,,,,,,,,,,,,,,17154,,,,,,,,,0976557,,Warta,,,,,18.6211807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,warta.e-mapa.net,,,,51.7045636,,yes,,,,,,,
,,,,,,6,,,,,,,,,,,,,,Gimnazjalna,,,,Przychodnia Lekarska,,,63-430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odolanów,,,,,17.6597261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,odolanow.e-mapa.net,,,,51.5783718,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Przychodnia NFZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8526310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.6335118,,,,,,,,,
,,,,,,12,,,,,Starostwo Powiatowe Będzin,,,,,,,,,Szkolna,,,,Przychodnia NZOZ PRIMUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Szpital lub zakład opieki medycznej, socjalnej",,,,19.1944151,,,,,,,,,,,,,,,,,"Przychodnia NZOZ ""Primus""",,,,,,,,,,,,,,hospital,,,,,,,,1,,,,,,,,50.4992360,,healthcare,,,,,,,
,,,,,,7,,,,,,,,,no,,,,,Plac Mariacki,,,,Przychodnia Pod Klasztorem,,,37-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4064781,,,,,,,,,,,,,,,,,,,,,http://www.przychodniapodklasztorem.pl,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2697608,,yes,,,,,,,
,,,,,,1,,,,,UM Kielce,,,,,,,,,Prezydenta Stefana Artwińskiego,,,,Przychodnia Przyszpitalna,,,25-734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kielce,,,,,20.6032438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,2,,,,,,,,50.8711846,,yes,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Przychodnia Rejonowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7344213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.4865369,,hospital,,,,,,,
,,,,,,15,,,,,,,,,yes,,,,,Mieczysława Niedziałkowskiego,,,,Przychodnia Rejonowa,,,42-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zawiercie,,,,,19.4284561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.4900575,,yes,,,yes,,,,
