amenity,contact:phone,operator:type,amenity_1,lon,contact:website,alt_name,operator,addr:housenumber,addr:postcode:source,barrier,is_in:country,building:levels,opening_hours,is_in:city,addr:housename,name:de,access,source,is_in:county,opening_hours:url,healthcare:speciality,addr:street,email,website,wheelchair,description,emergency,contact:email,is_in:country_code,phone,levels,lat,addr:city,building,source:name,name:en,contact:fax,name,level,addr:postcode,roof:levels,start_date,healthcare,addr:country
clinic,,,,21.3075447,,,,2-4,,,,,,,,,,,,,,Strada Andreyi Karoly,,,,,,,,,,46.1834173,Arad,yes,,,,Policlinica Județeană,,,,,,
clinic,,,,25.8072088,,,,,,,,,,,,,,,,,,,,,,,no,,,,,46.3506006,,,,,,Policlinica Județeană Harghita,,,,,,
clinic,,,,26.0852584,,Centrul Medical de Diagnostic și Tratament Ambulatoriu Academician Stefan Milcu,,24-28,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Grigore Cobălcescu,,,,,,,,,,44.4382081,București,yes,,,,Policlinica MAPN,,010195,,,clinic,RO
clinic,,,,22.6558337,,,,,,fence,,,,,,,private,,,,,,,,,,,,,,,44.6390741,,,,,,Policlinica Medchim,,,,,,
clinic,,,,21.3212875,,,,45,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Bulevardul Revoluției,,,,,,,,,,46.1793999,Arad,yes,,,,Policlinica Municipală,,310181,,,,
clinic,,,,28.6376444,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1723363,,yes,,,,Policlinica Nr.2,,,,,clinic,
clinic,,,,26.0532567,,,,15,,,,2,,,,,,,,,,Strada Pajurei,,,,,no,,,,,44.4833291,București,yes,,,,Policlinica Pajura,,013185,,,clinic,
clinic,,,,26.0725370,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4253641,,yes,,,,Policlinica Panduri,,,,,,
clinic,,,,21.2318907,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7415569,,yes,,,,Policlinica Praxis,,,,,,
clinic,,,,23.6104309,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7788320,Cluj-Napoca,yes,,,,Policlinica Radusan,,,,,,RO
clinic,,,,26.0582992,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4468582,,hospital,,,,Policlinica Regie,,,,,,
clinic,,,,23.7440379,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0997905,,yes,,,,Policlinica Segarcea,,,,,clinic,
clinic,,public,,23.7444509,,,Ministerul Sanatatii,41,,,,,,,,,,,,,general,Strada Unirii,,,,,,,,,,44.0994463,Segarcea,yes,,,,Policlinica Segarcea,,205400,,,clinic,RO
clinic,,,,21.2397407,,,,1,,,,,,,,,,,,,,Aleea Studenților,,,,,,,,,,45.7494404,Timișoara,yes,,,,Policlinica Studențească,,300551,,,clinic,
clinic,,,,26.1646840,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4210023,,,,,,Policlinica Titan,,,,,clinic,
clinic,,,,21.2984348,,,,42,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Constantin Brâncuși,,,,,,,,,,46.1931639,Arad,yes,,,,Policlinica Vlaicu,,310389,,,,
clinic,,,,28.6429327,,,,83,,,,4,Mo-Fr 07:00-19:00; Sa 08:00-14:00,,,,,,,,,Strada Ștefan cel Mare,,,,,,,,,,44.1753103,Constanța,yes,,,,Policlinica cu Plată,,,,,clinic,
clinic,,,,21.2210263,,,,3,,,,,,,,,,,,,,Strada Iosif Nemoianu,,,,,,,,,,45.7545346,,yes,,,,Policlinica de Copii,,,,,,
clinic,,,,24.8757041,,,,,,,,,,,,,,,,,general,Bulevardul I. C. Brătianu,,,,,,,,,,44.8577766,Pitești,yes,,,,Policlinica nr. 2,,,,,clinic,
clinic,,,,23.6421417,,,,7-9A,,,,,"Mo,We 14:00-17:00",,,,,,,,,Strada Blajului,,,no,,,,,,,46.7843954,Cluj-Napoca,house,,,,Pr. Theodora,,,,,,
clinic,,,,26.1102561,,,,2,,,,,,,,,,,,,,Strada Iarba Câmpului,,,,,,,,,,44.3869317,București,yes,,,,Qmed,,041553,,,,
clinic,,,,26.0895412,,,,240,,,,3,,,,,,,,,,Calea Dorobanților,,,,,,,,,,44.4648352,București,yes,,,,Regina Maria,,010587,0,,clinic,
clinic,+4021 9268,,,28.6431347,,,,16A-16B,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,"survey, Bing, local info",,,,Bulevardul Mamaia,,https://www.reginamaria.ro/,,,,,,,,44.1826498,Constanța,yes,,,,Regina Maria,,900673,,,,
clinic,,,,28.6463848,,,,208,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,24/7,,,,,,,,,Bulevardul Mamaia,,https://www.reginamaria.ro/policlinici-si-imagistica/policlinica-pentru-copii-delfinariu/descriere,,,,,,,,44.2018802,Constanța,yes,,,,Regina Maria - Policlinica pentru copii Delfinariu,,900540,,,,
clinic,,,,23.7976241,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3061340,,yes,,,,Renamed,,,,,clinic,
clinic,,,,22.6610232,,,,,,fence,,,,,,,private,,,,,,,http://www.renamedfarma.ro/index.php?id=severin_renamed_medical_service_II,,,,,,,,44.6250223,,,,,,Renamed Medical Service II - centrul de dializă,,,,,,
clinic,,,,21.2368808,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7887504,,yes,,,,Revive Medical,,,,,clinic,
clinic,,,,26.0824888,,,,,,,,5,,,,,,survey,,,,,,,,,,,,,,44.4503271,București,yes,,,,Sanador corp A - Clinica pediatrie,,,1,,,
clinic,,,,26.0816058,,,,,,,,5,,,,,,survey,,,,,,,,,,,,,,44.4500771,București,yes,,,,Sanador corp B - Clinică,,,1,,,
clinic,,,,28.6053456,,,,34,,,,,,,,,,,,,,Strada Doctor Victor Climescu,,,,,,,,,,44.0500197,Techirghiol,yes,,,,Sanatoriul balnear si de recuperare Techirghiol,,906100,,,,
clinic,,,,25.5351958,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4162857,,yes,,,,Sanatoriul balneoclimateric pentru copii Bușteni,,,,,,
clinic,0269 244999,,,24.1562148,http://www.sanostar.ro,,,23,,,Romania,,,Sibiu,,,,,Sibiu,,,Strada Călugăreni,,,,,,,RO,,,45.7851738,,yes,,,0269 244999,SanoStar,,,,,,
clinic,,,,28.6304827,,,,6,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Aleea Portului Nou,,http://www.spitalulconstanta.ro/sectia-clinica-dermatovenerologie-sectie-exterioara/,,,,,,,,44.1614765,Constanța,yes,,,,Secția Clinică de Dermatovenerologie,,900125,,,,RO
clinic,,,,21.3072212,,,,2-4,,,,,,,,,,,,,,Strada Andreyi Karoly,,,,,,,,,,46.1831337,Arad,yes,,,,Serviciul Județean de Medicină Legală,,,,,,
clinic,,,,21.2195830,,,,113,,,,,,,,,,,,,paediatrics;gynaecology;maternity;surgery,Calea Aradului,receptie@spitalpremiere.ro,https://www.spitalpremiere.ro/,,,,,,+40 356 900,,45.7794417,Timișoara,yes,,,,Spitalul Premiere,,,,,clinic,
clinic,,,,26.0545067,,,,25,,,,,,,,,,,,,,"Strada Pascal Cristian, Inginer",,,,,,,,,,44.4491557,București,yes,,,,Spitalul Sf. Stelian,,060221,,,clinic,
clinic,,,,23.8150286,,,,97,,,,,,,,,,,,,,Calea București,,,,,,,,,,44.3173637,Craiova,yes,,,,Stomatologie,,200473,,,,RO
clinic,,,,22.6571450,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6245132,,commercial,,,,Sănătatea,,,,,clinic,
clinic,,,,26.0686863,,,,200A,,,,3,,,,,,survey,,,,Splaiul Independenței,,,,,,,,,,44.4397791,București,yes,,,,Theranova,,060057,,,clinic,
clinic,,,,26.1736029,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4220116,,yes,,,,Titan neuro-clinic,,,,,,
clinic,0269 210219,,,24.1547431,http://www.visamedica.ro,,,28,,,Romania,,,Sibiu,,,,,Sibiu,,,Strada General Magheru,,,,,,office@visamedica.ro,RO,,,45.7976246,,yes,,,,VISA Medica,,550185,,,,
clinic,,,,28.6457394,,,,57,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Căiuți,,,,,,,,,,44.2058038,Constanța,yes,,,,Visa Med,,900553,,,,
clinic,,,,23.8098237,,,,100,,,,,,,,,,,,,,Strada Anul 1848,,,,,,,,,,44.3058138,Craiova,yes,,,,Vitaplus Medical,,,,,clinic,
