health_facility:type,shop,addr:city:it,building:part,indoor,payment:debit_cards,rooms,addr:housenumber,healthcare:speciality,name:de,source,ref:msal,it:fvg:ctrn:code,fax,fixme,addr:street,contact:facebook,contact:fax,addr:city,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,payment:contactless,roof:orientation,payment:mastercard,addr:street:it,name:it,payment:maestro,brand:wikidata,tipologia,stato,ref,email,barrier,contact:email,name:sc,roof:shape,building:use,min_level,addr:inclusion,toilets:wheelchair,payment:cards,drive_through,lon,contact:website,roof:colour,layer,height,uploaded_by,operator,brand:wikipedia,ref:vatin,area,opening_hours,contact:phone,addr:housename,name,addr:city:de,start_date,website,addr:unit,brand,phone,smoking,room,it:fvg:ctrn:revision,buildingpart,dispensing,source:url,landuse,wheelchair,amenity,PRO_COM,addr:suburb,official_name,COMUNE,building:levels,note,ref:datiopen,description,max_level,addr:street:de,payment:visa,levels,lat,building,building:colour,roof:levels,addr:interpolation,addr:place,healthcare,addr:country
,,,,,,,1,,,,,,,,Piazza Borsellino,,,Samone,,10010,,,,,,,,,,,,,,farmacia15@asmvenaria.it,,,,,,,,,,no,7.8458899,,,,,,Farmacie ASM Venaria,,,,"Mo-Fr 08:30-12:30,15:30-19:30; Sa 08:30-12:30, 15:30-19:00; Su, PH off",,,Farmacia Comunale 15,,,http://www.farmacieasm.it/samone/,,,+39 0125 53512,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.4491099,yes,,,,,pharmacy,
,,,,,,,2,,,,,,,,Via Valletta,,,Saronno,,21047,,,,,,,,,,,,,,farmacie@saronnoservizi.it,,,,,,,,,,,9.0273680,,,,,,,,,,,,,Farmacia Comunale 2,,,https://www.saronnoservizi.it/saronno/farmacie/farmacia-2/,,,+39 02 9622159,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6307173,public,,,,,pharmacy,IT
,,,,,,,131/133,,,,,,,,Via Filippo Turati,,,Monterotondo,,00015,,,,,,,,,,,,,,,,,,,,,,,,,12.5967624,,,,,,Azienda Pluriservizi Monterotondo,,,,,,,Farmacia Comunale 3,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,42.0617953,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0242031,,,,,,Multiservizi Caerite S.p.A.,,,,,,,Farmacia Comunale 4,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,42.0128791,yes,,,,,,
,,,,,,,60,,,,,,,,Via Avis,,,Cereta,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6409151,,,,,,,,,,,,,Farmacia Comunale Cereta,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.3036747,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2441950,,,,,,,,,,,,,Farmacia Comunale di Bovezzo,,,,,,,,,,,,,,yes,pharmacy,,,,,,,,,,,,,45.5914313,yes,,,,,,
,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,8.9475221,,,,,,,,,,,+39 0331 491970,,Farmacia Comunale di Parabiago,,,http://www.farmaciacomunalediparabiago.it/,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5513063,,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,10.9572007,,,,,,,,,,,,,Farmacia Comunale i Portali,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,44.6438469,,,,,,,
,,,,,,,703,,,,,,,,Via Livornese,,,Pisa,,56122,,,,,,,,,,,,,,,,,,,,,,,,no,10.3664375,,,,,,,,,,,,,Farmacia Conticini,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,43.6880569,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1608890,,,,,,,,,,,,,Farmacia Cooperativa,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,40.0100217,,,,,,,
,,,,,,,,,,,,,,,Corso Gregorio Staglianò,,,Chiaravalle Centrale,,88064,,,,,,,,,,,,,,,,,,,,,,,,,16.4135685,,,,,,,,,,,,,Farmacia Corapi,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,38.6819024,yes,,,,,,
,,,,,,,6,,,,,,,,Via Padre Cesare Albisetti,,,Terno d'Isola,,24030,,,,,,,,,,,,,,,,,,,,,,,,,9.5301952,,,,,,,,,,"Mo-Fr 09:00-13:00,15:30-19:30",,,Farmacia Corbellini,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6874898,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1437546,,,,,,,,,,,,,Farmacia Corbellini Graziella,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6346990,yes,,,,,,
,,,,,,,375,,,,,,,,Via Roma,,,Dragoni,,81010,,,,,,,,,,,,,,,,,,,,,,,,,14.3072568,,,,,,,,,,,,,Farmacia D'Aloia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,41.2728718,,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4183350,,,,,,,,,,,,,Farmacia D'Igea,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,43.7104543,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2062944,,,,,,,,,,,,,Farmacia Dei Platani,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,40.9807619,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,Via Risorgimento,,,Colazza,,28010,,,,,,,,,,,,,,,,,,,,,,,,,8.4975308,,,,,,,,,,,,,Farmacia Delia,,,,9,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.7913012,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,Corso Guglielmo Marconi,,,Gravellona Toce,,28883,,,,,,,,,,,,,,,,,,,,,,,,,8.4374443,,,,,,,,,,,,,Farmacia Di Gravellona Toce,,,,32,,+39 0323 840945,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.9303371,yes,,,,,pharmacy,
,,,,,,,1667,,,Regione Emilia Romagna,,,,,Via Emilia Ponente,,,Cesena,,47522,,,,,,,,,,,,,,,,,,,,,,,,,12.2087969,,,,,,,,,,,,,Farmacia Diegaro,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,44.1477868,yes,,,,,pharmacy,
,,,,,,,70,,,,,,,,Corso Piave,,,Alba,,12051,,,,,,,,,,,,,,,,,,,,,,,,,8.0234812,,,,3,,,,,,,,,Farmacia Divin Maestro,,,,,,+39 0173 288764,,,,,yes,,,,pharmacy,,,,,1,,,,,,,,44.6920803,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2085023,,,,,,,,,,,,,Farmacia Domenici Robertucci,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,43.7238294,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4641851,,,,,,,,,,,,,Farmacia Dott. Guggi,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.1883452,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6788842,,,,,,,,,,,,,Farmacia Dott.Ssa Nocella Edi,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,42.1530411,yes,,,,,pharmacy,
,,,,,,,184,,,,,,,,Via Sulcitana,,,Elmas,,09030,,,,,,,,,,,,,,,,,,,,,,,,,9.0423353,,,,,,,,,,,,,Farmacia Dott.ssa Marchese,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,39.2704520,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0444477,,,,,,,,,,,,,Farmacia Dott.ssa Marinoni,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5596300,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1615927,,,,,,,,,,,,,Farmacia Dottor Congedi,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,40.0166654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8868718,,,,,,,,,,,,,Farmacia Dottor Pellegrino Salvatore,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,41.8343779,commercial,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3806296,,,,,,,,,,,,,Farmacia Dr. Del Vento,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,41.1512014,yes,,,,,,
,,,,,,,3,,,,,,,,Via Vincenzo Gioberti,,,Acerra,,80011,,,,,,,,,,,,,,,,,,,,,,,,,14.3685758,,,,,,Farmacia Dr. La Montagna Vincenzo,,,,,,,Farmacia Dr. La Montagna Vincenzo,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,40.9393694,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2704612,,,,,,,,,,,,,Farmacia Dr. Rabozzi,,,,,,+39 015 76 20 82,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6530619,yes,,,,,,
,,,,,,,21,,,,,,,,Via Monte San Calogero,,,,,90146,,,,,,,,,,,,,,,,,,,,,,,,,13.3260671,,,,,,,,,,,,,Farmacia Dr.Domenico Vetro,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,38.1530906,yes,,,,,,
,,,,,,,9,,,,13161,,,,Via Marchese Bernardini,,,Arnesano,,73010,,,,,,,,,,,,,,,,,,,,,,,,,18.0913870,,,,,,Farmacia Dr.ssa Maria Stefanizzo & Co. s.n.c.,,IT04928730755,,,,,Farmacia Dr.ssa Maria Stefanizzo,,,,,,,,,,,,,,,pharmacy,,,,,1,,,,,,,,40.3360678,yes,,,,,,
,,,,,,,3,,,,,,,,Via Argolide,,+39 0933 824872,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2175715,,,,,,,,IT01363000850,,,+39 0933 937540,,Farmacia Eleusi,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,37.0794660,,,,,,pharmacy,
,,,,,,,,,,,,,,Se qualcuno possiede immagini più recenti provveda collocarla nel punto corretto.,Strada statale Sud Occidentale Sicula,,,Ciuccafa,,92014,,,,,,,,,,,,,,,,,,,,,,,,,13.5118226,,,,,,,,,,"Mo-Fr 09:00-14:00, 16:00-20:30; Sa 09:00-13:00, 16:00-20:30",,,Farmacia Empedocle,,,,,,+39 0922 691507,,,,,yes,,,,pharmacy,,,,,,,,,,,,,37.2934208,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2104835,,,,,,,,,,,,,Farmacia Erbetta,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6751278,yes,,,,,,
,,,,,,,,,,,,,,,Viale della Repubblica,,,Poggio Picenze,,67026,,,,,,,,,,,,,,,,,,,,,,,,,13.5460987,,,,,,,,,,,,,Farmacia Eredi Campanale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,42.3218708,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8654548,,,,,,,,,,,,,Farmacia Eredi Mazza,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,43.8025352,yes,,,,,,
,,,,,,,4,,,,,,,,Via Eduardo De Filippo,,,Rocchetta a Volturno,,86070,,,,,,,,,,,,,,,,,,,,,,,,,14.0854694,,,,,,Dr. Faralli Carmine,,,,,,,Farmacia Faralli,,,,,,,,,,,,,,,pharmacy,,,,,2,,,,,,,,41.6233714,yes,,,,,,
,,,,,,,,,,,,,,,Piazza Vittorio Veneto,,,Marano Ticino,,28040,,,,,,,,,,,,,,,,,,,,,,,,,8.6312446,,,,,,,,,,,,,Farmacia Fatigato,,,,1,,+39 0321 976664,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6302118,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9133526,,,,,,Federici,,,,,,,Farmacia Federici,,,,,,,,,,,,,,yes,pharmacy,,,,,3,,,,,,,,44.1160176,yes,,,,,,
,,,,,,,,,,,,,,,,https://www.facebook.com/Farmacia-Ferralasco-Zerfaliu-570936966388858/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7081251,,,,,,,,,,"Mo-Sa 09:00-13:00,16:30-19:30",+39 0783 27 137,,Farmacia Ferralasco,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,39.9586203,commercial,,,,,,
,,,,,,,,,,,,,,,,,,Marotta,,61037,roof_tiles,,,,,,,,,,,,,,,,,hipped,,,,,,,13.1375904,,,,,,,,,,,,,Farmacia Fumarola,,,,,,,no,,,,,,,,pharmacy,,,,,2,,,,,,,,43.7689975,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8443871,,,,,,,,,,,,,Farmacia Furlanis,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.7584379,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8901618,,,,,,,,,,,,,Farmacia GRECO,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,44.8212027,,,,,,,
,,,,,,,169,,,Regione Emilia Romagna,,,,,Via Faentina Nord,,,Godo,,48026,,,,,,,,,,,,,,,,,,,,,,,,no,12.0715790,,,,,,,,,,,,,Farmacia Gallina,,,,,,+390544419322,,,,,yes,,,yes,pharmacy,,,,,,,,,,,,,44.3916745,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2002349,,,,,,,,,,,,,Farmacia Gamalero,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6514957,yes,,,,,,
,,,,,,,3b,,,,,,,,piazza Corobbo,,,Gambugliano,,36050,,,,,,,,,,,,,,,,,,,,,,,,,11.4400398,,,,,,,,,,,,Farmacia Gambugliano,Farmacia Gambugliano,,,http://www.primaparafarmacialegnago.it/farmacia_gambugliano_vicenza.html,,,+39 0444 950348,,,,,,,,,pharmacy,,,,,,,,,,,,,45.5888233,yes,,,,,,
,,,,,,,1,,,,,,,,Largo Agostino Gemelli,,,Roma,,00168,,,,,,,,Farmacia Gemelli,,,,,,,,,,,,,,,,,12.4272707,,,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-13:30,,,Farmacia Gemelli,,,,,,+39 06 3016499,,,,,yes,,,,pharmacy,,,,,1,,,,,,,,41.9289460,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1293018,,,,,,,,,,,,,Farmacia Giua,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,39.6557504,,,,,,,
,,,,,,,1480,,,,,,,,Via Emilia Ovest,,,,,41123,,,,,,,,,,,,,,,wall,,,,,,,,,,10.8531499,,,,,,Lolli Laura,,,,Mo-Fr 09:00-22:00; Sa-Su 09:00-21:00,,,Farmacia Grandemilia,,,http://www.farmaciagrandemilia.it,,,+39059848755,,,,,,,,,pharmacy,,,,,,,,,,,,,44.6473515,,,,,,,
,,,,,,,,,,,,4AED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4748496,,,,7 m,,,,,,,,,Farmacia Guarasci,,,,,,,,,000,,,,,,pharmacy,,,,,,,,,,,,,46.5110837,yes,,,,,,
,,,,,,,83,,,,,,,,Via Carlo Maria,,,Marina di Gioiosa Ionica,,89046,,,,,,,,,,,,,,,,,,,,,,,,,16.3312360,,,,,,,,,,,,,Farmacia Hyeraci,,,,,,+39 0964 415096,,,,,yes,,,,pharmacy,,,,,,,,,,,,,38.3010020,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0427698,,,,,,,,,,,,,Farmacia Innocenti Snc,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,42.8745348,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2515017,,,,,,,,,,,,,Farmacia Iris,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,41.0362555,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6981990,,,,,,,,,,,,,Farmacia La Guardia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,40.2467015,yes,,,,,,
,,,,,,,888,,,,,,,,Via Tosco-Romagnola Est,,,San Miniato,,56028,,,,,,,,,,,,,,,,,,,,,,,,,10.8640178,,,,,,Dott.ssa Paola Sestini,,,,"Mo-Sa 09:00-13:00, 16:00-20:00",,,Farmacia La Scala,,,,,,+39 0571 43032,,,,,,,,,pharmacy,,,,,,,,,,,,,43.6919861,,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9856954,,,,,,,,,,,,,Farmacia Lanzi,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,42.6442710,yes,,,,,,
,,,,,,,65,,,,,,,,Via Nazionale,,,Abbadia Lariana,,23821,,,,,,,,,,,,,,info@farmacialariana.it,,,,,,,,,,no,9.3322286,,,,,,,,,,"Mo-Fr 08:30-12:30, 15:00-19:30; Sa 08:30-12:30; Su off",,,Farmacia Lariana,,,https://www.facebook.com/farmacialariana/,,,+39 345 0693017,,,,,,,,,pharmacy,,,,,,,,,,,,,45.9015377,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1397924,,,,,,,,,,,,,Farmacia Libralesso,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.4397717,yes,,,,,,
,,,,,,,,,,Regione Liguria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1382859,,,,,,,,,,,,,Farmacia Lumarzo,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,44.4316506,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3301906,,,,,,,,,,,,,Farmacia Madonna della Pace,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,41.5673531,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9194780,,,,,,,,,,,,,Farmacia Manca Aldo,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,40.1739246,retail,,,,,,
,,,,,,,41,,,,,,,,Via Roma,,,Siamajori/Siamaggiore,,09070,,,,,,,,,,,,,,,,,,,,,,,,,8.6327286,,,,,,,,,,,,,Farmacia Manconi Elisabetta,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,39.9490609,commercial,,,,,,IT
,,,,,,,,,,,,4AED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0031018,,,,5 m,,,,,,,,,Farmacia Marescutti,,,,,,,,,1A0,,,,,,pharmacy,,,,,,,,,,,,,46.1593387,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,13.5375148,,,,,,,,,,,,,Farmacia Marinetti,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,41.9579123,yes,,,,,pharmacy,
,,,,,,,16,,,,,,,,Via Rol,,,San Secondo di Pinerolo,,10060,,,,,,,,,,,,,,,,,,,,,,,,,7.2980915,,,,,,,,,,,+39 0121500112,,Farmacia Mellano,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,44.8664852,residential,,,,,,IT
,,,,,,,,,,,5724,4AED,,operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2152062,,,,8 m,,,,IT02573770308,,,,,Farmacia Migotti e Piva,,2018-03-01,http://www.farmaciamigottipiva.com/,,,+39 043 160166,,,1A0,,yes,,,,pharmacy,,,,,,,,,,,,,45.8600467,yes,,,,,,
,,,,,,,34,,,,,,,,Via Giuseppe Mazzini,,,Olgiate Olona,,21057,,,,,,,,,,,,,,,,,,,,,,,,,8.8878215,,,,,,Farmacia Milanese S.n.c. di Perosa Ornella e Milanese Stefano,,,,"Tu-Sa 09:00-12:30, 15:00-19:30",,,Farmacia Milanese,,,,,,+39 0331 376877,,,,,,,,yes,pharmacy,,,,,3,,,,,,,,45.6312698,yes,,,,,,IT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,15.8616092,,,,,,,,,,,,,Farmacia Mobrici,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,38.6621680,yes,,,,,pharmacy,
,,,,,,,2,,,,,,,,Via Matteotti,,,Serrano,,73020,,,,,,,,,,,,,,,,,,,,,,,,,18.3487567,,,,,,,,,,,,,Farmacia Monteleone Dr. Antonella,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,40.1888119,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8533473,,,,,,,,,,,,,Farmacia Moroni,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,45.3049291,yes,,,,,,
,,,,,,,7,,,,,,,,Via Borghetto,,,Seveso,,20822,,,,,,,,,,,,,,,,,,,,,,,,no,9.1673620,,,,,,,,,,,,,Farmacia Nuova,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6385608,yes,,,,,pharmacy,
,,,,,,,24,,,,,,,,Piazza Unità d'Italia,,,Saronno,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0349817,,,,,,Dr.Longhi,,,,,,,Farmacia Nuova,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6289022,yes,,,,,,IT
,,,,,,,144/D,,,,,,,,Via Consolare Valeria,,,Giardini-Naxos,,98035,,,,,,,,,,,,,,,,,,,,,,,,,15.2494492,,,,,,,,,,"Mo,Tu,We,Fr,Sa 08:30-13:00,17:00-20:30; Th 08:30-13:00; Su off",,,Farmacia Nuova Naxos,,,https://farmacianuovanaxos.business.site,,,+39 0942 653150,,,,,,,,,pharmacy,,,,,,,,,,,,,37.8190644,yes,,,,,pharmacy,
,,,,,,,57/a,,,,,,+39 0522 281913,,Viale Risorgimento,,,Reggio Emilia,,42123,,,,,,,,,,,,,,farm.ospedaleh24@fcr.re.it,,,,,,,,,,,10.6291740,,,,,,Azienda Speciale Farmacie Comunali Riunite,,,,24/7,,,Farmacia Ospedale H24,,,http://www.fcr.re.it/Farmacia.jsp?idFarmacia=14,,,+39 0522 282666,,,,,yes,,,,pharmacy,,,,,,,,,,,,,44.6859188,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1273053,,,,,,,,,,,,,Farmacia Pacini,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,43.4227842,yes,,,,,pharmacy,
,,,,,,,,,,Regione Liguria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2957402,,,,,,,,,,,,,Farmacia Padre Pio,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,44.3511628,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9210500,,,,,,,,,,,,,Farmacia Palattella,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,40.9560387,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,13.3310623,,,,,,,,,,,,,Farmacia Panata,,,,,,,,,,,,,,yes,pharmacy,,,,,,,,,,,,,43.2855630,yes,,,,,,
,,,,,,,5,,,Ministero della Salute,5683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4047291,,,,4 m,,Pascolini Sas del dottor Pascolini Francesco,,IT01119040309,,,,,Farmacia Pascolini,,2013-03-01,,,,,,,,,yes,,,,pharmacy,,,,,,Ordinaria,,,,,,,46.1112434,yes,,,,Frazione Crosada,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5814822,,,,,,,,,,"Mo-Fr 08:15-12:30,15:45-19:30; Sa 08:15-12:30",,,Farmacia Peressini,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.7296630,yes,,,,,,
,,,,,,,84/b,,,,,,,,Via Euganea Bresseo,,,Teolo,,35037,,,,,,,,,,,,,,,,,,,,,,,,,11.7215742,,,,,,,,,,,,,Farmacia Perini,,,,,,+39 049 9900028,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.3710558,yes,,,,,,
,,,,,,,63,,,Ministero della Salute,845,,,,Via Antonio Gramsci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0720296,,,,,,Pisani Pietro dei Dott.ri Maria Grazia e Vittorio Pisani S.N.C.,,IT02132300027,,,,,Farmacia Pisani Pietro,,2005-01-01,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5409469,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8381381,,,,,,,,,,,,,Farmacia Pittella,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,40.0507296,yes,,,,,,
,,,,,,,6,,,,,,,,Via Cherio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8514831,,,,,,,,,,,,,Farmacia Poma Della Dr.Ssa Simona Poma & C.,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.6899507,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,Via Maiella,,,Civitella Messer Raimondo,,66010,,,,,,,,,,,,,,,,,,,,,,,,,14.2154680,,,,,,,,,,,,,Farmacia Porreca Dr. Camillo,,,,,,,,,,,yes,,,,pharmacy,,,,,1,,,,,,,,42.0876773,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3388229,,,,,,,,,,,,,Farmacia Querqui,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,41.5718600,yes,,,,,pharmacy,
,,,,,,,97,,,,,,,,Via Provinciale,,,Miggiano,,73035,,,,,,,,,,,,,,farmaciarao1832@libero.it,,,,,,,,,,,18.3128064,,,,,,,,,,,,,Farmacia Rao,,,https://www.farmaciarao1832.com/,,,+39 0833 761061,,,,,,,,,pharmacy,,,,,,,,,,,,,39.9657340,yes,,,,,,
,,,,,,,206,,,,,,,,Via Giuseppe Alberto Pugliese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6791506,,,,,,,,,,,,,Farmacia Recchia,,,,,,,,,,,yes,,,yes,pharmacy,,,,,,,,,,,,,40.9972410,,,,,,,
,,,,,,,78,,,,,,,,Via Vette,,,Villabruna,,32032,,,,,,,,,,,,,,,,,,,,,,,,,11.9315680,,,,,,,,,,,,Farmacia Ribaudo dott.Carlo,Farmacia Ribaudo dott.Carlo,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,46.0594761,,,,,,,
