roof:levels,amenity,features,healthcare:speciality,building:part,addr:place,contact:website,roof:colour,telephone,official_name,WroclawGIS:building:ID,alt_name,operator,name:pl,building:fireproof,source:addr,addr:housenumber,building:levels,opening_hours,image,contact:phone,lon,name,note,source,mapillary,roof:material,addr:street:sym_ul,email,website,description,emergency,building:material,phone,facebook,lat,addr:city:simc,addr:street,building,building:colour,name:en,addr:city,roof:shape,url,addr:postcode,wheelchair,source:geometry,building:usage:pl,building:use:pl,building:levels:underground,healthcare,addr:country
,dentist,,,,,,,,,,,,,,,,,,,,20.9713593,Stomatologia,,,,,,,,,,,,,52.2339785,,,yes,,,,,,,,,,,,,
,dentist,,,,,,,,,,,,,,kepno.e-mapa.net,15e,,,,,17.9912353,Stomatologia - Martynowska-Gwóźdź,,,,,,,,,,,,,51.2840506,,Aleje Karola Marcinkowskiego,yes,,,Kępno,,,63-600,,,,,,,
,dentist,,,,,,,,,,,,,,,15,,,,,19.1093213,Stomatologia Łęccy,,e.czestochowa.pl,,,,,,,,,,,50.8089183,,Generała Mieczysława Dąbkowskiego,yes,,,Częstochowa,,,42-217,,,,,,dentist,
,dentist,,,,,,,,,,,,,yes,,1,2,,,,15.5591777,Stomed,,survey,,,,,https://www.stomed.cc/,,,,,,51.2530536,,Ludwika Pasteura,yes,,,Bolesławiec,,,59-700,,,,budynek szpitali i zakładów opieki medycznej,0,dentist,
,dentist,,,,,,,,,,,,,,UM Kielce,19,,Mo-Fr 10:00-19:00; Sa 10:00-13:00,,,20.6169688,Top Dent,,,,,,topdent@kielce.com,http://www.topdent.kielce.com/,,,,+48 41 366 38 60,,50.8812062,,Hoża,yes,,,Kielce,,,25-612,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,6,,,,,20.9856240,Uniwersyteckie Centrum Stomatologii,,,,,,rejestracja@ucs.cmwum.pl,http://ucs.cmwum.pl/,,,,222701616,,52.2081960,,Stanisława Binieckiego,yes,,,Warszawa,,,02-097,,,,,,,
,dentist,,,,,,,,"Prywatna Praktyka Stomatologiczno-Chirurgiczna ""STOM-CHIR"" Rachwał Urszula,Rachwał Grzegorz Spółka Cywilna",,,,,,EMUiA (emuia.gugik.gov.pl),67A,2,,,,21.4125750,Urszula Rachwał Gabinet Stomatologiczny,,,,,,urstom@poczta.fm,http://urachwal.dentysta-stomatolog.com,,,,+48 175852354,,50.2938071,,Jana Kilińskiego,detached,,,Mielec,flat,,39-300,,,,,,,
,dentist,,,,,,,,,,,,,,,2A,,,,,18.4201766,Vito-Dent - Filia,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,,,,,,,,,50.8781532,,Karola Miarki,yes,,,Olesno,,,46-300,,,,,,,
,dentist,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),1a,,,,,21.7653918,Wojciech Kolanko,,,,,,,,,,,,,49.7001992,,Hetmana Stanisława Żółkiewskiego,yes,,,Krosno,,,38-400,,,,,,,
,dentist,,,,,,,,,,,,,,,42,,,,,18.6919684,Wojewódzki Szpital Zespolony - Regionalne Centrum Stomatologii,,,,,,,,,yes,,,,53.0220975,,Konstytucji 3 Maja,yes,,,Toruń,,,87-100,,,,,,,PL
,dentist,,,,,,,,,,,,,,emuia.gugik.gov.pl,12,,,,,19.7458046,ZADENT,,,,,05172,,,,,,,,51.7973736,0977025,Aleksandra Fredry,residential,,,Brzeziny,,,95-060,,geoportal.gov.pl:BDOT,,,,,
,dentist,,,,,,,,,,,,,,kepno.e-mapa.net,1,,,,,17.9763508,d-dent,,,,,,,,,,,,,51.2763250,,Fryderyka Chopina,house,,,Kępno,,,63-600,,,,,,,
