amenity,alt_name:en,contact:facebook,healthcare:speciality,wikipedia:en,alt_name:ga,official_name,operator,addr:townland,wikidata,alt_name,HSE_code,is_in,addr:housenumber,barrier,lon,opening_hours,operator:type,wikipedia,addr:full,note,source,logainm:url,addr:postal_district,start_date,website,HSE_region,fax,loc_name,description,emergency,addr:housename,contact:phone,year_of_construction,fixme,phone,logainm:ref,old_name,lat,smoking,addr:country,old_name:ga,addr:street,building,name:ga,name:en,name,addr:postcode,wheelchair,source:geometry,addr:city,beds,HSE_hgid,HSE_hgroup,healthcare,toilets:wheelchair,email
hospital,,,emergency;cardiology;dermatology;geriatrics;general;gynaecology;neurology;psychiatry,,,,HSE,,,,21,,,,-6.2994208,,,,,,,,,,http://www.stjames.ie/,Midlands,,,,yes,,,,,+353-1-4103000,,,53.3384095,,,,James's Street,,Ospidéal Naomh Séamas,St. James's Hospital,St. James's Hospital,,yes,,,,3,Dublin Midlands Hospital Group,hospital,,info@stjames.ie
hospital,,,,,,,,,,,305,,,,-8.6175380,,,,,,,,,,,Midwest,,,,,,,,,,,,52.6635791,,,,New Road,,,,St. John's Hospital Limerick,,,,Limerick,,6,University of Limerick Hospital Group,hospital,,
hospital,,,psychiatry,,,,,,Q65042285,,,,,,-8.6111731,,,,,,,,,,,,,,,no,,,,,,,,52.6575166,,,,,,,,St. Joseph's Hospital,,,,,,,,hospital,,
hospital,,,psychiatry,,,,,,,,,,,,-6.4065645,,,,,,,https://www.logainm.ie/1378558.aspx,,,,,,,,no,,,,,+353-1-6207400,1378558,,53.3572285,,,,Lucan Road,,Ospidéal Lomáin,St. Loman's Hospital,St. Loman's Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q7589794,,101,,,,-7.2650639,,,en:St. Luke's General Hospital,,,,,,,,Dublin East,,,,yes,,,,,,,,52.6663849,,,,Freshford Road,,Ospidéal Naomh Lúcás,,St. Luke's General Hospital,,,,Kilkenny,,2,Ireland East Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-7.3492272,,,,,,,,,,,,,,,no,,,,,,,,53.5359152,,,,,,,,St. Mary's Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q7590703,,,,,,-6.1387525,Mo-Su 08:00-20:00,government,,,,,,,,https://stmichaels.ie/,,,,Accident & Emergency Room,yes,,,,,+353 1 280 6901,,,53.2945252,,,,Georges Street Lower,,,,St. Michael's Hospital,A96 P902,,,Dún Laoghaire,,,,hospital,,
hospital,,,,,,,Health Service Exective,,,,,,,,-7.1034500,,,,,,,,,,,,,,,,,,,,,,,52.2510868,,,,,,,,St. Patrick's Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-8.4013896,,,,,,,,,,,,,,,,,,,,,,,51.9526218,,,,,yes,,,St. Stephen's Psychiatric Hospital,,,,,,,,,,
hospital,,,,,,,,,,,,,,,-6.2096944,,,,,,,,,,,,,,,no,,,,,,,,53.3149433,,,,,,,,St. Vincent's Private Hospital,,,,,,,,hospital,,
hospital,,,,,,,Health Service Executive,,,,,,,,-6.4684961,,public,,,,,,,,,,,,,,,,,,,,,52.3345099,,,,,,,,Summerhill Community Mental Health Centre,,,,,,,,hospital,,
hospital,,,emergency;cardiology;gynaecology;neurology;orthopaedics;psychiatry;psychology,Tallaght Hospital,,"Adelaide and Meath Hospital, Dublin incorporating the National Children's Hospital",HSE,,Q7680014,"Adelaide and Meath Hospital, Dublin, incorporating the National Children's Hospital",41,,,,-6.3761378,,,en:Tallaght Hospital,,,,,,,https://www.tuh.ie/,Midlands,,,,yes,,,1998,,+353-1-4142000,,,53.2892594,,,,Belgard Square North,,Ospidéal Ollscoile Thamhlachta,Tallaght University Hospital,Tallaght University Hospital,D24 NR0A,,,,,3,Dublin Midlands Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-6.2271122,,,,,,,,,,,,,,,,,,,ad courtyards,,,,53.4445156,,,,,yes,,,Tara Winthrop Clinic,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q5098234,Temple Street Children's University Hospital,14,,,,-6.2605579,,,,,,,,,,https://www.templestreet.ie/,Paediatrics,,,,,,,,,,,,53.3571803,,,,,,,,Temple Street Childrens University Hospital,,,,,,7,Children's Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-8.5256904,,,,,,,,,,,,,,,,,,,,,,,51.8973532,,,,,yes,,,The Lee Clinic,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-6.2689203,,,,,,,,,,,,,,,no,,,,,,,,53.3355972,,,,Heytesbury Street,,,,The Meath Primary Care Centre (Former Meath Hospital),,,,Dublin,,,,,,
hospital,,,,,,,,,Q13156901,,,,,,-6.2456518,,,,,,,,,,http://www.nmh.ie,,,Holles Street Hospital,,no,,,,,,,,53.3407047,,,,Holles Street,,,,The National Maternity Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q7894625,,404,,,,-9.0696201,,,en:University Hospital Galway,,,,,,,,North West,,,,,,,,,,,University College Hospital Galway,53.2785311,,,,,,,,University Hospital Galway,,,,,,1,Saolta University Health Care Group,hospital,,
hospital,,,,,,,HSE,,Q6394528,Kerry General Hospital,236,,,,-9.6883661,,,,,,,,,,,South West,,,,yes,,,,,,,Tralee General Hospital,52.2640542,,,,,,,,University Hospital Kerry,V92 NX94,,,Tralee,,5,South/South West Hospital Group,hospital,,
hospital,,,emergency;general;psychiatry;oncology,,,,HSE,,Q6840848,,,,,,-8.6534072,,,,,,yahoo,,,,,,,,,,,,,,+353-61-301111,,Mid Western Regional Hospital,52.6363492,,,Ospidéal Régiúnda Luimnigh,,,"Ospidéal na hOllscoile, Luimneach",,University Hospital Limerick,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q7974039,,100,Waterford,,,-7.0836076,,public,,,formerly Ardkeen Hospsital,,,,,,South West,,,,yes,,,,,,,Waterford Regional Hospital,52.2476166,,,,,,,,University Hospital Waterford,,,,,,5,South/South West Hospital Group,hospital,,
hospital,,,maternity,,,,HSE,,,,,,,,-8.6329502,,government,,,,,,,,https://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/ulh/hospitals/mat/,,+353-61-326086,,,no,,,,,+353-61-32745,,,52.6669817,,,,Ennis Road,,,,"University Maternity Hospital, Limerick",,,,,83,,,hospital,,
hospital,,,,,,,HSE,Carricklawn,Q13157637,,103,,,,-6.4821267,,,,,,,,,,,Dublin East,,,,yes,,,,,+353 53 9142233,,,52.3416740,,,,,,,,Wexford General Hospital,,,,Wexford,,2,Ireland East Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-7.8604116,,,,,,,,,,,,,,,,,,,,,,,51.9577949,,,,,yes,,,Youghal Community Hospital,,,,,,,,hospital,,
