shop,health_facility:type,office,healthcare:speciality,indoor,payment:cash,source:addr:housenumber:ref,ref:FR:FINESS,roof:orientation:compass,addr:housenumber,name:de,source,location,building:roof:colour,fax,roof:colour,contact:postcode,emergency,ref:FR:SIREN,ref:FR:SIRET,historic,FID,addr:street,bmo:type,source:name,fixme,name:en,contact:fax,addr:city,wheelchair:description,payment:debit_cards,type:FR:FINESS,addr:postcode,roof:material,level,payment:credit_cards,roof:orientation,source:geometry:date,payment:mastercard,amenity_1,amenity_2,payment:american_express,wheelchair:step_height,source:addr,payment:maestro,operational_status,access,payment:cheque,ref,email,barrier,contact:email,name:br,roof:shape,building:use,wall,source:geometry,source:building,health_person:type,health_specialty:radiology,toilets:wheelchair,massage,source:ref:FR:FINESS,lon,contact:website,survey:date,layer,height,alt_name,building:roof:shape,contact:country,operator,railway:historic,contact:city,short_name,area,opening_hours,contact:phone,addr:housename,name,whc:inscription_date,heritage,type,start_date,website,noname,contact:housenumber,source:date,phone,health_specialty:allergology,official_name,old_name,smoking,opening_hours:signed,room,source:version,disused:name,buildingpart,dispensing,ref:FR:NAF,wheelchair,amenity,operator:type,addr:unit,ref:whc,payment:notes,source:addr:version,medical_system:western,doctor,building:levels,note,name:fr,contact:street,description,building:material,note:fr,addr:full,payment:visa,lat,reservation,building,building:colour,payment:coins,roof:levels,addr:place,healthcare,disused:railway,addr:country,heritage:operator,ref:FR:LaPoste
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3712303,,,,,,,,,,,,,,,,Cabinet médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.7712026,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4250041,,,,,,,,,,,,,,,,Cabinet médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.3236971,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Place de l'Europe,,,,,,,,,,37320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7817068,,,,,,,,,,,,,,,,Cabinet médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2844786,,yes,,,,,,,,,
,,,,,,,,,129B,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue des Déportés,,,,,,Toufflers,,,,59390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2366300,,,,,,,,,,,,,,,,Cabinet médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.6608344,,yes,,,,,doctor,,,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2633566,,,,,,,,,,,,,,,,Cabinet médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.7910535,,office,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0036853,,,,,,,,,,,,,,,,Cabinet médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,2,,,,,,,,,43.9116620,,yes,,,,,doctor,,,,
,,,,,,,,,64,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7832610,,,,,,,,,,,,,,,,"Cabinet médical  Pujos Pierre, Andréa Poppelier et Pauline Pourrat",,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.8207220,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3554891,,,,,,,,,,,,,,,,Cabinet médical & infirmier,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.6788446,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7606970,,,,,,,,,,,,,,,,Cabinet médical Croix-rouge,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.6211770,,yes,,,,,,,,,
,,,general,,,51407,,,24,,Rennes Métropole,,,,,,,,,,,Rue de la Halte,,,,,,Laillé,,,,35890,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7218486,,,,,,,,,,,,,,,,"Cabinet médical Docteur Gerard, Docteur Jacquot",,,,,,,,,+33 2 99 42 32 29,,,,,,,2016-04-01,,,,,,doctors,,,,,,,,,,,,,,,,,47.9793457,,yes,,,,,,,FR,,
,,,,,,,,,4,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,Rue Professeur Yves Boquien,,,,,,Brains,,,,44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7184360,,,,,,,,,,,,,,,,Cabinet médical Jules Verne,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1718512,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3162080,,,,,,,,,,,,,,,,Cabinet médical Le Mont Joli Bois,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.0151360,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue de Préaux,,,,,,Darnétal,,,,76160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1544438,,,,,,,,,,,,,,,,Cabinet médical Pasteur,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.4504223,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6802618,,,,,,,,,,,,,,,,Cabinet médical Vallée Violette,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.3495468,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0889712,,,,,,,,,,,,,,,,Cabinet médical d'Andernos,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.7460316,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3136072,,,,,,,,,,,,,,,,Cabinet médical de Nangy,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.1392670,,yes,,,,,,,,,
,,,general,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8097800,,,,,,,,,,,,,,,,Cabinet médical de Neuvy Saint-Sepulchre,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.5908482,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9754861,,,,,,,,,,,,,,,,Cabinet médical de Saint-Chartier,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.6517078,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3505910,,,,,,,,,,,,,,,,Cabinet médical de la Prairie,,,,,,,,,+33 3 81 84 03 36,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,47.3513904,,yes,,,,,,,,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3292510,,,,,,,,,,,,,,,,Cabinet médical des Bruyères,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.7722735,,yes,,,,,,,,,
,,,general,,,,,,11,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,Rue du Pré Dixi,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7881796,,,,,,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-12:00; PH closed,,,"Cabinet médical des Drs Boivin, Cuny et Schumacher",,,,,http://www.cabinet-granges.fr/,,,,+33 3 29 51 42 80,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,48.1424058,,yes,,,,,doctor,,,,
,,,,,,,,,12,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1945960,,,,,,,,,,,,,,,,Cabinet médical des Hauts de Queuleu,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.1031220,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7519800,,,,,,,,,,,,,,,,Cabinet médical des Lacs,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.5732290,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1092810,,,,,,,,,,,,,,,,Cabinet médical des Vergons,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.9249040,,yes,,,,,doctor,,,,
,,,,,,,,,90,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4531566,,,,,,,,,,,,,,,,Cabinet médical des docteurs Lamarre Bernard-Luneaux et Carrié,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.3764664,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,Saramon,,,,32450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7645110,,,,,,,,,,,,,,,,Cabinet médical du Docteur Baqué,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,2,,,,,,,,,43.5227830,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6837720,,,,,,,,,,,,,,,,Cabinet médical du Docteur Billiard,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2556590,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5169541,,,,,,,,,,,,,"""sur rendez-vous""",,,Cabinet médical du plateau,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.7070984,,yes,,,,,,,,,
,,,,,,,,,2,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,,,,chemin de la Chaine,,,,,,Montélimar,,,,26200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7408586,,,,,,,,,,,,,,,,Cabinet médical les Amandiers,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.5619905,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1256029,,,,,,,,,,,,,,,,Cabinet médicale,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,1,,,,,,,,,47.5155070,,yes,,,,,doctor,,,,
,,,,,,,,N-S,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,along,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8002375,,,,,,,,,,,,,,,,Cabinet ophtalmologie,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.1497884,,house,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1520310,,,,,,,,,,,,,,,,Cabinet paramédical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.1639870,,yes,,,,,doctor,,,,
,,,,,,,,,,,survey 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8270433,,,,,,,,,,,,,,,,Cabinet paramédical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.1247079,,public,,,,,,,,,
,,,,,,,,,2,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue Édouard Manet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1565455,,,,,,,,,,,,,,,,Cabinet paramédical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.0985875,,yes,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1555740,,,,,,,,,,,,,,,,Cabinet radiologie,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.6136273,,,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2575985,,,,,,,,,,,,,,,,Cabinets médicaux,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,45.7940891,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,2.7638690,,,,,,,,,,,,,,,,Camilleri,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,50.2910320,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3302020,,,,,,,,,,,,,,+33549882530;+33549882998,,"Canet, Bruno Stéfanimi, Chouilly",,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.5961880,,yes,,,,,doctor,,,,
,,,cardiology,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4169552,,,,,,,,,,,,,,,,Cardiologie IRM,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,42.6167069,,yes,,,,,doctor,,,,
,,,cardiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,operational,,,,,,,,,,,Satellite photogrammetry,,,,,,,-149.3132606,,,,,,,,,,,,,,,,Cardiologue,,,,,,,,2015/12/07,,,,,,,,,,,,,,doctors,private,,,,,,,,,,,,hard,,,,-17.7383660,,yes,,,,,,,,,
,,,angiologie;orthodontie,,,,,,2,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;local knowledge,,,,,,,,,,,Rue de l'Égassiairal,,,,,,Narbonne,,,,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0159400,,,,,,,,,,,,,,,,Centre Apolline,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,2,,,,,,,,,43.1804760,,office,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4592611,,,,,,,,,,,,,,,,Centre CERP,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-21.3336848,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5661568,,,,,,,,,,,,,,,,Centre Imagerie Médicale,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.8132300,,yes,,,,,,,,,
,,,,,,,,,140,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue Jean Jaurès,,,,,,Vichy,,,,03200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4230700,,2019-09-28,,,,,,,,,,,,,,Centre La Chrysalide,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.1342730,,terrace,,,,,,,FR,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1500219,,,,,,,,Conseil Général des Yvelines,,,,,,,,Centre Maternel de Porchefontaine,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,48.7918283,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4800867,,,,,,,,,,,,,,,,Centre Medical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.5284610,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dentiste,,,,,,,,,,,,,,,,,,,,,,,,0.2734961,,,,,,,,,,,,,,,,Centre Medical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.4807413,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9828400,,,,,,,,,,,,,,,centre medical,Centre Medical,,,,,,,,,,,,,,,,,,,yes,,,doctors,,,,,,,,,,,,,,,,,44.9297498,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2475337,,,,,,,,,,,,,,,,Centre Medical Alingo,,,,,,,,,+33556623330,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.5551472,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,Rue des Anciens Combattants d'AFN,,,,,,Combronde,,,,63460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0862830,,,,,,,,,,,,,,,,Centre Medical Des Boulards,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.9845800,,yes,,,,,doctor,,,,
,,,,,,,,,59,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue Gabriel Péri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0607410,,,,,,,,,,,,,,,,Centre Medical Gabriel Péri,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,48.8020580,,yes,,,,,,,,,
,,,,,,,,,2,,Kaart Ground Survey 2017,,,,,,,,,,,Rue Mon Caprice,,,,,,Ravine des Cabris,,,,97432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4976473,,,,,,,,,,,,,,,,Centre Medical Mon Caprice,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-21.3060038,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5871130,,,,,,,,,,,,,,,,Centre Medical du Chevran,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.0619280,,yes,,,,,,,,,
,,,,,,,,,23,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,avenue Henri Barbusse,,,,,,Gagny,,,,93220,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,2.5313157,,,,,,,,,,,,,,,,Centre Municipal de Santé,,,,,https://www.gagny.fr/fiche-annuaire/centre-municipal-de-sante-cms/,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.8852754,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5280603,,,,,,,,,,,,,,,,Centre Municipal de Santé,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.9382767,,yes,,,,,,,,,
,,,,,,,,,6,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue Antoine Petit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2880140,,,,,CMS,,,,,,,,"Mo,Fr 08:30-12:00,13:30-18:30; Tu-Th 08:30-12:00,13:30-19:00; Sa 09:00-12:00",,,Centre Municipal de Santé,,,,,https://www.fontenay-aux-roses.fr/sante-solidarite/sante-pour-tous/centre-municipal-de-sante.htm,,,,+331 46 61 12 86,,,,,,,,,,,,,doctors,,,,,,,,,includes dentist,,,,,,,,48.7894290,,yes,,,,,,,,,
,,,,,,,950802009,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,survey,,,,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data.gouv.fr:Ministère des Affaires sociales et de la Santé - 05/2014,2.2297834,,,,,,,,,,,,,,,,Centre Municipal de Santé,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.9854157,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4313926,,,,,,,,,,,,,,,,Centre Municipal de Santé Marcel-Cachin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.2578356,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2321317,,,,,,,,,,,,,,,,Centre Mutualiste et Cabinets Médicaux,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.3501216,,,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7678471,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,contours à affiner,,,,,,,,42.6940450,,,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3523402,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.4616151,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7344924,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,42.6826410,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8696700,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.1663780,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1684723,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.3602528,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6855333,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.9754466,,yes,,,,,,,,,
