roof:levels,amenity,drive_through,office,lon,contact:website,roof:colour,layer,internet_access:ssid,payment:debit_cards,payment:cash,payment:notes,payment:credit_cards,operator,name:de,brand:wikipedia,addr:housenumber,toilets,payment:maestro,payment:girocard,building:levels,opening_hours,contact:phone,addr:housename,addr:suburb,payment:apple_pay,name,note,source,brand:wikidata,ref:vatin:hu,email,website,fax,description,barrier,contact:email,brand,payment:visa,phone,lat,smoking,addr:street,building,fixme,name:en,contact:fax,addr:city,wheelchair:description,roof:shape,url,addr:postcode,wheelchair,payment:coins,payment:mastercard,start_date,dispensing,healthcare,toilets:wheelchair,payment:cards,addr:country
,pharmacy,,,19.4918345,,,,,,,,,Alma Gyógyszertárak,,,22/D,,,,,Mo-Fr 08:30-12:00; Sa 08:00-10:00,,,,,Qercus-Pharma Bt.,,,,,,,,http://kisszallas.hu/informaciok/kisokos/,,,,,+36 77 557 003;+36 30 967 7717,46.2782781,,Fő utca,yes,,,,Kisszállás,,,,6421,,,,,,pharmacy,,,
,pharmacy,,,21.5694985,,,,,,,,,,,,89,,,,,,,,,,Ranunculus Gyógyszertár,,,,,,,,,,,,,,47.3521840,,Köztársaság út,yes,,,,Derecske,,,,4130,,,,,,,,,
,pharmacy,,,19.6133398,,,,,,,,,,,,4,,,,,,,,,,Remény Gyógyszertár,,,,,,,,,,,,,+36 53 370 070,47.2458706,,Vasút utca,yes,,,,Albertirsa,,,,2730,yes,,,,,,,,
,pharmacy,,,22.0796806,,,,,,,,,,,,69,,,,,,,,,,Remény Gyógyszertár,,,,,,,,,,,,,,48.2206760,,Szent László utca,yes,,,,Kisvárda,,,,4600,,,,,yes,pharmacy,,,
,pharmacy,,,19.2425064,,,,,,,,,,,,11,,,,,,,,,,Rákoshegy Patika a Megváltóhoz,,,,,,,,,,,,,,47.4666386,,Baross utca,yes,,,,Budapest,,,,1174,,,,,,pharmacy,,,
,pharmacy,,,21.5678115,,,,,,,,,,,,14,,,,,,,,,,Rákóczi Gyógyszertár,,,,,,,,,,,,,,48.3230393,,Comenius utca,yes,,,,Sárospatak,,,,3950,,,,,,,,,
,pharmacy,,,21.5652955,,,,,,,,,,,,76,,,,,Mo-Fr 08:00-16:00,,,,,Rákóczi Gyógyszertár,,,,,,,,,,,,,,48.3169814,,Rákóczi út,yes,,,,Sárospatak,,,,3950,,,,,,,,,
,pharmacy,,,21.8626665,,,,,,,,,,,,,,,,,,,,,,Rákóczi téri Patika,,,,,,,,,,,,,,47.7695008,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,21.2725882,,,,,,,,,,,,,,,,,"Mo-Fr 08:00-13:00,15:00-18:00; Sa,Su 17:00-18:00",,,,,Sanitas gyógyszertár,,,,,,,,,,,,,+36 54 460 226;+36 54 522 018,47.3565843,,,yes,,,,,,,,,,,,,yes,,,,
,pharmacy,,,20.0583790,,,,,,,,,,,,,,,,,,,,,,Semmelweis Gyógyszertár,,,,,,,,,,,,,,47.3808973,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,18.9277053,,,,,,,,,,,,2,,,,,Mo-Fr 08:00-18:15;Sa 08:00-12:30;Su 09:00-13:00,,,,,Solymár Gyógyszertár,,,,,,,,,,,,,,47.5922983,,Rákóczi Ferenc utca,public,,,,Solymár,,,,2083,,,,,,,,,
,pharmacy,,,19.1864175,,,,,,,,,,,,6,,,,,"Mo-Fr 08:00-19:00, Sa 08:00-12:00",,,,,Szarvas Gyógyszertár,,,,,,,,,,,,,,47.4405747,,Ráday Gedeon utca,yes,,,,Budapest,,,,1183,,,,,,pharmacy,,,
,pharmacy,,,19.1106484,,,,,,,,,,,,8,,,,,Mo-Fr 08:00-20:00;Sa 08:00-13:00,,,,,Szent András Gyógyszertár,,,,,,,,,,,,,+3612826490,47.4680787,,Ifjúmunkás utca,yes,,,,Budapest,,,,1091,,,,,,pharmacy,,,
,pharmacy,no,,19.3441454,,,,,,,,,,,,4,,,,,,,,,,Szent Benedek Patika,,,,,,,,,,,,,,47.3846378,,Ócsai út,yes,,,,Üllő,,,,2225,,,,,,pharmacy,,,
,pharmacy,,,17.8695922,,,,,,,,,Szent Bernát Gyógyszertár Kft.,Szent Bernát Apotheke,,8,,,,2,Mo-Fr 08:00-18:00,,,,,Szent Bernát Gyógyszertár,,,,,info@szentbernat.com,http://www.szentbernat.com,,,,,,,+36 88 583 660,47.2613459,,József Attila utca,yes,,Szent Bernát Pharmacy,,Zirc,,,,8420,,,,,,,,,
,pharmacy,,,20.4348281,,,,,,,,,,,,,,,,,,,,,,Szent Borbála Gyógyszertár,,,,,,,,,,,,,,48.2915626,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,no,,20.7777793,,,,,,,,,,,,,,,,,,,,,,Szent Damján Gyógyszertár,,,,,,,,,,,,,,48.0836526,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,no,,20.2554838,,,,,,,,,,,,38,,,,,Mo-Fr 07:30-17:00,,,,,Szent Damján Patika,,,,,stdamjan@invitel.hu,http://szent-damjan-szentes.gyongypatikak.hu/,+36 63 315 894,,,,,,+36 63 315 894,46.6610813,,Sima Ferenc utca,yes,,,,Szentes,,,,6600,,,,,,pharmacy,,,
,pharmacy,,,19.3949285,,,,,,,,,,,,4,,,,,,,,,,Szent Erzsébet Gyógyszertár,,,,,,,,,,,,,,47.4307388,,Erzsébet utca,yes,,,,Gyömrő,,,,2230,,,,,,pharmacy,,,
,pharmacy,,,21.7282195,,,,,,,,,,,,61,,,,1,Mo-Fr 08:00-18:00; Sa 08:00-13:00,,,,,Szent Erzsébet Patika,,,,,,,,,,,,,,47.9495714,,Szent István utca,yes,,,,Nyíregyháza,,,,4400,,,,,,,,,
,pharmacy,,,17.4593950,,,,,,,,,,,,28,,,,,Mo-Th 08:00-16:00; Fr 08:00-15:30,,,,,Szent Erzsébet patika,,,,,,http://szenterzsebethedervar.novodata.hu/,,,,,,,,47.8336303,,Fő út,yes,,,,Hédervár,,,,9178,yes,,,,,,,,
,pharmacy,,,18.9492647,,darkgrey,,,,,,,,,,,,,,,,,,,,Szent Gellért patika,,,,,,,,,,,,,,47.4085934,,,yes,,,,,,hipped,,,,,,,,pharmacy,,,
,pharmacy,,,19.3401017,,,,,,,,,Szent Ilona Patika Bt.,,,11,,,,,,,,,,Szent Ilona Patika,,,,,,,,,,,,,,47.3837275,,Faiskola utca,yes,,,,Üllő,,,,2225,,,,,,pharmacy,,,
,pharmacy,,,17.6456296,,,,,,,,,,,,52,,,,,,,,,,Szent Imre Gyógyszertár,,,,,,,,,,,,,,47.6708385,,Szent Imre út,yes,,,,Győr,,,,9024,,,,,,,,,
,pharmacy,no,,17.3631590,,,,,,,,,,,,4,,,,,,,,,,Szent István Gyógyszertár,,,,,,,,,,,,,+36 82 351 004,46.2302559,,Korányi Sándor utca,yes,,,,Nagyatád,,,,7500,,,,,,,,,
,pharmacy,,,20.2068749,,,,,,,,,,,,,,,,,,,,,,Szent István gyógyszertár és egészségház,,,,,,,,,,,,,,47.1735678,,,yes,,,,,,,,,yes,,,,,,,,
,pharmacy,,,20.1124290,,,,,,,,,Gyöngy Patikák,,,29,,,,,,,,,,Szent László Gyógyszertár,,Bing,,,,http://www.gyongypatikak.hu/hu/store/search/,,,,,,,+36 62 421 044,46.2381987,,Szabadkai út,yes,,,,Szeged,,,,6729,,,,,,,,,
,pharmacy,,,19.1655123,,,,,,,,,,,,13,,,,,Mo-Fr 08:30-20:00; Sa 08:00-15:00,,,,,Szent Lőrinc gyógyszertár (Gyöngy patika),,,,,,,,,,,,,,47.4379557,,Kondor Béla sétány,yes,,,,Budapest,,,,1181,,,,,yes,pharmacy,,,
,pharmacy,,,20.0189446,,,,,,,,,Dr.Dobos Józsefné,,,16,,,,,,,,,,Szent Margit Gyógyszertár,,,,,,,,,,,,,,47.5653047,,Széchenyi út,yes,,,,Jászdózsa,,,,5122,,,,,,pharmacy,,,
,pharmacy,,,19.5278355,,,,,,,,,,,,,,,,,,,,,,Szent Miklós Gyógyszertár,,,,,,,,,,,,,,48.0376275,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,19.0978155,,,,,,,,,,,,1/B,,,,,Mo-Fr 08:30-19:00,,,,,Szent Miklós Patika,,Bing,,,,,,,,,,,+36 1 233 3149,47.5803528,,Erdősor út,yes,,,,Budapest,,,,1046,,,,,,,,,
,pharmacy,,,18.3089380,,,,,,,,,,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,,Szent Márk gyógyszertár,,,,,,,,,,,,,,47.5225389,,,yes,,,,,,,,,,,,,,pharmacy,,,
,pharmacy,,,18.8807862,,,,,,,,,,,,76,,,,,Mo-Fr 07:00-20:00; Sa 07:00-14:00,+36 26 355966,,,,Szent Sebestyén Gyógyszertár,,,,,,http://nagykovacsipatika.hu/,,,,patika@nkpharma.t-online.hu,,,,47.5756279,,Kossuth Lajos utca,yes,,,,Nagykovácsi,,,,2094,yes,,,,yes,pharmacy,,,HU
,pharmacy,,,20.0931602,,,,,,,,,,,,7,,,,,,,,,,Szent-Györgyi Albert gyógyszertár,,,,,,,,,,,,,,47.3723456,,Rákóczi út,yes,,,,Jászalsószentgyörgy,,,,5054,,,,,,,,,
,pharmacy,,,17.6349299,,,,,,,,,,,,2,,,,,,,,,,Szentlélek Gyógyszertár,,,,,,,,,,,,,,47.6640519,,Mécs László utca,yes,,,,Győr,,,,9024,,,,,,,,,
,pharmacy,,,18.9573585,,,,,,,,,,,,,,,,,,,,,,Szigetszentmártoni gyógyszertár,,,,,,,,,,,,,,47.2265239,,,yes,,,,,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,19.0803320,,,,,,,,,,,,2,,,,11,Mo-Fr 08:00-20:00; Sa 08:00-12:00,,,,,Szigony Gyógyszertár,,,,,szigonypatika.bt@chello.hu,https://www.szigonygyogyszertar.hu/,,,,,,,+3613135870,47.4889799,,Szigony utca,apartments,,,,Budapest,,,,1083,yes,,,,yes,,,,
,pharmacy,,,18.9602273,https://www.almapatika.hu/sziklakert-gyogyszertar-budaors,,,,,,,,,,,13,,,,,Mo-Fr 08:00-20:00,+3623500871,,,,Sziklakert gyógyszertár,,,,,,,,,,,,,,47.4623685,,Kossuth Lajos utca,retail,,,,Budaörs,,,,2040,yes,,,,,,,,
,pharmacy,,,20.5480122,,,,,,,,,,,,,,,,2,,,,,,Szirony Gyógyszertár,,,,,,,,,,,,,,46.8623481,,,yes,,,,,,,,,,,,,,pharmacy,,,
,pharmacy,,,20.3251797,,,,,,,,,,,,18,,,,,"Mo,We-Fr 07:30-15:00; Tu 07:30-16:00",,,,,Székfű Patika Fiókgyógyszertár,,Bing,,,,,,,,,,,,47.8713784,,Kossuth Lajos utca,yes,,,,Egerszalók,,,,3394,,,,,,,,,
,pharmacy,,,17.5118926,,,,,,,,,,,,,,,,,,,,,,Vadrózsa Gyógyszertár,,,,,,,,,,,,,,47.5160653,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,19.0690649,,,,,,,,,,,,10,,,,,,,,,,Vasvári Gyógyszertár,,,,,,,,,,,,,,47.6740204,,Sas utca,,,,,Szentendre,,,,2000,,,,,,,,,
,pharmacy,,,17.2359486,,,,,,,,,,,,6/b,,,,,Mo-Fr 07:30-18:30; Sa 08:00-13:00,,,,,Vaszary Gyógyszertár,,,,,,,,,,,,,,46.7646483,no,Vaszary Kolos utca,yes,,,,Keszthely,,,,8360,,,,,yes,pharmacy,,,
,pharmacy,,,18.7448465,,,,,,,,,,,,,,,,,,,,,,Vaszary Patika,,,,,,,,,,,,,,47.7911797,,,yes,,,,,,,,,,,,,,pharmacy,,,
,pharmacy,,,19.0613262,http://www.almapatika.com/vizafogo-gyogyszertar,,,,,,,,,,,10,,,,,Mo-Fr 08:00-19:00,+36 1 3592322,,,,Vizafogó Gyógyszertár,,Bing,,,,,,,,,,,,47.5341249,,Vizafogó sétány,yes,,,,Budapest,,,,1138,,,,,no,,,,HU
,pharmacy,,,19.1400763,,,,,,,,,,,,3,,,,,Mo-Fr 07:30-19:30; Sa 08:00-13:00,,,,,Vácz Remete Gyógyszertár,,,,,,,,,,,,,+36 27 305 997,47.7742434,,Magyar utca,retail,,,,Vác,,,,2600,,,,,,pharmacy,,,
,pharmacy,,,19.0747286,,,,,,,,,,,,4,,,,,,,,,,Városi Gyógyszertár,,,,,,,,,,,,,,47.6672600,,Kanonok utca,retail,,,,Szentendre,,,,2000,,,,,,,,,
,pharmacy,,,19.0288707,,,,,,,,,,,,18/20,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,,Vörösmarty Gyógyszertár,,,,,,http://www.vorosmartypomaz.novodata.hu/,,,,,,,,47.6360639,,Vörösmarty Mihály utca,yes,,,,Pomáz,,,,2013,,,,,,,,,HU
,pharmacy,,,19.0704279,,,,,,,,,,,,32,,,,,,,,,,Zsálya Gyógyszertár,,,,,,,,,,,,,,46.4897985,,Kossuth Lajos utca,yes,,,,Homokmégy,,,,6341,,,,,,,,,
,pharmacy,,,17.7389953,,,,,,,,,,,,,,,,,,,,,,gyógyszertár,,,,,,,,,,,,,,47.6987331,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,20.1642079,,,,,,,,,Árnika Pharma '95 Bt.,,,23,,,,,Mo-Fr 07:30-19:00; Sa 08:00-12:00,,,,,Árnika Gyógyszertár,,,,,,http://arnika-szeged.gyongypatikak.hu/,,"Árnika Gyógyszertár 1995. dec. 21-től működik magángyógyszertárként, addig a Csongrád megyei Gyógyszertári Központ tulajdona volt, az üzemeltette.",,,,,,46.2716973,,Budapesti körút,yes,,,,Szeged,,,,6723,,,,,,pharmacy,,,
,pharmacy,,,19.0339551,,,,,,,,,,,,84,,,,1,Mo-Fr 08:00-20:00; Sa 07:30-13:00,+36 1 3886142,,,,Óbuda Patika,,,,,,,,,,,,,,47.5445590,,Vörösvári út,public,,,,Budapest,,,,1032,,,,,,,,,HU
,pharmacy,,,19.2391678,,,,,,,,,,,,,,,,,,,,,,Újlak Patika,,,,,,,,,,,,,,47.4809571,,,yes,,,,,,,,,,,,,,pharmacy,,,
,pharmacy,,,19.0951776,,,,,,,,,,,,17,,,,,Mo-Fr 08:00-20:00;Sa 08:00-13:00,,,,,Újpesti Király Patika,,Bing,,,,http://www.ujpestikiralybudapest.novodata.hu/,,,,,,,+3613693536,47.5617666,,Király utca,yes,,,,Budapest,,,,1042,,,,,,,,,
,pharmacy,,,21.8610022,,,,,,,,,,,,,,,,,,,,,,Őrangyal Gyógyszertár,,,,,,,,,,,,,,47.7693040,,,yes,,,,,,,,,,,,,,,,,
