shop,name:cy,healthcare:speciality,building:part,wikipedia:en,postal_code,source:outline,fhrs:structural,ref:seedcode,is_in,addr:housenumber,note,old:fhrs:id,man_made,electricity,created_by,pharmacy,source,is_in:town,capacity:disabled,health_specialty:physiotherapy,multipolygon,fhrs:local_authority_id,health_specialty:geriatrics,fax,survey:date,short_name,check_date,leisure,note:outline,historic,facebook,name:uk,motor_vehicle,source:area,smoothness,wikimedia_commons,addr:street,name:em,source:name,fixme,name:en,contact:fax,name,designation,addr:postcode,roof:material,addr:state,name:etymology:wikidata,fhrs:rating,disused,opening_hours:minor_injuries,health_specialty:renal_dialysis,amenity_1,Source,loc_name,description,healthcare:speciality:mental_health,not:addr:postcode,operational_status,wikipedia,minor_injuries_unit,access,fhrs:authority,alt_website,fhrs:confidence_management,email,highway,barrier,contact:email,addr:province,fhrs:id,roof:shape,specialism,insurance:health,source:geometry,addr:city,source:building,military,toilets:wheelchair,internet_access,drive_through,fhrs:businesstype,lon,contact:website,roof:colour,layer,private,height,lat,alt_name,fhrs:hygiene,operator,previous_name,fee,ref:university_of_cambridge,area,opening_hours,hospital,contact:phone,addr:housename,healthcare:speciality:rehabilitation,type,start_date,website,brand,telephone,phone,health_specialty:dentistry,old_name,smoking,disused:fhrs:id,addr:village,abandoned,note:wikidata,source:id,historic:operator,architect,wheelchair:description,dispensing,landuse,source:amenity,hospital:for,amenity,operator:type,reg_name,addr:suburb,surface,building:min_level,wikidata,source:postcode,addr:town,emergency,addr:district,building:levels,lit,FIXME,source:addr,ref:edubase,addr:full,fence_type,last_check,addr:county,source:addr:postcode,ref:charity,building,building:colour,fhrs:inspectiondate,name:gd,url,wheelchair,addr:place,outpatients,beds,healthcare,position,addr:country,operator:wikidata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Church Elm Lane Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1570106,,,,,,51.5399796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Churchill Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2159006,,,,,,51.7503988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CircleBath Hospital,,BA2 8SQ,,,,,,,,,,,,,,,,,,,,,,,,,,204260,,,,,,,,,,,,-2.4178620,,,,,,51.3111467,,,,,,,,,,,,,,,https://www.circlehealth.co.uk/locations/bath,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetbury Road,,,,,,Cirencester Hospital,,GL7 1UY,,,,,,,,,,,,,,,,,,,,,,,,,,13617,,,,,Cirencester,,,,,,,-1.9728104,,,,,,51.7120037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dudley Road,,,,,,City Hospital,,B18 7QH,,,,,,,,,,,,,,,"en:City Hospital, Birmingham",,,,,,,,,,,,,,,,Birmingham,,,,,,,-1.9269033,,,,,,52.4901662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q5123230,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hucknall Road,,,,,,City Hospital,,NG5 1PB,,,,,,,,,,,,,,,en:Nottingham City Hospital,,,,,,,,,,,,,,,,,,,,,,,-1.1653403,,,,,,52.9898195,,,Nottingham University Hospitals NHS Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q7063615,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clackmannanshire Community Healthcare Centre,Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7851520,,,,,,56.1251608,,,NHS Forth Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clacton Hospital,,CO15 1LH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1485663,,,,,,51.7864668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire House Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0257048,,,,,,53.3311001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Glenbuck Road,,,,,,Claremont Medical Centre,,KT6 6BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,,,-0.3070830,,,,,,51.3910384,,,,,,,,,,,,,,,claremontmedicalcentre.co.uk,,,+44 20 8399 2280,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,hospital,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clatterbridge Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0248598,,,,,,53.3303245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q14956827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clay Cross Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4057604,,,,,,53.1680520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleland Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9075176,,,,,,55.8026359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,62-68,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Street,,,,,,Clevedon Community Hospital,,BS21 6BS,,,,,,,,,,,,,,,,,,,,,,,,,,581771,,,,,Clevedon,,,,,,,-2.8468850,,,,,,51.4376354,,,NHS,,,,,,,,,,,,http://www.nscphealth.co.uk,,,+44 1275 872212,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clevedon Minor Injuries Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8472195,,,,,,51.4374442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pershore Road,,,,,,Clifton Hospital,,FY8 1PB,,,,,,,,,,,,,,,,,,,,,,,,,,118938,,,,,Lytham St Annes,,,,,,,-3.0092651,,,,,,53.7434536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,Blue Beck Drive,,,,,,Clifton Park Treatment Centre,,YO30 5RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1139998,,,,,,53.9785327,,,NHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,
,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clipstone Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1377782,,,,,,53.1569655,,,"NHS, Well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clitheroe Community Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3740499,,,,,,53.8836946,,,East Lancashire Hospitals NHS Trust (ELHT),,,,,,,,,,,,https://www.elht.nhs.uk/your-visit/clitheroe-community-hospital,,,01254 263555,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clock View Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9676276,,,,,,53.4525239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q30266560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,Broom Leys Road,,Naptan;FHRS Open Data,,,,Coalville Community Hospital,,LE67 4DE,,,,,,,,,,,,,,,,,,,,,,,,,,28407,,,,,,,,,,,,-1.3493389,,,,,,52.7247335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,FHRS Open Data,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
,,,,,ML5,,,,"Coatbridge, North Lanarkshire, Scotland, UK",,,,,,,,survey,,,,,,,,,,,,,,,,,,,,Hospital Street,,,,,,Coathill Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0238728,,,,,,55.8490180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,North Lanarkshire,,,,,,,,,,,,,,,,,yes,,,,hospital,,GB,
,,,,,NE27 0BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Silverlink North,,,,,,Cobalt Treatment Centre,,NE27 0BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5112157,,,,,,55.0280947,,,Ramsey Healthcare UK,,,,,,,,,,,,https://www.ramsayhealth.co.uk/hospitals/cobalt-hospital,,,+44 191 283 5856,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,1,,,,,,,,,,,yes,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cobholm and Lichfield Health and Resource Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7189923,,,,,,52.6054111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coggeshall Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6840484,,,,,,51.8724122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colchester General Hospital,,,,,,,,,,,,,,,,,en:Colchester General Hospital,,,,,,,,,,,,,,,,,,,,,,,0.8972589,,,,,,51.9075839,,,East Suffolk and North Essex NHS Foundation Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q30280102,,,yes,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,100969,,,,,,,,,,,,,,,Hesketh Road,,,,Colwyn Bay Hospital,,Colwyn Bay Community Hospital,,LL29 8AY,,,,,,,,,,,,,,,,,,Conwy,,,,,,,,40242,,,,,Colwyn Bay,,,,,,,-3.7091075,,,,,,53.2873083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q59536563,,,,,,,,,,,,,,,,,,,,,,Old Colwyn,,,,,GB,
,,,,,,,,,,,,,,,,,User,,,,,,,,,,,,,,,,,,,,,,,,,,Community Paramedic Service,NHS Ambulance Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9141343,,,,,,55.3067837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Compton Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1721572,,,,,,52.5853129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,No Accident & Emergency facilities,,,,,,,,,,,,,,,,,,,,,,,,,,Canal Road,,,,,,Congleton War Memorial Hospital,,CW12 3AR,,,,,,,,,,,,,,,,,,,,,,,,,,891170,,,,,,,,,,,,-2.2044459,,,,,,53.1583514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2548251,,,,,,51.4850657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,User,,,,,,,,,,,,,,,,,,,,,,,,,,Coquetdale Community Hospital,Community Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9143114,,,,,,55.3067119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,hospital,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,04/00302/FOODC,,,,,,,,,,,,,,,Cottingham Road,,,,,,Corby Community Hospital,,NN17 2UN,,,,,,,,,,,,,,,,,,Corby,,,,,,,,10772,,,,,Corby,,,,,,,-0.7108030,,,,,,52.4920148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lodge Road,,,,,,Cossham Hospital,,BS15 1LF,,,,,,,,,,,,,,,,,,,,,,,,,,310424,,,,,Bristol,,,,,,,-2.5172854,,,,,,51.4696586,,,,,,,,,,,,,,,https://www.nbt.nhs.uk/our-hospitals/cossham-hospital,,,,,,,,,,,,,,,,,,,hospital,,,Speedwell,,,Q5174706,,,,,,,,FHRS Open Data,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temple Street,,,,,,Cottage Hospital Llandrindod Wells,,LD1 5HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3774617,,,,,,52.2430776,,,,,,,,,,+44 1597 822951,,,,1880,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool Road,,,,,,Countess of Chester Hospital,,CH2 1UL,,,,,,,,,,,,,,,,,,,,,,,,,,589729,,,,,Chester,,,,,,,-2.8989961,,,,,,53.2134922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q5177080,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bing;estimation,,,,,,,,,,,,,,,,,,,,,,survey,,,,County Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0281453,,,,,,51.6905929,,,,,,,,,,,,,,,http://www.wales.nhs.uk/sitesplus/866/page/40483,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q5177693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Approximate area,,,,,,Bing;survey,,,,,,,,,,,,,,,,,,,,,,,,,,County Hospital,,,,,,,,,,,,,,,,,en:Stafford Hospital,,,,,,,,,,,,,,,,,,,,,,,-2.0925174,,,,,,52.8106639,Stafford Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q7596631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bing;survey,,,,,,,,,,,,,,,,,,,,,,,,,,County Hospital Louth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0112868,,,,,,53.3724006,,,United Lincolnshire Hospitals NHS Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Courtenay House Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2772789,,,,,,51.9510937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coventry and Warwick Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5068838,,,,,,52.4155386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,360,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,Argyll Street,,,,,,Cowal Community Hospital,,PA23 7RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9292939,,,,,,55.9592810,,,,,,,,,,,Cowal Community Hospital,,,,,,,+44 1369704341,,,,,,,,,,,,,,,,hospital,,,,,,Q5179425,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,Coylton Health Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5170675,,,,,,55.4420343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crawley Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crawley,,,yes,,,,-0.1964447,,,,,,51.1175105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated Blue Badge spaces near Green Wing. Ramped and step-free access to automatic or powered doors. Step-free route to bus stops. Hearing Loop at Red Reception - may be off. Other loops not working on 2/2/2016,,,,,hospital,,,,,,Q5182983,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crediton Hospital (No A & E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6754095,,,,,,50.7926643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,OS_OpenData_StreetView,,,,,,,,,,,,,,,,,,,,,,,,,,Cree Day Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5969711,,,,,,55.0536604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,King Street,,,,,,Creiff Community Hospital,,PH7 3HR,,,,,,,,,,,,,,,,,,,,,,,,,,924257,,,,,Crieff,,,,,,,-3.8422540,,,,,,56.3693449,,,,,,,,,,,,,,,https://www.nhstayside.scot.nhs.uk/GoingToHospital/OurPremisesA-Z/CrieffCommunityHospital/index.htm,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crewkerne Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7978836,,,,,,50.8813047,,,NHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cromwell Hospital,,,,,,,,,,,,,,,,,en:Cromwell Hospital,,,,,,,,,,,,,,,,,,,,,,,-0.1919803,,,,,,51.4948943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q5187669,,,,,,,,,,,,,,,,yes,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Lane,,,,,,Cross Lane Hospital,,YO12 6DN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scarborough,,,,,,,-0.4268468,,,,,,54.2974228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crosshouse Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5341338,,,,,,55.6117616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q7894766,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South View Road,,,,,,Crowborough War Memorial Hospital,,TN6 1HB,,,,,,,,,,,,,,,,,,,,,,,,,,171236,,,,,,,,,,,,0.1567378,,,,,,51.0513923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,FHRS Open Data,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,530,,,,,,,,,,,,,,,,,,,,,,,,,,,London Road,,,,,,Croydon University Hospital,,CR7 7YE,,,,,,,,,,,,,,,,,,Croydon,,,,,,,,370621;918528,,,,,Thornton Heath,,,,,,,-0.1075482,,,,,,51.3887237,Mayday Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q5189706,FSA Food Hygiene Ratings database,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Culm Valley Integrated Centre for Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3918841,,,,,,50.8648898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumberland Infirmary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9560547,,,,,,54.8943119,,,North Cumbria University Hopsitals NHS Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q5193911,,,yes,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cygen Hospital, Bierley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7324617,,,,,,53.7684853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cygnet Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3380254,,,,,,51.5675356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,GU21 2QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cygnet Hospital,,GU21 2QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6157494,,,,,,51.3149480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,+44 161 762 4747,,,,,,,,,,,,,Buller Street,,,,,,Cygnet Hospital,,BL8 2BS,,,,,,,,,,,,,,,,,,,,,grantstevens@cygnethealth.co.uk,,,,,,,,,,Bury,,,,,,,-2.3162019,,,,,,53.5875739,,,Cygnet Health Care,,,,,,,,,,,,https://www.cygnethealth.co.uk/locations/cygnet-hospital-bury/,,0161 762 7200,+44 161 762 7200,,Alpha Hospital,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,100,,,,,,,estimation;survey,,,,,,,,,,,,,,,,,,,,City Gate,,,,,,Cygnet Hospital Derby,,DE24 8WZ,,,,,,,,,,,,,,,,,,,,,,,,,,441876,,,,,Derby,,,,,,,-1.4545387,,,,,,52.9075866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cygnet Hospital Ealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2974923,,,,,,51.5211864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cygnet Hospital Godden Green,,TN15 0JR,,,,,,,,,,,,,,,,,,,,,,,,,,266813,,,,,,,,,,,,0.2297999,,,,,,51.2708655,,,,,,,,,,,,,,,https://www.cygnethealth.co.uk/,,,+441732763491,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,FHRS Open Data,,,,,,,,hospital,,,,,,,,,,,,
,,alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aldrens Lane,,,,,,Dacrelands Clinic,,LA1 2DU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lancaster,,,,,,,-2.8003712,,,,,,54.0596634,,,,,,,,,,,,,,,http://www.dacrelands.co.uk/,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,hospital,,,
