health_facility:type,shop,office,healthcare:speciality,OGD-Stmk:ARZTNR,description:de,health_specialty:ophthalmology,insurance:OEDA,addr:housenumber,description,addr:state,name:de,source,addr:village,addr:conscriptionnumber,healthcare:speciality:de,insurance:BVA,fax,at_bev:addr_date,emergency,contracts,historic,addr:street,fixme,contact:fax,addr:city,designation,addr:postcode,roof:material,insurance:SVA,health_specialty:surgery,insurance:VA,int_name,owner,full_name,insurance,phone_1,insurance:KFAW,wikipedia,insurance:KFAG,ref,email,source:housenumber,contact:email,contact:phone1,roof:shape,doctors,health_specialty:internal_medicine,general_medicine,health_specialty:general,health_person:type,health_specialty:radiology,toilets:wheelchair,source_ref,origin,lon,contact:website,roof:colour,lat,alt_name,building:roof:shape,source_1,operator,insurance:GKK,short_name,opening_hours,contact:phone,addr:housename,name,contact:mobile,OGD-Stmk:OBJECTID,start_date,website,phone,old_name,smoking,url,dispensing,landuse,amenity,addr:suburb,wikidata,medical_system:western,addr:district,building:levels,image,note,source:addr,building:material,addr:full,health_specialty:massage_therapy,min_height,health_specialty:orthopaedics,date,building,building:colour,health_specialty:optometry,wheelchair,addr:place,healthcare,addr:country
,,,,,,,,43,,,,,,,,,,2017-10-01,,,,,,,St. Pantaleon,,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8483624,,,48.0248208,,,,,,,,,,Dr. Binder,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,Riedersbach,,AT
,,,,,,,,19,,,,,,,,,,2017-04-07,,,,Alt Kirchberg,,,St. Pantaleon,,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8680618,,,48.0062298,,,,,,,,,,Dr. Binder,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,32,,,,,,,,,,,,,,Hauptstraße,,,Münchendorf,,2482,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3797228,,,48.0287281,,,,,,,"Mo 08:00-12:00, 16:00-18:00; Tu 08:00-12:00; Th 08:00-11:00, 16:00-18:00; Fr 08:00-13:00",,,Dr. Birgit Pechter,,,,,+43 2259 2262,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,10,,,,geoimage.at,,,,,,2017-10-01,,,,Sonnenweg,,,Weng im Innkreis,,4952,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1738904,,,48.2305359,,,,,,,,,,Dr. Breban,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,3925.0,,,,2,,,,Land Steiermark - data.steiermark.gv.at,,,Arzt für Allgemeinmedizin,yes,,,,,,Dr. Friedrichweg,,+43 3463 8022022,St. Stefan,,8511,,yes,,yes,,,,"BVA,GKK, KFAG, KFAW, SVA, VA",,yes,,yes,,,,drfriedrich@zeitzentrum.at,,,,,,,,,,,,15.2514460,,,46.9287908,,,,,yes,,,+43 3463 80220,,Dr. Camilla Friedrich,,1746,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,neuropsychiatry,,,,,283,,,,,,,,,,,,,,Obere Feldstraße,,,Pitten,,2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1786636,,,47.7143294,,,,,,,"Mo 10:00-12:00; Tu 08:30-12:00, 15:00-17:00; Th, Fr 08:30-12:00",,,Dr. Catharina Harasko - van der Meer,,,,http://neuro.harasko.eu/,+43 650 24 74 424,,,,,,doctors,,,,,2,,,,,,,,,,yes,,,,,,
,,,,,,,,23,,,,,,,,,,2018-04-02,,,,Mitterweg,,,Tribuswinkel,,2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2735683,,,48.0103270,,,,,,,,,,Dr. Christa Laschober,,,,https://sso.arztnoe.at/arztsuche/displayMedic/aeknoe?q=id:6903,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,8/1/5,,,,,,,,,,,,,,Turnerweg,,,Rust,,7071,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6674678,,,47.7985530,,,,,,,,,,Dr. Christian Euler,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,22,,,,,,,,,,2018-10-01,,,,Hauptstraße,,,Blindenmarkt,,3372,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9900374,,,48.1287944,,,,,,,"Mo-Fr 08:00-12:00; Tu 08:00-12:00,15:00-18:00; Th off",,,Dr. Christian Haunschmidt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,8,,,,,,,,,,,,,,Dorfstraße,,,Herzogsdorf,,4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1094370,,,48.4292006,,,,,,,,,,Dr. Christian Josef Nöbauer,,,,,07231/2204,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,9,,,,geoimage.at,,,,,,,,,,Riegerting,,,Mehrnbach,,4941,,,,,,,,,,,,,,office@drsuess.at,,,,,,,,,,,,,,13.4033015,,,48.1778055,,,,,,,"Mo 08:00-12:00,16:00-18:00; Tu,Fr 08:00-11:30; We 16:00-19:00; Th 08:00-12:00; Sa,Su,PH off",,,Dr. Christian Süß,,,,https://www.drsuess.at/,+43 7752 82062,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,5,,,,,,,,,,,,,,Oberer Markt,,,Reichenthal,,4193,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3825462,,,48.5424208,,,,,,,,,,Dr. Christian Winkler,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,45,,,,,,,,,,,,,,Birkenweg,,,Hochburg-Ach,,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8386326,,,48.1616978,,,,,,,"Mo,We,Fr 08:00-12:00; Tu 08:00-12:00,16:00-18:00; Th 08:00-12:00; PH off",+43 7727 2403,,Dr. Christian Wolfgruber,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,yes,,doctor,
,,,,,,,,5,Praktischer Arzt,,,GeoImage,,,,,,,,,,Laudachweg,,,Vorchdorf,,4655,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9232296,,,48.0000227,,,,,,,,,,Dr. Christoph Hohn,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,ophthalmology,,,,,14,,,,,,,,,,,,,,Birkenweg,,,Neustift im Mühlkreis,,4143,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7642194,http://www.augenarzt-wundsam.at/,,48.5304981,,,,,,,,,,Dr. Claudia Wundsam,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,6,,,,,,,,,,,,,,Rathausgasse,,,Neckenmarkt,,7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5502113,,,47.5963533,,,,,,,"Mo-We 07:00-12:00; Fr 07:00-12:00, 16:00-18:00",,,Dr. Claus Ulf Schlaffer,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,yes,,,AT
,,,psychiatry;neurology,4784.0,,,,163;161,,,,Land Steiermark - data.steiermark.gv.at,,,Facharzt für Psychiatrie und Neurologie,yes,,,,,,Andritzer Reichsstraße,,+43 316 69297415,Graz,,8046,,yes,,yes,,,,"BVA, KFAG, SVA, VA",,,,yes,,,,constanze.dennig@dennig.at,,,,,,,,,,,,15.4038924,,,47.1113392,,,,,,,,+43 316 692974,,Dr. Constanze Dennig-Staub,,816,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,general;gastroenterology;hepatology,,,,,34,,,,,,,,,,,,,,Westbahnstraße,,,Sankt Valentin,,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5231001,,,48.1788551,,,,,,,,,,Dr. Csillag,,,,http://internist-csillag.at/,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,7,,,,,,,,,,,,,,Buchbergstraße,,,Leonding,,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2589630,,,48.2839871,,,,,,,,+43 732 675142,,Dr. Dieter Nitsche,,,,,,,,,,,doctors,,,,,,,Innere Medizin,,,,,,,,house,,,,,,AT
,,,,,,,,,,,,,,,,,,,,,,Arztgasse,,,Lanzenkirchen,,2821,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2417192,,,47.7463039,,,,,,,,,,Dr. Dock,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,22,,,,,,,,,,,,,,Schulstraße,,,Julbach,,4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8654274,,,48.6585901,,,,,,,,,,Dr. Dolecek,,,,,+43 7288 71055,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,346,,,,,,,,,,2018-10-01,,,,Wienerstraße,,,Gars am Kamp,,3571,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6678216,,,48.5964676,,,,,,,,,,Dr. Dolensky,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,8,,,,,,,,,,,,,,Schulstraße,,,Königswiesen,,4280,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8384663,,,48.4082301,,,,,,,"Mo, Tu, Fr 07:30-11:30; We 07:30-11:30, 16:00-18:00; Th 16:00-18:00",+43 7955 67020,,Dr. Dominik Stadler,,,,,,,,,,,doctors,,,,,,,"Am Mittwoch Amtsstelle Mönchdorf, Hauptstraße 8, 0664 57 38 587",,,,,,,,yes,,,,,,AT
,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4793950,,,47.2795185,,,,,,,,,,Dr. Drexler,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,ophthalmology,,,,,56,,,,,,,,,,,,,,Roseggerstraße,,,Mistelbach,,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5874808,,,48.5664789,,,,,,,,,,"Dr. Ebermann, Dr. Waditschatka",,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,general,4887.0,,,,105,,,,Land Steiermark - data.steiermark.gv.at,,,Arzt für Allgemeinmedizin,,,,,,,,,+43 3338 32044,Limbach,,8241,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0039499,,,47.4014685,,,,,,,,+43 3338 4200,,Dr. Eduard Lopatka,,1319,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,Limbach,doctor,AT
,,,general,,,,,5,,,,,,,,,,2017-10-01,,,,Römerstraße,,,Schwanenstadt,,4690,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7703013,,,48.0498871,,,,,,,,,,Dr. Eduard Schlömmer Arzt für Allgemeinmedizin,,,,http://www.sport-arzt.at/,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,physician,orthopaedics,,,,,36,,,,,,,,,,,,,,Liechtensteinstraße,,,Mistelbach,,2130,,,,,,,,,,,,,,ordi@eiserle.at,,,,,,,,,,,,,,16.5810938,,,48.5660198,,,,,,,"Mo 15:00-20:00; Tu-We 08:00-14:00; Th 08:00-16:00; Fr-Su,PH off",,,Dr. Eisele,,,,http://www.eiserle.at/,+43 2572 2829,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,43,,,,http://www.meinbezirk.at/moedling/leute/noe-gebietskrankenkasse-neue-vertragsaerzte-in-wr-neudorf-d787492.html,,,,,,,,,,Hauptstraße,,,Wiener Neudorf,,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3226445,,,48.0855419,,,,,,,"Mo 13:00-18:00; Tu,Th,Fr 08:00-12:00; We 14:00-17:00",,,Dr. Elisabeth Stadter-Halmer,,,,,+43 2236 61111,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,7,,,,"geoimage.at, survey",,,,,,,,,,Bödmerstraße,,,Mittelberg,,6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1578659,,,47.3245152,,,,,,,,,,Dr. Elmar Lingg,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9215113,,,47.9827041,,,,,,,,,,Dr. Erhart,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,
,,,,,,,,14,,,,basemap.at Ortho,,,,,,2017-10-01,,,,Alexiusweg,,,Hellmonsödt,,4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3001950,,,48.4326787,,,,,,,"Mo-Tu 8:00-11:30,18:00-19:00;We 08:00-11:30;Fr 8:00-11:30,18:00-19:00;Sa 08:00-11:00;Th off",,,Dr. Ernst & Dr. Marion Kröpl,,,,http://kroepl.at/ordination/,,,,,,,doctors,,,,,,,,,,,,,,,house,,,yes,,,AT
,,,,,,,,104,,,,,,,,,,,,,,Holzheimer Straße,,,Leonding,,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2521241,,,48.2884433,,,,,,,,+43 732 782356,,Dr. Ernst Richter,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,,,,,,,7,,,,geoimage.at,,,,,,2016-10-02,,,,Wiesnerstraße,,,Altheim,,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2348744,,,48.2492142,,,,,,,,,,Dr. Etzler,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,111,,,,basemap.at 2013,,,,,,2017-04-07,,,,Mirnockstraße,,,Millstatt am See,,9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5752777,,,46.8037396,,,,,,,,,,Dr. Eva Maria Stoxreiter,,,,,+43 (0)4766 2027,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,36,,,,,,,,,,,,,,Schlößlestraße,,,Röthis,,6832,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6601555,,,47.2900322,,,,,,,"Mo,Fr 08:30-11:30; Tu-We 08:30-11:30,17:00-19:00; Th off",,,Dr. Fidel Elsensohn,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,34,,,,geoimage.at,,,,,,,,,,Passionsweg,,,Mettmach,,4931,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3424617,,,48.1741546,,,,Dr. Franz Daringer,,,,,,Dr. Franz Daringer,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,
,,,general,5796.0,,,yes,185,,,,"Land Steiermark - data.steiermark.gv.at; Adressdaten: © Österreichisches Adressregister, Stichtagsdaten vom 02.10.2016",,,Arzt für Allgemeinmedizin,yes,,2017-10-01,,,,Stein an der Enns,,+43 3685 243,Sölk,,8961,,yes,,yes,,,,"BVA, GKK, KFAG, KFAW, SVA, OEDA, VA",,yes,,yes,,,,,,,,,,,,,,,,13.9423952,,,47.4343503,,,,,yes,,,+43 3685 24320,,Dr. Franz Ploder,,2420,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,physician,,,,,,11,,,,,,,,,,,,,,Mitschastraße,,,Mistelbach,,2130,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,16.5748746,,,48.5658574,,,,,,,,,,Dr. Franz Schwelle,,,,,,,,,,,doctors,,,yes,,,,,,,,,,,,yes,,,,,,
,,,,,,,,165,,,,,,,,,,2018-04-02,,,,Statteggerstraße,,,Stattegg,,8046,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4242322,,,47.1307343,,,,,,,,,,Dr. Freigassner Maria Martina,,,,,+43 316 816681,,,,,,doctors,Neudorf,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,1,,,,,,,,,,,,,,Lusweg,,,Ulrichsberg,,4161,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9160834,,,48.6725442,,,,,,,,,,Dr. Friedl,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,1,,,,,,,,,+43 2572 2164,,,,,Spreitzergasse,,,Mistelbach,,2130,,,,,,,,,,,,,,ordination@kindermed.at,,,,,,,,,,,,,,16.5639385,,,48.5709196,,,,,,,"Mo, Th 17:00-18:00",,,Dr. Friedrich Brandstetter,,,,http://kindermed.at/,+43 2572 2164,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,5684.0,,,yes,38,,,,Land Steiermark - data.steiermark.gv.at,,,Arzt für Allgemeinmedizin,yes,,,,,,,,+43 3171 3802,Gasen,,8616,,yes,,yes,,,,"BVA, GKK, KFAG, KFAW, SVA, OEDA, VA",,yes,,yes,,,,friedrich.ritter@aon.at,,,,,,,,,,,,15.5800139,,,47.3841459,,,,,yes,,,+43 3171 380,,Dr. Friedrich Ritter,,1906,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,Sonnleitberg,doctor,AT
,,,general,,,,,3,,,,,,,,,,,,,,Ferdinandsplatz,,,,,3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0144395,,,48.2547355,,,,,,,,,,Dr. Fuchs,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,general,,,,,7,,,,,,,,,,,,,,Schindlweg,,,Ulrichsberg,,4161,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9067507,,,48.6751670,,,,,,,,,,Dr. Gabriel,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,62,,,,,,,,,,,,,,Wiener Straße,,,Spillern,,2104,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2643407,,,48.3768925,,,,,,,"Mo 09:00-12:00,15:00-18:00; We 15:00-19:00; Th 09:00-12:00; Fr 10:00-13:00",,,Dr. Gabriela Fidler-Straka,,,,,,,,,,,doctors,,,,,2,,,,,,,,,,house,,,,,,AT
,,,general,,,,,101,,,,,,,Ärztin für Allgemeinmedizin,,,,,,,Hauptstraße,,,Eichgraben,,3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9799030,,,48.1683064,,,,,,,"Mo-Fr 08:00-12:00; We 07:00-12:00, 18:00-21:00; Th, Fr 14:00-16:00",+43 2773 424 78,,Dr. Gabriele Rehfeld-Schwarzer,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,23,,,,geoimage.at,,,,,,,,,,Wiener Straße,,,,,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9843004,,,48.4706064,,,,Dr. Anton Karl Galle,,,,,,Dr. Galle,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,geoimage.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9748022,,,47.3286575,,,,,,,,,,Dr. Ganthaler,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,26,,,,,,,,,,,,,,Karl-Mauracher-Weg,,,Fügen,,6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8492546,,,47.3422575,,,,,,,,,,Dr. Gerald Mair,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,2,,,,,,,,,,,,,,Markt,,,St. Georgen am Walde,,4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8955258,,,48.3599959,,,,,,,"Mo,We,Fr 07:30-12:00; Tu 07:30-12:00,17:00-19:00; Sa 08:30-10:30",+43 7954 3003,,Dr. Gerald Moser,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,doctor,AT
,,,,,,,,20,Praktischer Arzt,,,GeoImage,,,,,,,,,,Römerstraße,,,Vorchdorf,,4655,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9324241,,,47.9977896,,,,,,,,,,Dr. Gerhard Gruber,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,6,,,,,,,,,,,no,,,Brunnengasse,,,Hof am Leithaberge,,2451,,,,,,,,,,,,,,,,,,,,,,,,,,,node 1706255609,16.5806832,,,47.9437564,,,,,,,"Mo 15:00-17:00, We 08:00-10:00, Th 08:00-12:00, Fr 11:00-12:00",,,Dr. Gerhard Huber,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,acupuncture;general,,,,,5,"Arzt für Allgemeinmedizin, Akupunktur - Manuelle Medizin",,,geoimage.at; local inspection,,,,,,,,,,Franz-Pilz-Straße,,,Amstetten,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8736293,,,48.1101787,,,,,,,Mo 07:30-11:30; Tu 16:30-19:30; We off; Th-Fr 07:30-11:00; Sa-Su off,+43747262615,,Dr. Gerhard Walter,,,,,,,,,,,doctors,Allersdorf,,,,,,,,,,,,,,house,,,,,doctor,AT
,,,,,,,,38,,,,,,,,,,,,,,Alpenblickstraße,,,Leonding,,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2576927,,,48.2816475,,,,,,,,+43 664 5405656,,Dr. Gerlinde Rodemund,,,,,,,,,,,doctors,,,,,,,Allgemeinmedizin,,,,,,,,house,,,,,,AT
,,,,,,,,1,,,,,,,,,,2017-10-01,,,,Schubertstraße,,,Knittelfeld,,8720,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8260933,,,47.2111497,,,,,,,,,,Dr. Gerlis Schlögl,,,,,,,,,,,doctors,,,,Murtal,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,16,,,,geoimage.at,,,,,,,,,,Grüner Weg,,,St. Georgen im Attergau,,4880,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4837815,,,47.9337364,,,,,,,,,,Dr. Grabner,,,,http://www.grabnerwolfgang.at/,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3672387,,,48.5284281,,,,,,,,,,"Dr. Gumpinger Hand, Allgemeinmedizin",,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,Schulstraße,,,Molln,,4591,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2569277,,,47.8851091,,,,,,,,,,Dr. Gärtner Martin,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,11,,,,,,,,,,,,,,Sartrestraße,,,Sammersdorf,,4055,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1793673,,,48.1853490,,,,,,,,+43 7229 88895,,Dr. Günter Steinhardt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,,,,,,,12,,,,,,,,,,,,,,Rettenbergstraße,,,Kolsass,,6114,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6293252,,,47.3003059,,,,,,,,,,Dr. H.C. Pichler-Gerges,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,239,,,,,,,,,,,,,,Unternalbstraße,,,Retz,,2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9523778,,,48.7512285,,,,,,,,,,Dr. Handojo Soeparno,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,22a,,,,,,,,,,,,,,Neugasse,,,Deutschkreutz,,7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6296912,,,47.6005305,,,,,,,"Mo, Th 07:30-12:00; We 07:30-11:30, 16:30-18:00; Fr 07:30-11:30, 16:00-18:00",,,Dr. Hans Christian Filz,,,,http://www.deutschkreutz.at/aerzte.html,+43 2613 80172,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,27,,,,Interpretation based on aerialview of (c) http://tiris.tirol.gv.at www.geoimage.at www.basemap.at,,,,,,,,,,,,,Prägraten am Großvenediger,,9974,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3755384,,,47.0172079,,,,,,,,,,Dr. Hans Trojer,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,St. Andrä,,AT
,,physician,,,,,,22a,,,,,,,,,,,,,,Feld-Weg,,,Frankenmarkt,,4890,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4127720,,,47.9893152,,,,,,,,,,Dr. Haselbruner,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,general,,,,,3,,,,www.knittelfeld.at,,,,,+43 3512 4450044,,,,,Hauptstraße,,,St. Margarethen bei Knittelfeld,,8720,,,,,,,,"GKK, KFA",+43 664 3152168,,,,,info@ordination-korber.at,,,,,,,,,,,,,,14.8595965,,,47.2273159,,,www.docfinder.at,,,,"Mo 08:30-12:30, Tu 08:30-10:30, We 08:30-12:30, Th 16:00-19:00, Fr 08:30-10:30",,,Dr. Heimo Korber,,,,https://www.ordination-korber.at/,+43 3512 44500,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,
,,,,,,,,13,,,,geoimage.at,,,,,,,,,,Herrengartenweg,,,Hard,,6971,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6960398,,,47.4889955,,,,,,,,,,Dr. Heinz Hammerschmidt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,39,,,,,,,,,,,,,,Grinzinger Allee,,,Wien,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3419103,,,48.2537144,,,,,,,Mo 11:00-17:00; Tu 10:00-14:00; Th 09:00-16:00,,,Dr. Helga Richter,,,,,+43 1 320 14 46,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4018155,,,48.7883241,,,,,,,,,,Dr. Helmut Köck,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,physician,general,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7695223,,,48.8545308,,,,,,,,,,Dr. Helmut Leidemann,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,Riegersburg,,
,,,,,,,,24a,,,,,,,,,,,,,,Albrechtstraße,,,Wels,,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9913254,,,48.1573998,,,,,,,,,,Dr. Helmut Nimmerfall,,,,,+43 7242 605600,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,3970.0,,,,41,,,,Land Steiermark - data.steiermark.gv.at;bing;survey,,,Arzt für Allgemeinmedizin,yes,,,,,,Obere Hauptstraße,,+43 3178 2788,Sankt Ruprecht an der Raab,,8181,,yes,,yes,,,,"BVA, GKK, KFAG, KFAW, SVA, VA",,yes,,yes,,,,,,,,,,,,,,,,15.6619621,,,47.1552231,,,,,yes,,,+43 3178 2788,,Dr. Herbert Petermichl,,1249,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,25,,,,,,,,,,,,,,Kruppstraße,,+43 2672 81120,Berndorf,,2560,,,,,,,,,,,,,,,,walzel@medicalnet.at,,,,,,,,,,,,16.1031843,http://www.ordination-walzel.at/,,47.9424203,,,,,,,"Mo,We 07:30-12:30; Tu 16:00-19:00; Fr 13:00-17:00",+43 2672 82601,,Dr. Herbert Walzel,,,,,,,,,,,doctors,,,,,,,"Mo,We 07:30-09:00 ausschließlich Blutabnahme",,,,,,,,yes,,,,,doctor,AT
