shop,amenity,drive_through,lon,contact:website,old_name,payment:debit_cards,payment:cash,building:roof:shape,operator,payment:credit_cards,brand:wikipedia,addr:housenumber,building:levels,opening_hours,contact:phone,addr:housename,note,source,payment:cheque,brand:wikidata,addr:street,email,website,addr:postal_district,fax,is_in,contact:email,building:roof,brand,contact:facebook,phone,craft,building:use,contact:twitter,smoking,lat,addr:city,building,contact:fax,fixme,year_built,name,wheelchair:description,level,addr:postcode,wheelchair,source:geometry,start_date,payment:contactless,dispensing,healthcare,building:cladding,addr:country
,pharmacy,no,-6.2719484,,,,,,Stacks Pharmacy,,,4-5,,"Mo-Th 09:00-19:00; Fr 09:00-18:00; Sa 10:00-14:00; Su, PH Closed",,,,,,,Finglas Road,,https://www.stackspharmacy.ie/locations/24,,,,,,,,+353-1-8305543,,,,,53.3661673,Dublin,yes,,,,Stacks Pharmacy,,,,,,,,yes,pharmacy,,
,pharmacy,no,-9.2980127,,,,,,,,,,,Mo-Th 09:30-19:00; Fr-Sa 09:30-18:00; Su off,,,,,,,,,,,,,,,,,,,,,,53.8592405,,retail,,,,Staunton's Allcare Pharmacy,,,,,,,,yes,pharmacy,,
,pharmacy,no,-8.6006346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2693226,,yes,,,,Strandhill Pharmacy,,,,,,,,yes,pharmacy,,
,pharmacy,,-6.7338812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4826937,,yes,,,,Summerhill Pharmacy,,,,,,,,,,,
,pharmacy,no,-7.8278405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2719569,,retail,,,,The Medical Hall,,,,,,,,yes,pharmacy,,
chemist,pharmacy,no,-6.2089109,,,,,pitched,,,,2,2,Mo-Sa 09:00-18:00,,,,,,,The Rise,,,,,,,,,,+353 1 288 2842,,,,,53.2993290,Mount Merrion,retail,,,,The Rise Pharmacy,Stiff inward opening door,,,yes,,,,yes,pharmacy,,
,pharmacy,no,-6.2644745,,,,,,,,,21,,"Mo-Th 09:30-20:00, Fr 09:30-20:00, Sa 10:00-20:00, Su 12:00-17:00",,,,,,,Essex Street East,,https://templebarpharmacy.com/,,,,,,,,+353 1 6709751,,,,,53.3455367,Dublin,yes,,,,The Temple Bar Pharmacy,,,,no,,,,yes,pharmacy,,
,pharmacy,no,-6.2570051,,,,,,,,,18,,,,,,,,,Eden Quay,,,,,,,,,,+353-1-8740179,,,,,53.3481952,Dublin,yes,,,,Tracey's Pharmacy,,,,,,,,yes,pharmacy,,
,pharmacy,no,-9.3002948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8560673,,yes,,,,Treacy and Durcan,,,,,,,,yes,pharmacy,,
,pharmacy,,-6.1721212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3801688,,yes,,,,Tullys Pharmacy,,,,,,,,,,,
,pharmacy,no,-7.7992894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7263147,,yes,,,,Ward,,,,,,,,yes,pharmacy,,
,pharmacy,no,-7.3419910,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,53.5256493,,retail,,,,Weir's Chemists,,,,,,,,yes,pharmacy,,
,pharmacy,,-9.0511767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2739078,,,,,,Whelan's,,,,,,,,,pharmacy,,
,pharmacy,no,-7.2521764,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,52.6506522,,yes,,,,Whites Pharmacy,,,,,,,,yes,pharmacy,,
,pharmacy,no,-7.8509425,,,,,,,,,149,,Mo-Sa 09:30-18:00,,,,,,,North Main Street,,https://www.youghalpharmacy.com/,,+353-24-90007,,,,,,+353-24-90073,,,,,51.9562963,Youghal,commercial,,,,Youghal Pharmacy,,,,,,,,yes,pharmacy,,
