health_facility:type,maxspeed,source:name:oc,healthcare:speciality,contact:postcode,social_facility,name:co,payment:cash,postal_code,CLC:code,ref:FR:FINESS,capacity:parent,children,is_in,addr:housenumber,lit,alt_name_1,electricity,tourism,name:de,source,location,capacity:disabled,image,fax,payment:discover_card,junction,short_name,source:name,ref:FR:SIREN,name:als,leisure,ref:FR:SIRET,historic,facebook,motor_vehicle,foot,internet_access:ssid,source:FINESS,smoothness,wikimedia_commons,addr:street,bmo:type,architect:wikipedia,fixme,name:en,contact:fax,name,official_name,level,type:FR:FINESS,addr:postcode,name:etymology:wikidata,shortest_name,source:geometry:date,ref:mhs,contact:email,maternity,operator_type,CLC:id,disused,type:FR:PLU,source:addr:housenumber:ref,payment:mastercard,bicycle,twitter,parking,loc_name,payment:credit_cards,AUCAME:ID_Unique,source:addr,capacity,network,internet_access:fee,political_division,wikipedia,access,url:merime,source:heritage,boundary,ref,email,highway,barrier,healthcare,name:br,roof:shape,alt_name:br,ref:structurae,contact:twitter,ref:FR:FANTOIR,wall,operator:short_name,inscription:fr,health_facility_type,tracktype,source:geometry,addr:city,source:building,CLC:year,military,toilets:wheelchair,internet_access,old_short_name,health_amenity:type,addr:territoire,maxstay,name:oc,lon,contact:website,survey:date,layer,addr:streetnumber,height,name:source,alt_name,type,operator,name:pl,contact:city,source:alt_name:br,area,opening_hours,contact:phone,addr:housename,description1,whc:inscription_date,source:name:br,heritage,park_ride,start_date,website,contact:housenumber,nohousenumber,capacity:women,source:date,phone,construction,old_name:en,old_name,mhs:inscription_date,ref:FR:NAP,aeroway,architect,dispensing,ref:FR:NAF,url:drac,landuse,source:amenity,roof:levels,source:ref:FR:FINESS,addr:street_1,amenity,operator:type,entrance:width,source:addr:version,updated,surface,building:level,wikidata,hospital:for,payment:notes,social_facility:for,operational_status,emergency,addr:district,building:levels,provided_for,cycleway,note,operator:wikipedia,name:fr,contact:street,AUCAME:ID_Source,description,building:material,note:fr,addr:full,fence_type,emergency_phone,payment:visa,old_name:wikipedia,roof:colour,lat,medical_system:western,building,building:colour,natural,payment:coins,url,wheelchair,addr:place,dog,beds,entrance:step_count,ref:whc,oneway,entrance:step:height,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,250001237,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,,,,,,,,,,,,26250175200188,,,,,,,,,,,,,,,Centre de long séjour de Bellevaux,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,6.0215783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8610Z,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2422323,,,,,,,,,,,,,,,,,
,,,,,,,,,,280000266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de réadaptation CRF de Beaurouvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2736067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3184911,,,,wood,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de réadaptation Château Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7680460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7940768,,,,,,,,,,,,,,,,,
,,,,,,,,,,170780043,,,,,,,,,,,,,,+33 5 46 43 48 22,,,,,,,,,,,,,,,,,,,,,,,Centre de réadaptation fonctionnelle Richelieu,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808,centre.richelieu@croix-rouge.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1745953,,,,,,,,,Croix-Rouge française,,,,,,,,,,,,,,https://pourvous.croix-rouge.fr/centre-de-readaptation-fonctionnelle-richelieu,,,,,+33 5 46 43 12 05,,,,,,,,,,,,,,,,hospital,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1538977,,,,,,,,,,,,,,,,,Q3003244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de rééducation fonctionnelle de la Hève,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,hospital,,,,,,,,,,,,,,,,,,,,,,,,0.0875644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5194193,,,,,,,,,,,,,,,,,
,,,,,,,,,,310780234,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de rééducation fonctionnelle du Cabirol,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,1.3291387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5971770,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,310025226,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de santé,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,1.6246255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,43.3601681,,yes,,,,,yes,,,,,,,,,,
,,,,,,,,,,370000986,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de soins Louis Sevestre,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6465182,,,,,,,,,,,,,,,,,,,,,,,,,,,,+33 2 47 42 46 46,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4389649,,hospital,,,,,,,,,,,,,,,
,,,,,,,,,,360003149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de soins de suite et de réadaptation,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,1.7042166,,,,,,,,,Centre hospitalier Châteauroux - Le Blanc,,,,,,,,,,,,,,https://www.ch-chateauroux-leblanc.fr/offresoinsch/27/le-centre-de-soins-de-suite-et-de-readaptation-c-s-s-r-,,,,,,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7925722,,,,,,,,,,,,,,,,,
,,,gastroenterology,,,,,,,690029186,,,,,,,,,,Le ministère des solidarités et de la santé - 10/2018,,,,+33472390615,,,,,,,,49864969800012,,,,,,,,,,,,,,,Centre des Maladies du Foie et de l'Appareil Digestif,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8233310,,,,,,,Endoscopie Lyon Sud Ouest,,,,,,,Mo-Fr 07:00-19:00; Sa-Su off,,,,,,,,,,,,,,+33472666700,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,45.6890859,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre départemental Georges Daumézon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9481554,,,,,,,,,,,,,,,,,,,,,,1913,http://www.ch-daumezon45.fr/,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9460349,,,,,,,,,,,,,,,,,
,,,psychiatry,,,,,,,860005677,,,,17,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,Allée de la Providence,,,,,,"Centre d’écoute, de consultations et d’activités thérapeutiques (CECAT)",,,292,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,0.3673980,,,,,,,,,,,,,,Mo-Fr 08:00-17:00,,,,,,,,,https://www.ch-laborit.fr,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5619880,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,520000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre hopitalier de Chaumont,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secretariat.direction@ch-chaumont.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1379222,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-chaumont.fr/,,,,,+33 3 25 30 70 30,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,48.1212756,,,,,,,,,,,,,,,,,
,,,,,,,,,,830000337,,,,,,,,,,,,,,+33 4 98 12 50 28,,,,,,,,,,,,,,,,,Rond-Point du Général Diego Brosset,,,,,,Centre hospitaier de Saint-Tropez,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,6.5722658,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-saint-tropez.fr/,,,,,+33 4 98 12 50 00,,,,,,,,,,,healthcare,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,43.2496608,,,,,,,,,,,,,,,,,
,,,,,,,,,,270000441,,,,,,,,,,,,,,+33 2 32 23 60 60,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9208392,,,,,,,,,,,,,,,,,,,,,,,http://www.vbr-sudeure.fr/,,,,,+33 2 32 23 60 00,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,48.7400746,,,,,,,,,,,,,,,,,
,,,intensive,,,,,,,360000137,,,,,,,,,,cadastre-dgi-fr : Direction Général des Impots - Cadastre;mise à jour : 2008,,,,+33 2 54 29 60 40,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6925839,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-chateauroux.fr/,,,,,+33 2 54 29 60 00,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,46.7988082,,,,,,,,,,,,,,,,,
,,,,,,,,,,050000223,,,,,,,,,,,,,,+33 4 92 46 80 82,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Aiguilles-Queyras,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hopital@ch-aiguilles.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8670989,,,,,,,,,,,,,,,,,,,,,,,www.ch-aiguilles.fr,,,,,+33 4 92 46 70 18,,,,,,,,,,,healthcare,,,,,hospital,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7806824,,,,,,,,,,,,,,,,,
,,,,,,,,,,560000192,,,,,,,,,,,,,,+33 2 97 73 26 27,,,,,,,,,,,,,,,,,Rue du Roi Arthur,,,,,,Centre hospitalier Alphonse Guérin,,,355,56800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,Ploërmel,,,,,,,,,,,-2.3970238,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-ploermel.fr/cht/actualites.php,,,,,+33 2 97 73 26 26,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,47.9365644,,,,,,,,,,,,,,,,,
,,,intensive,,,,,,,300000023,,,,,,,,,,,,,,+33 4 66 78 33 00,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Alès-Cévennes,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0931699,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-ales.fr/Accueil/,,,,,+33 4 66 78 33 33,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,44.1446350,,,,,,,,,,,,,,,,,
,,,,,,,,,,740000302,,,,,,,,,,,,,,+33 4 50 49 66 70,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Annecy-Genevois,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,6.0790072,,,,,,,,,,,,,,,,,,,,,,,https://www.ch-annecygenevois.fr/fr,,,,,+33 4 50 49 65 65,,,,,,,,,,,,,,,,hospital,public,,,,,,Q2945710,,,,,yes,,,,,,,,,,,,,,,,,,,46.1471833,,hospital,,,,,,,,,,,,,,,
,,,intensive,,,,,,,070000179,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010,,,,+33 4 75 67 35 90,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Ardèche Nord,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6647689,,,,,,,,,,,,,,,,,,,,,,,http://ch-ardeche-nord.fr/,,,,,+33 4 75 67 35 00,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,45.2432613,,,,,,,,,,,,,,,,,
,,,,,,,,,,090000183,,,,,,,,,,,,,,+33 5 61 66 61 71,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Ariège Couserans,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1291401,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-ariege-couserans.fr/accueil-chac,,,,,+33 5 61 96 20 20,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,43.0014401,,,,,,,,,,,,,,,,,
,,,,,,,,,,510000235,,,,,,,,,,,,,,+33 3 26 58 71 71,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Auban-Moët,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9563210,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-epernay.fr/,,,,,+33 3 26 58 70 00,,,,,,,,,,,,,,,,hospital,public,,,,,,Q2945659,,,,,yes,,,,,,,,,,,,,,,,,,,49.0310180,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Bat.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3985620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6419010,,hospital,,,,,,,,,,,,,,,
,,,,,,,,,,310009279,,,,21,,,,,,Direction Générale des Impôts - Cadastre. Mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,Boulevard d'Encore,,,,,,Centre hospitalier Comminges Pyrénées,,,,31800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,Saint-Gaudens,,,,,,,,,,,0.7330826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1162449,,yes,,,,,,,,,,,,,,,
,,,intensive,,,,,,,310000310,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 31/04/2007,,,,+33 5 62 00 40 01,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Comminges Pyrénées,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,0.7137674,,,,,,,Centre hospitalier de Saint-Gaudens,,,,,,,,,,,,,,,,http://www.ch-saintgaudens.fr/chcp17/index.php/fr/,,,,,+33 5 62 00 40 00,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,43.1127550,,,,,,,,,,,,,,,,,
,,,,,,,,,,760000620,,,,116,,,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,CHDL,,,,,,,,,,,,,,Rue Louis Pasteur,,,,,,Centre hospitalier Durécu-Lavoisier,,,,76160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,Darnétal,,,,,,,,,,,1.1483224,,,,,,,,,,,,,,,,,,,,,,,http://chdl-darnetal.fr,,,,,+33 2 32 12 32 32,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,49.4450136,,,,,,,,,,,,,,,,,
,,,,,,,,,,670000413,,,,,,,,,,Direction Générale des Finances Publiques - Cadastre ; mise à jour : 2010,,,,+33 3 88 64 66 49,,,CHEV,,,,,,,,,,,,,,,,,,,,Centre hospitalier Erstein Ville,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accueil@hl-erstein.fr,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,7.6603156,,,,,,,,,,,,,,,,,,,,,,,http://www.hopital-erstein.com/,,,,,+33 3 88 64 66 46,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,48.4216042,,,,,,,,,,,,,,,,,
,,,,,,,,,,270000458,,,,5,,,,,,,,,,+33 2 32 71 66 65,,,CH Eure-Seine,,,,,,,Centre Hospitalier Eure-Seine,,,,,,,Rue du Docteur Burnet,,,,,,Centre hospitalier Eure-Seine,,,355,27200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernon,,,,,,,,,,,1.4889871,,,,,,,,,,,,,,,,,,,,,,,http://www.chi-eureseine.fr,,,,,+33 2 32 71 66 00,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,49.0908332,,,,,,,,,,,,,,,,,
,,,general;intensive,,,,,,,270000359,,,,,,,,,,,,,,+33 2 32 33 81 99,,,,,,,,,,,,,,,,,Rue Louis Gillain,,,,,,Centre hospitalier Eure-Seine,,,355,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Évreux,,,,,,,,,,,1.1112600,,,,,,,Hôpital de Cambolle,,Centre hospitalier Eure-Seine,,,,,,,,,,,,,,http://www.chi-eureseine.fr,,,,,+33 2 32 33 80 00,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,49.0327971,,,,,,,,ZAC de Cambolle,,,,,,,,,
,,,,,,,,,,480000033,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2012,,,,+33 4 66 31 28 59,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Fanny Ramadier,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2793956,,,,,,,,,,,,,,,,,,,,,,,https://www.ch-saint-chely.fr/,,,,,+33 4 66 31 00 66,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8075534,,,,,,,,,,,,,,,,,
,,,intensive,,,,,,,780000287,,,,,,,,,,,,,,+33 1 34 97 40 15,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier François Quesnay,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6720779,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-mantes.fr/,,,,,+33 1 34 97 40 00,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,48.9997244,,,,,,,,,,,,,,,,,
,,,psychiatry,,,,,,,480000058,,,,,,,,,,,,,,,,,,,,,,26480011100017,,,,,,,,,,,,,,,Centre hospitalier François Tosquelles,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accueil@chft.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3942345,,,,,,,,,,,,,,,,,,,,,,,https://epsm-lozere.fr/,,,,,+33 4 66 42 55 55,,,,,8610Z,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7808718,,,,,,,,,,,,,,,,,
,,,intensive,,,,,,,520000068,,,,,,,,,,,,,,+33 3 25 56 28 73,,,,,,,,,,Centre Hospitalier Geneviève de Gaulle Anthonioz,,,,,,,,,,,,,Centre hospitalier Geneviève de Gaulle Anthonioz,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direction@ch-saintdizier.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9617003,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-saintdizier.fr/,,,,,+33 3 25 56 84 84,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,48.6561502,,,,,,,,,,,,,,,,,
,,,,,,,,,,420000242,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,Rue Paul Langevin,,,,,,Centre hospitalier Georges Claudinon,,,,42500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,Le Chambon Feugerolles,,,,,,,,,,,4.3217034,http://www.ch-claudinon.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,45.3919822,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Henri Guérin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1501765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,Import cadastre à faire,,,,,,,,,,,,,,43.2367080,,,,,,,,,,,,,,,,,
,,,maternity;general;psychiatry;dentistry;ophthalmology;surgery;emergency;dermatology;paediatrics;cardiology;biology;radiology;geriatrics;intensive,,,,,,,150000040,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2008,,,,+33 4 71 46 46 35,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Henri Mondor,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,2.4335189,,,,,,,,,,,,,,,,,,,,,,,http://www.ch-aurillac.fr/,,,,,+33 4 71 46 56 56,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,44.9274367,,,,,,,yes,,,,,,,,,,
,,,psychiatry,,,,,,,860000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Henri laborit,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,0.5560937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8303053,,,,,,,,,,,,,,,,,
,,,psychiatry,,,,,,,860000017,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Henri laborit,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,0.3877224,,,,,,,,,Centre hospitalier Henri Laborit,,,,,,+33549445757,,,,,,,,http://www.ch-laborit.fr,,,,,,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,46.5516160,,,,,,,,,,,,,,,,,
,,,,,,,,,,540001096,,,,,,,,,,,,,,+33 3 82 44 73 55,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Hôtel Dieu,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7809966,,,,,,,,,Groupe SOS,,,,,,,,,,,,,,http://www.groupe-sos.org/structures/876/Centre_hospitalier_Hotel_Dieu,,,,,+33 3 82 44 70 00,,,,,,,,,,,,,,,,hospital,private,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,49.5361613,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rue de Pére Irénée de Bruyn,,,,,,Centre hospitalier Irénée de Bruyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gustavia,,,,,,,,,,,-62.8509480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8947099,,,,,,,,,,,,,,,,,
,,,,,,,,,,870000270,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010,,,,+33 5 55 75 19 82,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Jacques Boutard,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2028489,,,,,,,,,,,,,,,,,,,,,,,http://www.chjb.fr/,,,,,+33 5 55 75 75 75,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,45.5158334,,,,,,,,,,,,,,,,,
,,,intensive,,,,,,,180000010,,,,,,,,,,,,,,+33 2 48 48 48 00,,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier Jacques Cœur,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,2.4400431,,,,,,,,,,,,,,,,,,,,,,,https://www.ch-bourges.fr/hopital/index.php,,,,,+33 2 48 48 48 48,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,47.0838142,,,,,,,,,,,,,,,,,
