shop,cameras,name:cy,building:part,indoor,addr:parentstreet,survey_date,payment:cash,postal_code,smoking,is_in,addr:housenumber,source:addr:housenumber,old:fhrs:id,ref:store,payment:debit_cards,office,addr:town,addr:state,pharmacy,source,ref:NPLG:UPRN:1,source:number,opening_hours:url,covered,addr:village,fhrs:local_authority_id,fax,survey:date,emergency,food,material,contact:facebook,disused:shop,building:roof:orientation,sponser,addr:hamlet,source:area,addr:terrace,wikimedia_commons,addr:street,source:postal_code,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,stroller,parking:disabled,payment:credit_cards,payment:contactless,HE_ref,roof:orientation,floors,money_transfer,disused,internet_access,payment:mastercard,opening_hours:pharmacy,opening_hours:post_office,amenity_1,twitter,designation,roof:height,lawyer,medical_supply,payment:american_express,description,alcohol,not:addr:postcode,contact:email,wikipedia,addr:province,fhrs:rating,fhrs:authority,brand:wikidata,ref:cadw,check_date,leasing_number,ref,email,takeaway,phone2,recycling:batteries,fhrs:id,roof:shape,contact:twitter,old_amenity,addr:source,atm,source:geometry,addr:city,source:building,roof:direction,fhrs:name,source:listed_status,toilets:wheelchair,retail,opticians,comment,drive_through,source:location,ref:pol_id,lon,contact:website,roof:colour,layer,height,dispensing_hours,int_name,alt_name,building:roof:shape,operator,brand:wikipedia,previous_name,fixme:addr2,fixme:addr4,currency:GBP,area,opening_hours,contact:phone,addr:housename,old_fhrs:id,heritage,architect,dogs,website,addr:unit,source:height,listed_status,brand,addr:suburb,phone,old_name,source:outline,indoor:level,disused:fhrs:id,room,note:fsha,atm:fee,start_date,deaf:description:en,dispensing,landuse,source:amenity,roof:levels,amenity,addr:street:en,source:shape,parking,telephone,addr:floor,admin_name,wikidata,source:postcode,alt_shop,cuisine,verified,ref:gphc,fhrs:inspectiondate,building:levels,image,note,nhs,addr:locality,branch,FIXME,source:addr,building:material,addr:full,payment:visa,fhrs:localauthoritybusinessID,levels,building:architecture,addr:county,source:addr:postcode,lat,old_shop,building,building:colour,addr:district,store_ref,url,wheelchair,addr:place,branch:ref,historic,parking:access,healthcare,colour,addr:country,heritage:operator,operator:wikidata
chemist,,,,,,,,,,,96-98,,,,,,,,,Bing;photographic_survey,,,,,,01123/0096/0/005,,,,,,,,,,,,,,Baker Street,,,,,,Boots,,,W1U 6TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601,,,,,413275,,,,,,,London,,,,,,,,,,,,-0.1566179,http://www.boots.com/stores/1601-london-baker-street-w1u-6tj,,,,,,,,Boots UK Limited,,,,,,,,+44 20 74866852,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London 96-98 Baker Street,,FHRS Open Data,,,,,,,,,51.5205205,,,,,,,,,,,,,,,,
,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria Place,,,,,,Boots,,,CO7 0AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brightlingsea,bing,,,,,,,,,,,1.0256638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8111654,,shop,,,,,,,,,,,,,,
chemist,,,,,,,,,,,198,,,,,,,,,Bing;photographic_survey,,,,,,01123/0198/0/000,,,,,,,,,,,,,,Baker Street,,,,,,Boots,,0,NW1 5RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,,,,,772623,,,,,,,London,,,,,,,,,,,,-0.1573813,http://www.boots.com/stores/774-london-baker-street-nw1-5rt,,,,,,,,Boots UK Limited,,,,,,,,+44 20 79351441,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London 198 Baker Street,,FHRS Open Data,,,,,,,,,51.5229041,,,,,,,yes,,,,,,,GB,,
,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portswood Road,,,,,,Boots,,,SO17 2NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3922436,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,www.boots.com,,,,,,,,,50.9263313,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/BootsUK/,,,,,,,,,,,,,,Boots,,,TN40 2JS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,770898,,BootsUK,,,,,Bexhill-on-Sea,,,,,,,,,,,,0.4999657,http://www.boots.com/stores/6467-bexhill-ravenside-retail-park-tn40-2js,,,11,,,,,,en:Boots UK,,,,,,Mo-Fr 08:30-20:00; Sa 08:30-18:30; Su 10:00-16:00,+44 1424 819338,,,,,,,,,,Boots,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,FHRS Open Data,,,,,,,,,50.8443084,,retail,,,,,yes,Ravenside Retail & Leisure Park,,,,pharmacy,,,,
chemist,,,,,,,,,,,102-103,,,,,,,,,Bing;photographic_survey,,,,,,01405/0100/0/000,,,,,,,,,,,,,,Marylebone High Street,,,,,,Boots,,0,W1U 4RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528,,,,,413847,,,,,,,London,,,,,,,,,,,,-0.1520686,http://www.boots.com/stores/1528-london-marylebone-high-w1u-4rn,,,,,,,,Boots UK Limited,,,,,,,,+44 20 79357690,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London Marylebone,,FHRS Open Data,,,,,,,,,51.5193103,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6245644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0636167,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,visual survey;bing,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7052269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1926221,,retail,,,,,yes,,,,,,,,,
chemist,,,,,,,,,,,322-324,,,,,,,,,Bing;photographic_survey,,,,,,2002/02890/COMB,,,,,,,,,,,,,,North End Road,,,,,,Boots,,,SW6 1NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,,,,,345810,,,,,,,London,,,,,,,,,,,,-0.2006851,http://www.boots.com/stores/725-london-fulham-north-end-road-sw6-1nf,,,,,,,,Boots UK Limited,,,,,,,,+44 20 73868823,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London Fulham North End Road,,FHRS Open Data,,,,,,,,,51.4824434,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market Street,,,,,,Boots,,,LL65 1UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6331444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3104730,,yes,,,,,,,,,,,,,,
chemist,,,,,,,,,,,Unit 4-5,,,,,,,,,,,,,,,PI/000266146,,,,,,,,,,,,,,Princess Alice Drive,,,,,,Boots,,,B73 6RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6465,,,,,599427,,,,,,,Sutton Coldfield,,,,,,,,,,,,-1.8606634,http://www.boots.com/en/Store-Locator/Boots-Sutton-Coldfield-Princess-Alice-Drive/,,,,,,,,Boots UK Limited,,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-19:00; Su 11:00-17:00,,,,,,,,,,,Boots,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,Sutton Coldfield Princess Alice Drive,,FHRS Open Data,,,,,,,,,52.5512665,,retail,,,,http://www.boots.com/en/Store-Locator/Boots-Sutton-Coldfield-Princess-Alice-Drive/,,,,,,,,GB,,
,,,,,,,,,,,25-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4572365,,,,,,,,,,en:Boots UK,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3730601,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,31,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,High Road,,,,,,Boots,,,NG9 2JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,566297,,,,,,,,,,,,,,,,,,,-1.2146794,,,,,,,,,,en:Boots UK,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,FSA Food Hygiene Open Data Broxtowe,,,,,,,,,52.9275139,,retail,,,,,yes,,,,,pharmacy,,,,
,,,,,,,,,,,107,,,,,,,,,photograph,,,,,,PI/000018563,,,,,,,,,,,,,,Cheapside,,,,,,Boots,,0,EC2V 6DN,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,City of London Corporation,Q6123139,,,,877,,,,,294826,,,,,,,London,,,,,,,,,,,,-0.0932908,http://www.boots.com/stores/877-london-cheapside-ec2v-6dn,,,,,,,,Boots UK Limited,en:Boots UK,,,,,,Mo-Fr 07:00-19:00; Sa 09:00-18:00,+44 20 7248 9340,,,,,,,,,,Boots,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London Cheapside,,FHRS Open Data,,,,,,,,,51.5142312,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5496455,,,,,,,,,,en:Boots UK,,,,,,,,,,,,,,,,,Boots,,,,Bing,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5357246,,retail,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria Road,,,,,,Boots,,,KT6 4JZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770567,,,,,,,,,,,,,,,,,,,-0.3064294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,3,,,,,,,FHRS Open Data,brick,,,,,,,,51.3926888,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,100-102,,,,,,,,,photograph;survey,,,,,,00159/0100/0/000,,2014-11-01,,,,,,,,,,,,Oxford Street,,,,,,Boots,,0,W1D 1LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,1177,,,,,568268,,,,,,,London,,,,,,,,,,,,-0.1353294,http://www.boots.com/stores/1177-london-oxford-street-w1d-1ll,,,,,,,,Boots UK Limited,en:Boots UK,,,,,,,+44 20 76313833,Century House,,,,,,,,,Boots,,,,,,,,,,,,yes,,,,pharmacy,,,,,Ground Floor,,,,,,,,,,,,,,London 100 Oxford Street,,FHRS Open Data,,,,,,,,,51.5160959,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,Bing+survey,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ledbury,,,,,,,,,,,,-2.4224200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0365417,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5447502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9420718,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0603229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2836503,,retail,,,,,yes,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kings Road,,,,,,Boots,,,GU4 8JU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shalford,,,,,,,,,,,,-0.5668142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 1483 561975,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2134235,,yes,,,,,yes,,,,,,,,,
,,,,,,,,,,,2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market Place,,,,,,Boots,,,DH1 3NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457032,,,,,,,,,,,,,,,,,,,-1.5750737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7770401,,retail,,,,,yes,,,,,,,,,
chemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4737493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3387368,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,55,,,,,,,,,photograph;Bing,,,,,,PI/000007340,,,,,,,,,,,,,,King William Street,,,,,,Boots,,0,EC4R 9AD,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,City of London Corporation,Q6123139,,,,838,,,,,294002,,,,,,,London,,,,,,,,,,,,-0.0864994,http://www.boots.com/stores/838-london-monument-ec4r-9aa,,,,,,,,Boots UK Limited,en:Boots UK,,,,,,Mo-Fr 07:00-19:30; Sa 10:00-18:00,+44 20 7220 7779,,,,,,,,,,Boots,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London Monument,,,,,,,,,,,51.5106435,,,,,,,,,,,,pharmacy,,,,
chemist,,,,,,,,,,,15,,,,,,,,,,,,,,,PI/000489656,,,,,,,,,,,,,,Hollyfield Road South,,,,,,Boots,,,B76 1NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5318,,,,,602933,,,,,,,Sutton Coldfield,,,,,,,,,,,,-1.8023065,http://www.boots.com/en/Store-Locator/Boots-Sutton-Coldfield-Hollyfield-Road/,,,,,,,,Boots UK Limited,,,,,,,Mo-Fr 09:00-18:00; Sa 09:00-17:30,+44 121 378 1176,,,,,,,,,,Boots,,,Alliance Pharmacy,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,Sutton Coldfield Hollyfield Road,,,,,,,,,,FHRS Open Data,52.5597775,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bing;photographic_survey,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,0,WC2R 1HH,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,Q6123139,,,,,,yes,,,,,,,,,,London,,,,,,,,,,,,-0.1189223,,,,,,,,,,en:Boots UK,,,,,,,,,,,,,http://www.pret.com,,,,Boots,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,sandwich,,,,,,,,,,,,,,,,,,,,51.5111872,,,,,,,,,,,,pharmacy,,,,
,,,,,,,yes,,,,118-120,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Brighton Road,,,,,,Boots,,,CR5 2ND,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,,,,,,,,Coulsdon,,,,,,,,,no,,,-0.1373472,,,,,,,,,,en:Boots UK,,,,,,Mo-Fr 08:30-18:30; Fr 09:00-17:30; Su 10:00-16:00,,,,,,,,,,,Boots,,+44 20 8660 1434,,,,,,,,,,yes,,,1,pharmacy,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,51.3216568,,retail,,,,,yes,,,,,pharmacy,,,,
chemist,,,,,,,,,,,88,,,,,,,,,photograph,,,,,,PI/000000180,,,,,,,,,,,,,,Aldgate High Street,,,,,,Boots,,0,EC3N 1LH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,1480,,,,,293616,,,,,,,London,,,,,,,,,,,,-0.0764527,http://www.boots.com/stores/1480-london-aldgate-ec3n-1lh,,,,,,,,Boots UK Limited,en:Boots UK,,,,,,Mo-Fr 07:00-19:30,+44 20 72650343,,,,,,,,,,Boots,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London Aldgate,,FHRS Open Data,,,,,,,,,51.5134184,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1389712,,,,,,,,,,en:Boots UK,,,,,,,,,,,,,,,,,Boots,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6750994,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,60,,,,,,,,,photograph;Bing,,,,,,PI/000006538,,,,,,,,,,,,,,Gracechurch Street,,,,,,Boots,,0,EC3V 0HR,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Q6123139,,,,79,,,,,293947,,,,,,,London,,,,,,,,,,,,-0.0850651,http://www.boots.com/stores/79-london-gracechurch-street-ec3v-0hr,,,,,,,,Boots UK Limited,en:Boots UK,,,,,,Mo-Fr 07:30-20:00; Sa 11:00-18:00,+44 20 7623 4768,,,,,,https://www.boots.com/,,,,Boots,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,London Gracechurch Street,,FHRS Open Data,,,,,,,,,51.5116824,,,,,,,limited,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,OS_OpenData_StreetView,,,,,,,,,,,,,,,,,,,,Mell Square,,,,,,Boots,,,B91 3AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solihull,,,,,,,,,,,,-1.7766327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4130201,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beeston Road,,,,,,Boots,,,LS11 8BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,322181,,,,,,,Leeds,,,,,,,,,,,,-1.5550717,,,,,,,,,,en:Boots UK,,,,,,,,,,,,,,,,,Boots,Beeston,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7778228,,commercial,,,,,,,,,,pharmacy,,,,
health_and_beauty,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albion Way,,,,,,Boots (Midnight Pharmacy),,,NR1 1WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6123139,,,,,,,,,84115,,,,,,,Norwich,,,,,yes,,,,,,,1.3062883,,,,,,,,,Boots,en:Boots UK,,,,,,Mo-Fr 08:30-20:30; Sa 08:30-18:00; Su 10:15-16:30,,Unit 5,,,,,https://www.boots.com/stores/6477-norwich-riverside-retail-park-nr1-1wr,,,,boots,,+44 1603 662894,,,,,,,,,induction loop,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6231055,,shop,,,,,yes,,,,,pharmacy,,GB,,
,,,,,,,,,no,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Street,,,,,,Boots Chemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cookstown,,,,,,,,,,,,-6.7452279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6457320,,yes,,,,,,,,,,pharmacy,,,,
chemist,,,,,,,,,,,73-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots Local,,,CO15 5UH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,1.1837737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8037377,,shop,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots Local,,,CO16 8PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,1.0784268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7994882,,shop,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plume Avenue,,,,,,Boots Local Pharmacy,,,CO3 4PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colchester,Bing,,,,,,,,,,,0.8684458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8761218,,house,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots Midnight Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9612340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4871901,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shopping Park Evesham,,,,,,Boots Midnight Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9505463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1023662,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kingsbury Road,,,,,,Boots Pharmacy,,,B24 9PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8210564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5172443,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3266687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3975002,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,Boots Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2169543,,,,,,,,,,,,,,,,,,,,,,,https://www.boots.com/,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6372781,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warwick House,,,,,,Boots Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5775994,,,,,,,,,Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3430022,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Boots Pharmacy,,,BS20 6EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7689396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4838186,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boots Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4859951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3550436,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,110-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nottingham Road,,,,,,Boots Pharmacy,,,NG16 3NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566170,,,,,,,Nottingham,,,,,,,,,,,,-1.3035608,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastwood,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,Food Hygiene Open Data,,,,,,,,,53.0175965,,,,,,,,,,,,,,,,
