building:ruian:type,amenity,contact:phone,healthcare:speciality,addr:conscriptionnumber,addr:housename,contact:website,roof:colour,building:flats,layer,addr:streetnumber,internet_access:ssid,email,wikidata,alt_name,surface,source:position,operator,name:ru,parking,short_name,is_in,addr:housenumber,addr:housename:de,barrier,lon,building:levels,opening_hours,fenced,wikipedia,name:de,note,source,source:addr,heritage,ref:ruian:building,start_date,website,fax,loc_name,description,emergency,addr:housename:cs,name:cs,fence_type,leisure,addr:suburb,phone,historic,official_name,old_name,lat,smoking,ref:ruian:addr,contact:databox,addr:street,building,building:colour,fixme,name:en,contact:fax,name,designation,ref:NPU,url,addr:postcode,wheelchair,addr:place,addr:city,height,internet_access:fee,heritage:operator,healthcare,toilets:wheelchair,landuse,addr:country,contact:email,internet_access
15,hospital,,,,,,,,,,,info@nnp.cz,,,,,,,,,,,,,12.7214363,1,,,,,,cuzk:ruian,,,15544826,,http://www.nnp.cz/,,,,,,,,,,+420 374 751 911,,,,49.8797648,,,dzmpvbw,,civic,,,,,Nemocnice následné péče Svatá Anna,,,,,,,,,,,,,,,,
,hospital,+420 596 491 111,,,,http://www.nsphav.cz,,,,,,,,,,,Moravskoslezský kraj,,,,,,,,18.4402209,,,,,,,,,,,,,,,,,,,,,,,,,,49.7817511,,,,,,,,,,Nemocnice s poliklinikou Havířov,,,,,,,,,,,,,,,nsphav@nsphav.cz,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.2688283,,,,,,,,,,,,,,,,,,,,,,,,,,50.3903195,,,,,,,,,,Nemocnice s poliklinikou Kadaň,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.4333752,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.8746773,,,,,,,,,,Nemocnice s poliklinikou Karviná-Ráj pracoviště Orlová,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.5410669,,,,,,,,,,,,,,,,,,,,,,,,,,50.9462416,,,,,,,,,,Nemocnice v Podhájí,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.5465999,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.6850347,,,,,,,,,,Nemocnice Česká Lípa,,,,,,,,,,,,,,,,
,hospital,,general,,,,,,,,,,,,,,,,,,,,,,14.3242762,,,,,,,,,,,,http://www.nemckr.cz,,,,yes,,,,,,,,,,48.8123869,,,,Na Moráni,,,,,,Nemocnice Český Krumlov,,,,381 01,yes,,Český Krumlov,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.6088257,,,,,,,,,,,,https://nemocniceceskytesin.agel.cz/,,,,,,,,,,,,,,49.7449126,,,,,,,,,,Nemocnice Český Těšín,,,,,,,,,,,hospital,,,,,
5,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.5377738,1,,,,,,cuzk:ruian,,,9230351,,,,,,,,,,,,,,,,50.3193798,,,,,civic,,,,,Nemocnice Žatec,,,,,,,,,,,,,,,,
5,hospital,,,,,,,,,,,neuro@LF1.cuni.cz,,,,,,,,Neurologická klinika 1. LF UK a VFN,,,,,14.4251830,,,,,,,cuzk:ruian,,,21670455,,https://www.neuro.lf1.cuni.cz/,+420 224 922 678,,,,,,,,,+420 224 961 111,,,klášter augustiniánek,50.0736810,,,,,civic,,,,,Neurologická klinika 1. lékařské fakulty Univerzity Karlovy a Všeobecné fakultní nemocnice,,,,,no,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,"Středočeský kraj, Zborovská 11, 150 21 Praha 5 - Smíchov",,,,,,,,14.0889581,,,,,,,,,,,,http://www.nemocnicekladno.cz,,,,yes,,,,,,,,"Oblastní nemocnice Kladno, a.s., nemocnice Středočeského kraje",,50.1427280,,,,,,,,,,Oblastní nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.1654248,,,,,,,,,,,,,,,,,,,,,,,,,,50.4106109,,,,,,,,,,Oblastní nemocnice Náchod,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.9054005,,,,,,,uhul:ortofoto,,,,,,,,,,,,,,,,,,,50.3586233,,,,,,,,,,Oblastní nemocnice Náchod - Nemocnice Jaroměř,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,16.6731551,,,,,,,"cuzk:km, survey",,,,,,,,,no,,,,,,,,,,49.6339262,,,,,,,,,,Odborný léčebný ústav Jevíčko - Sanatorium,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.2265813,,,,,,,,,,,,,,,,no,,,,,,,,,,49.8086133,,,,,,,,,,Odborný léčebný ústav Paseka o.p.,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,14.6909582,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,49.9890298,,,,,,,,,,Olivova dětská léčebna,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,16.4044990,,,,,,,,,,,,http://www.ou-nem.cz/,,,,,,,,,,+420465710111,,,,49.9709840,,,,,,,,,,Orlickoústecká Nemocnice,,,,,,,,,,,hospital,,,,,
14,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.7065576,,,,,,,cuzk:ruian,,,24791008,2000-08-23,http://www.gemini.cz/,,,,,,,,,,,,,,49.2207177,,,,,commercial,,,,,Oční klinika Gemini,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.1678988,,,,,,,cuzk:ruian,,,,,,,,,yes,,,,,,,,,,50.5890997,,,,,,,,,,Panochova nemocnice Turnov,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,15.7901868,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.0293531,,,,Kyjevská,,,,,,Pardubická krajská nemocnice,,,,53003,,,Pardubice,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.0883917,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,49.4750489,,,,,yes,,,,,Plicní oddělení,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.2616785,,,,,,,,,,,,,,,,,,,,,,,,,,49.9321200,,,,,,,,,,Podhorská nemocnice a.s.,,,,,,,,,,,,,,,,
19,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.2473415,,,,,,,cuzk:ruian,,,41132271,,,,,,,,,,,,,,,,50.4233391,,,,,hospital,,,,,Podřipská nemocnice s poliklinikou,,,,,,,,,,,,,,,,
15,hospital,,emergency,,,,,,,,,,,,,,,,,,,,,,17.0866427,,,,,,,cuzk:ruian,,,48099163,,,,,,,,,,,,,,,,49.4753138,,,,,civic,,,,,Pohotovost,,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.4875536,3,Mo-Fr 18:30-21:00; Sa-Su 9:00-19:00,,,,,cuzk:ruian,,,8712972,,,,,,,,,,,,,,,,48.7396650,,,,,civic,,,,,Poliklinika Kaplice,,,,,,,,,,,,,,,,
15,hospital,,,,,,,1,,,,,,,,,,,,,,,,,14.4142642,6,,,,,,cuzk:ruian,,,21870039,,,,,,,,,,,,,,,,50.0060555,,,,,civic,,,,,Poliklinika Modřany,,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.8070632,,,,,,,cuzk:ruian,,,38440695,,,,,,yes,,,,,,,,,,49.0529552,,,,,civic,,,,,Poliklinika Moravské Budějovice,Poliklinika Moravské Budějovice,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.8070255,1,,,,,,cuzk:ruian,,,2631172,,,,,,yes,,,,,,,,,,49.0529624,,,,,civic,,,,,Poliklinika Moravské Budějovice - budova 2,Poliklinika Moravské Budějovice,,,,,,,,,,,,,,,
5,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.3928704,,,,,,,cuzk:ruian,,,24140376,,,,,,,,,,,,,,,,49.7457320,,,,,civic,,,,,Poliklinika Plzeň,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,18.1456901,,,,,,,,,,,,,,,,,,,,,,,,,,49.5956160,,,,,yes,,,,,Poliklinika Therapon,,,,,,,,,,,hospital,,,,,
5,hospital,,,,,,,,,,,,,,,,,,,,,1289,,,15.8786388,3,,,,,,cuzk:ruian,,,18643809,,,,,,no,,,,,,,,"Poliklinika Třebíč - Lékařský dům, spol. s r. o.",,49.2038502,,,,Vltavínská,civic,,,,,Poliklinika Vltavínská,,,http://www.poliklinikatr.cz/,67401,yes,,Třebíč,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.1657876,,,,,,,,,,,,,,,,,,,,,,,,,,50.4062794,,,,,,,,,,Porodnice Náchod,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,Q30091778,,,,FN Bohunice,,,,,,,,16.5970307,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,Zemská porodnice,49.1986284,,,,,,,,,,Porodnice Obilní trh,,,,,,,,,,,,,,,,
5,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.4255199,3,,,,Psychiatrische Klinik,,cuzk:ruian,,,40355071,,,,,,,,,,,,,,,,50.0717664,,,,,civic,,,,,Psychiatrická klinika,,,,,,,,,,,hospital,,,,,
5,hospital,,psychiatry,,,,,1,,,,,Q28151198,zámek Petrohrad,,,,,,,,,,,13.4422607,,,,cs:Petrohrad (zámek),,,cuzk:ruian,,,9136339,,,,,,,,,,,,,,,,50.1262653,,,,,civic,,,,,Psychiatrická léčebna Petrohrad,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.5676334,,,,,,,uhul:ortofoto,,,,,,,,,,,,,,,,,,,49.6107005,,,,,,,,,,Psychiatrická nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,Q58221834,,,,,,,,,,,,13.2834096,,,,cs:Psychiatrická nemocnice v Dobřanech,,,,,,,,https://www.pldobrany.cz/,,,,,,,,,,,,,,49.6468361,,,,,,,,,,Psychiatrická nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,Q12047504,Psychiatrická léčebna Bohnice,,,,,,,,,,fence,14.4160612,,,,cs:Psychiatrická léčebna Bohnice,,,,,3,,,www.plbohnice.cz,,,,no,,,,,,,heritage,,,50.1355084,,,,,,,,,,Psychiatrická nemocnice Bohnice,,152683,,,yes,,,,,NPU,,,,,,
,hospital,,,,,,,,,,,sekretariat@pnbrno.cz,Q27048224,,,,,,,,,,,,16.6419810,,,,,,,,,,,,,,,,,,,,,,+420 548 123 111,,,,49.1821881,,,,,,,,,,Psychiatrická nemocnice Brno,,,,,,,,,,,,,,,,
,hospital,,psychiatry,,,,,,,,,pnj@pnj.cz,,,,,,,,,,455/54,,,15.6039814,,,,,,,cuzk:km,,,,,https://www.pnj.cz/,,,,,,,,,,567552123,,,,49.3971240,,,,Brněnská,,,,,,Psychiatrická nemocnice Jihlava,,,,58601,,,,,,,hospital,,,,,wlan
,hospital,,,,,http://www.plkosmonosy.cz,,,,,,,,,,,,,,,,,,,14.9267844,,,,,,,,,,,,,,,,,,,,,,,,,,50.4427059,,,,,,,,,,Psychiatrická nemocnice Kosmonosy,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,hts@lsadska.cz,,,,,,,,,,515,,,14.9821772,,,,,,,,,,,,,+420325594559,,,,,,,,,+420325594473,,,,50.1524449,,,,Lázeňská,,,,,,"Psychiatrická nemocnice Kosmonosy, pracoviště Sadská",,,,28912,,,Sadská,,,,,,,,,
5,hospital,,,66,,,,,,,,,,,,,,,,,,66,,,13.5431575,1,,,,,,cuzk:ruian,,,20514115,,,,,,,,,,,,,,,,49.5696161,,20751044,,,civic,,,,,RZS Vlčice,,,,33601,,Vlčice,Blovice,,,,,,,CZ,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.0957245,,,,,,,,,,,,https://www.nemocnice-beroun.cz/,,,,,,,,,,,,,,49.9638254,,,,,,,,,,Rehabilitační Nemocnice Beroun,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.2803815,,,,,,,,,,,,,,,,,,,,,,,,,,50.0040164,,,,,,,,,,Rehabilitační ústav,,,,,,,,,,,hospital,,,,,
15,hospital,,,14,,,,,,,,ruchuchelna@ruhrabyne.cz,,,,,Rehabilitační ústav Hrabyně,,,,,14,,,18.1161453,1,,,,,Nekonzistence cuzk:km a mvcr:adresa,cuzk:ruian,,,4537700,,http://www.ruhrabyne.cz/,,,,,,,,,,+420 553 683 300,,,,49.9889840,,4567757,,Komenského,civic,,,,,Rehabilitační ústav Hrabyně. Pracoviště Chuchelná,,,,74724,,Chuchelná,,,,,,,,CZ,,
,hospital,,,,,,,,,,,sekretariat@sanatorium-jablunkov.cz,,,,,Moravskoslezský kraj,,,,,,,,18.7574363,,,,,,,,,,,,http://www.sanatorium-jablunkov.cz/,,,,,,,,park,,,,,,49.5720389,,,,,,,,,,Sanatorium Jablunkov,,,,,,,,,,,,,,,,
,hospital,,,,,https://www.sanus.cz/,,,,,,,,,,,,,,,,,,,15.8230611,,,,,,,,,,,,,,,,no,,,,,,,,,,50.2037354,,,,,,,,,,Sanus,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.1073751,,,,,,,,,,,,https://www.ddprepychy.cz/,,,,,,,,,,,,,,50.2337121,,,,,,,,,,Senior centrum Přepychy,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.8810310,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.9359221,,,,,,,,,,Slezská nemocnice v Opavě,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.8410567,,,,,,,,,,,,,,,,,,,,,,,,,,50.2080897,,,,,,,,,,Stará fakultní nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.4701314,,,,,,,,,,,,,,,,,,,,,,,,,,49.7537190,,,,,,,,,,"Svitavská nemocnice, a.s.",,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,12.7492949,,,,,,,cuzk:ruian,,,49212591,,,,,,,,,,,,,,,,49.8697422,,,,,civic,,,,,Swiss Medic Clinic,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.4609048,,,,,,,,,,,,,,,,,,,,,,,,,,50.0235183,,,,,,,,,,Thomayerova nemocnice,,,,,,,,,,,,,,,,
7,hospital,,,,,,,2,,,,,,,,,,,,,,,,,14.2384505,1,,,,,,cuzk:ruian,,,6318380,,,,,,,,,,,,,,,,49.9113888,,,,,house,,,,,Trans Hospital (pohotovost),,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.4553953,,,yes,,,,cuzk:km,,,,,,,,,yes,,,,,,,,,,49.0646860,,,,,,,,,,Uherskohradišťská nemocnice a.s.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15.1896140,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,50.8903480,,,,,yes,,,,,Uhličité koupele,,,,,,,,,,,,,,,,
5,hospital,,,,,,,1,,,,,,,,,,,,,,,,,14.4281118,2,,,,Urologische Klinik,,cuzk:ruian,,,21670391,,,,,,,,,,,,,,,,50.0716660,,,,,civic,tan,,,,Urologická klinika,,,,,,,,,,,hospital,,,,,
,parking,,,,,,,,,,,,,,,,,,surface,,,,,,13.9085007,,,,,,,,,,,,,,,,,,,,,,,,,,49.2666462,,,,,,,,,,V nemocnici,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,Q27038324,,,,,,,,,,,,16.6313798,,,,,,,,,,,,http://www.vnbrno.cz/,,,,,,,,,,,,,klášter premonstrátů,49.2017089,,,,,,,,,,Vojenská nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.2711466,,,,,,,,,,,,https://www.vnol.cz/,,,,yes,,,,,,,,,,49.5988889,,,,,,,,,,Vojenská nemocnice - chirurgie,,,,,yes,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.1518380,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,49.9553530,,,,,,,,,,Vysokomýtská nemocnice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,Q29167819,,,,,,,,,,,,18.2681858,,,,,,,,,,,,,,,,,,,,,,,,,,49.8152640,,,,,,,,,,Vítkovická nemocnice,,,,,,,,,,,,,,,,
5,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.5916893,2,,,,,,cuzk:ruian,,,13215884,,,,,,,,,,,,,,,,49.0355540,,,,,civic,,,,,Zdravotní středisko,,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.3720388,1,,,,,,cuzk:ruian,,,24066800,,,,,,yes,,,,,,,,,,49.7662813,,,,,civic,,,,,"Záchranná služba Plzeňského kraje, Výjezdové stanoviště Plzeň sever",,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.6570752,,,,,,,cuzk:ruian,,,24530859,1999-05-01,,,,,,,,,,,,,,,49.2228207,,,,,civic,,,,,nemocnice Atlas,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,14.3481838,,,,,,,,,,,,,,,,,,,,,,,,,,50.3610065,,,,,,,,,,psychiatrická léčebna,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.5893352,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,50.0439834,,,,,yes,,,,,zdravotní středisko,,,,,,,,,,,,,,,,
5,hospital,,emergency,,,,,,,,,reditelstvi@unbr.cz,Q26945170,,,,,,,,,,,,16.6151120,7,,,,Unfallkrankenhaus in Brünn,,cuzk:ruian,,,19020449,,,+420 545 211 082,,,,,Úrazová nemocnice v Brně,,,,+420 545 538 111,,,,49.1979708,,,,,civic,,,,,Úrazová nemocnice v Brně,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,vysoke@ruka-kosmetika.cz,,,,,,,,,,,,,15.4031923,,,,,,,,,,,,http://www.ruka-kosmetika.cz,,,,yes,,,,,,+420481350905,,,,50.6828414,,,,,,,,,,Ústav chirurgie ruky a plastické chirurgie Vysoké nad Jizerou,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.4207751,,,,,,,,,,,,,,,,,,,,,,,,,,50.0753691,,,,,,,,,,Ústav hematologie a krevní transfuze,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,Q11087656,ÚPMD,,,,Институт здоровья матери и ребенка Подоли,,,,,,,14.4195431,,,,cs:Ústav pro péči o matku a dítě,,,,,,,,,,,,,,,,,,,,,,50.0615624,,,,,,,,,,Ústav pro péči o matku a dítě Podolí,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,15.8035883,,,,,,,,,,,,,,,,,,,,,,,,,,50.0712578,,,,,,,,,,Ústav sociální péče Ráby,,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,390/98C,,,12.8252880,4,,,,,,cuzk:ruian,,,51498588,2012-08-10,,,,,yes,,,,,,,,,,50.2210586,,,,Závodní,civic,,,,,Územní zdravotnická záchranná služba Karlovarského kraje,,,,36006,,,Karlovy Vary,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.9621371,,,,,,,,,,,,,,,,,,,,,,,,,,49.9571827,,,,,,,,,,Šumperská nemocnice,,,,,,,,,,,hospital,,,,,
