healthcare_1,healthcare:speciality,building:part,social_facility,postal_code,contact:yelp,is_in,addr:housenumber,contact:alt_mobile,religion,electricity,created_by,name:de,source,covered,it:fvg:ctrn:code,Longitude,image,ISTAT,fax,short_name,material,contact:facebook,leisure,foot,addr:street,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,addr:state,internet_access:fee,disused,internet_access,email:pec,name:it,parking,loc_name,cafeteria,emergency:conditional,operational_status,wikipedia,contact:alt_phone,access,addr:province,ref,email,highway,addr:full,barrier,contact:email,importance,roof:shape,key,contact:twitter,FEATURE_ID,health_specialty:paediatrics,insurance:health,refugees,source:geometry,addr:city,roof,toilets:wheelchair,health_amenity:type,lon,contact:website,layer,height,email_1,alt_name,operator,ele,ref:vatin,fee,service,area,opening_hours,contact:phone,addr:housename,rer_edi_id:ref,elevator,contact:mobile,park_ride,start_date,website,addr:unit,phone,surface,old_name,smoking,name:zh,type,it:fvg:ctrn:revision,aeroway,landuse,wheelchair,amenity,operator:type,addr:place,addr:hamlet,reg_name,telephone,official_name,Latitude,wikidata,social_facility:for,water_source,information,emergency,building:levels,contact:instagram,note,operator:wikipedia,name:fr,ref:corine_land_cover,name:nl,description,healthcare,fence_type,linkpdf,first_aid,levels,trees,what3words,lat,building,url,roof:levels,wifi,name:fur,beds,oneway,addr:country,operator:wikidata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ente Ecclesiastico Ospedale Generale regionale ""F. Miulli""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8025682,,,,,,,,,,,,,,,,,,,,www.miulli.it,,,,,,,,,,,yes,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,40.8636510,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eremo di Lanzo,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4963556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2786997,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,European Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4371628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,Q30280130,,,,,,,,,,,,,,,,,,,,41.8543882,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evangelico Internazionale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9426730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,Q84308446,,,,,,,,,,,,,,,,,,,,44.4142921,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Raimondo Palmerio,,,,Ex Ospedale Militare,,,29121,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,Piacenza,,,,9.6844711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,45.0482408,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex Ospedale Umberto Primo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3476944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6383179,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex Ospedale di Toritto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6789321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0004432,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex Silos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8392570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,45.7700433,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felettino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8446324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1328124,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondazione Elisabetta Germani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2600689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,45.0851551,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondazione Gaetano e Piera Borghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6595844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8326816,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondazione Istituto Giuseppe Giglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0124339,,,,,,,,,,,,,,,,,,,,,,,,Fondazione Istituto San Raffaele - Giuseppe Giglio,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,38.0276187,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondazione Raimondi Francesco,,,,,,,,,,,,,,,,,,,,info@fondazioneraimondi.it,,,,,,,,,,,,,,,,,,8.8990176,,,,,,,,,,,,,,,,,,,,http://www.fondazioneraimondi.it/,,+39 0331 601133,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6360325,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondazione Salvatore Maugeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2515127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6520157,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondazione Santa Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5152706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8392296,,,,,,,,,
,,,,,,,,,,,,,http://dati.emilia-romagna.it/dato/item/11-11-uso-del-suolo-2008.html,,,,,,,,,,,,,,,,Fondazione Seràgnoli - Hospice Bentivoglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4112599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,1214,,,,,,,,,,44.6373694,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Lastaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3325130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5139590,residential,,,,,,,,
,,,,,,,,,,,,Franz-Tappeiner-Krankenhaus,,,,,,,,,,,,,,,,,Franz-Tappeiner-Krankenhaus - Ospedale Franz Tappeiner,,,,,,,,,Ospedale Franz Tappeiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1503578,,,,,,Azienda Sanitaria Alto Adige - Südtiroler Sanitätsbetrieb,,,,,,,,,,,,,,https://www.asdaa.it/it/osp-merano.asp,,+39 0473 263333,,,,,,,,,yes,hospital,public,,,,,,,,,,,yes,,,,,,,,,hospital,,,,,,,46.6763855,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fratellanza popolare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7132936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6578769,,,,,,,,,
,emergency,,,,,,20,,,,,,,,,,,,,,,,,,Via Giambattista Tiepolo,,,,Fraternità di Misericordia Sinnai,,,09048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinnai,,,,9.1978952,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,39.3037279,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaetano Rummo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7934953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,41.1200476,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2704624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2323733,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Sannita,,,,Guardia Medica,,,82011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5600547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,41.0626929,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8514876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7400048,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5523747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0889143,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9223583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,40.4483964,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3188145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0044346,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6576813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,40.3962852,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6806071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,37.0374983,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9430954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6355288,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3160287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,38.1638691,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardia Medica - VV. UU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6566575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3450295,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Roma,,,,Guardia medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0215952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0346921,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via G. G. D'Amore,,,,Guardia medica,,,81016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piedimonte Matese,,,,14.3756372,,,,,,,,,,,,,,,,,,,,,,+39 0823 911196,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3550998,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guglielmo Da Saliceto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6816219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0542255,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guglielmo da Saliceto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6792249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,45.0554897,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habilita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6050186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5904558,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habilita San Marco s.p.a. - sede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5862,,,,,,,,,9.6673668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6986115,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habilita San Marco s.p.a. - sezione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055,,,,,,,,,9.6688559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6995106,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1023034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8020094,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospice Villa Speranza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4266147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,41.9314352,,,,,,,,,
,,,,,,,2,,,,,,,,,,,,+39 0331 476204,,,,,,Via Gerenzano,,,,Humanitas Mater Domini,,,21053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castellanza,,,,8.9072244,,,,,,,,,,,,,,,,,,,,https://www.materdomini.it/,,+39 0331 476111,,,,,,,,,,hospital,,,,,,,,Q30260631,,,,yes,,,,,,,,,,,,,,,,45.6102548,,,,,,,,IT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hôpital régional d'Aosta Umberto Parini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3124688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7412289,,,,,,,,,
,,,,,,,1668,,,,,,,,,,,,,,,,,,Via Franco Faggiana,,,,I.C.O.T.,,,04100,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,Latina,,,,12.9009140,,,,,ICOT Giomi,,,,,,,,,,,,,,,https://www.giomi.com/,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4431978,,,,,,,,IT,
,,,,,,,,,,,,,,,,,http://www.gruppoini.it/PWA_uploads/grottaferrata.jpg,,,,,,,,Via di Sant'Anna,,,,I.N.I. Istituto Traumatologico Italiano,,,00046,,,,,,,,,,,,,,,,,urp.grottaferrata@gruppoini.it,,,,,,,,,,,,,,Grottaferrata,,,,12.6627296,,,,,,,,,,,,,,,,,,,,http://www.gruppoini.it/,,+39 06 942851,,,,,,,,,,,,,,,,,,,,,,,,,Comunemente conosciuto semplicemente come: INI.,,,,,,,,,,,,,41.7782619,hospital,,,,,,,IT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I.R.S.T.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0645184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1251359,,,,,,,,,
,,,,,,,382,,,,,,,,,,,,,,,,,,Viale Alessandro Magno,,,,ICC - Istituto Clinico Casalpalocco,,,00124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roma,,,,12.3496842,,,,,,Gruppo Villa Maria S.p.A,,,,,,,,,,,,,,https://www.gvmnet.it/strutture/icc-istituto-clinico-casalpalocco-roma,,+39 06 50173411,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,hospital,,,,,,,41.7466538,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDI (Istituto Dermopatico dell'Immacolata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4293134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9015500,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRCCS Fondazione Pascale - Day Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2219151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8618591,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRCCS Fondazione Pascale - Degenze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2231753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8621880,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRCCS Fondazione Pascale - Palazzina scientifica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2214372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8628586,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRCCS Saverio De Bellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1558338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8843447,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRCCS Stella Maris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2919622,,,,,,,,,,,yes,,,,,,,,,http://www.irccs-stellamaris.it/,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,43.6084126,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRCSS Centro Neurolesi Bonino - Pulejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5185022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2064704,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRCSS Neuromed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0604839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5145274,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infermeria Presidiaria di Augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2229864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2204895,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1324370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5526516,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ipab - Centro Residenziale per Anziani A. Danielato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0902153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,45.1360717,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Crotto Roncaccio,,,,Istituti Clinici Scientifici Maugeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tradate,,,,8.9110508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,45.7197308,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Crotto Roncaccio,,,,Istituti Clinici Scientifici Maugeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tradate,,,,8.9112962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,45.7200646,,,,,,,,,
,,,,,,,24,,,,,,,,,,,,,,,,,,Via Bartolomeo Zucchi,,,,Istituti Clinici Zucchi,,,20900,,,,,,,,,,,,,,,,,info.zucchi@grupposandonato.it,,,,,,,,,,,,,,Monza,,,,9.2721905,,,,,,,,,,,,,,,,,,,,http://www.zucchi-gsd.it/,,+39 039 83831,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5859191,,,,,,,,IT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituti Ospedalieri Carlo Poma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7727399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,45.1491169,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Auxologico Piancavallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6288705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0092136,,,,,,,,,
,,,,,,,84,,,,,,,,,,,,,,,,,,Corso Pavia,,,,Istituto Clinico Beato Matteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8702096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3070928,yes,,,,,,,,
,,,,,,,,,,,,,Regione Lombardia - La banca dati territoriali CTR10000 è prodotta da Regione Lombardia - Infrastruttura per l'Informazione Territoriale,,,,,,,,,,,,,,,,Istituto Clinico Città Studi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2247518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,45.4854733,hospital,,,,,,,,
,,,,,,,,,,,,,Regione Lombardia - La banca dati territoriali CTR10000 è prodotta da Regione Lombardia - Infrastruttura per l'Informazione Territoriale,,,,,,,,,,,,,,,,Istituto Clinico Città Studi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2256971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,45.4849189,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Clinico Città di Brescia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2265245,,,,,,,,,,,,,,,,,,,,http://www.cittadibrescia-gsd.it/,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5533956,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Clinico Humanitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1673424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,Q3803602,,,,,,,,,,,,,,,,,,,,45.3713700,,,,,,,,,
,,,,,,,49,,,,,,,,,,,,+39 075 5734147,,,,,,Via del Giochetto,,,,Istituto Clinico Porta Sole,,,06122,,,,,,,,,,,,,,,,,info@porta-sole.it,,,,,,,,,,,,,,Perugia,,,,12.4030495,,,,,,Istituto Clinico Porta Sole Srl,,,,,,,,,,,,,,https://www.clinicaportasole.it/,,+39 075 575999,,,,,,,,,,hospital,private,,,,,,,,,,,no,,,,,,,,,,,,,,,,43.1143417,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Clinico Sant'Ambrogio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1529274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,Q50036761,,,,,,,,,,,,,,,,,,,,45.4845039,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Clinico Sant'Anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1804604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5544435,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Clinico Valle d'Aosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2410701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7176776,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Don Gnocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2067426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7583373,,,,,,,,,
,,,,,,,435,,,,,,,,,,,,,,,,,,Via Giuseppe Ripamonti,,,,Istituto Europeo di Oncologia,,,20141,,,,,,,,,,,,it:Istituto Europeo di Oncologia,,,,,urp@ieo.it,,,,,,,,,,,,,,Milano,,,,9.2086346,,,,,,,,,,,,,,,,,,,,https://www.ieo.it/,,+39 02 574891,,,,,,,,,,hospital,,,,,,,,Q1376693,,,,,,,,,,,,,hospital,,,,,,,45.4153449,,,,,,,,,
