shop,office,healthcare:speciality,building:part,clinic,addr:housenumber,addr:state,name:de,source,opening_hours:url,image,fax,survey:date,short_name,fixme,historic,name:uk,tourism,addr:street,contact:facebook,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,source:user,WroclawGIS:building:ID,ewmapa:warstwa,full_name,building:usage:pl,description,wikipedia,mapillary,addr:street:sym_ul,ref,email,highway,WroclawGIS:building:ringIndex,barrier,contact:email,addr:source,addr:city:simc,roof:shape,source:geometry,addr:city,building:use:pl,source_ref,building:type:pl,lon,contact:website,roof:colour,height,lat,alt_name,operator,area,opening_hours,contact:phone,addr:housename,building:parts,heritage,start_date,website,addr:subdistrict,phone,official_name,emuia:id,dispensing,landuse,source:amenity,amenity,operator:type,WroclawGIS:building:date,wikidata,source_ref:3D,emergency,addr:district,building:levels,note,building:fireproof,source:addr,building:material,addr:county,building,building:colour,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,324,,,,,,,,,,,,,Grunwaldzka,,,Klinika Grunwaldzka,,,,,,,,,,,,,,,,,,,,,,,,,Poznań,,,,16.8375532,,,,52.3839442,,,,,,,,,,http://klinikagrunwaldzka.pl/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,59E,,,,,,,,,,,,,Nowogrodzka,,,Klinika Okulistyki,,,02-006,,,,,,,,,,,14426,5,,,,,,,0918123,,,Warszawa,,,,20.9983858,,,,52.2248487,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,5A,,,,,,,,,,,,,Renesansowa,,,Klinika Renesansowa,,,01-905,,,,,,,,,,,18603,,,,,,,,0918123,,,Warszawa,,,,20.9372120,,,,52.2755494,,,,,,,,,,http://klinikarenesansowa.pl/,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,clinic,,
,,,,,6C,,,,,,,,,,,,,Wojciecha Oczki,,,Klinika Urologii,,,02-007,,,,,,,,,,,,7,,,,,,,,,,Warszawa,,,,20.9989413,,,,52.2247779,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,5,,,,,,,,,,,,,Legnicka,,,Klinika okulistyczna VITA-MED,,,67-200,,,,,,,,,,,10780,,,,,,,,0954082,,,Głogów,,,,16.0807762,,,,51.6497701,,,,,,,,,,http://www.vita-med.glogow.pl/,,,,,,,,clinic,,,,,,,,,,mglogow.e-mapa.net,,,yes,,,,,,optometrist,,
,,,,,,,,,,,,,,,,,,,,,Klinika położnictwa i ginekologii Instytutu Matki i Dziecka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9726221,,,,52.2251790,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,hospital,,,,,,,,
,,,,,6,,,Bing; knowledge,,,,,,,,,,Wincentego Witosa,,,Laboratorium Analityki Medycznej,,,44-196,,,,,,,,,,,,,,,,,plamed@wp.pl,,,,,Knurów,,,,18.6577419,,,,50.2368171,,,,"Mo-Fr 07:15-16:00, Sa 07:30-09:00",32 235-19-00,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,civic,,,,,,,PL,
,,,,,,,,,,,,,,,,,,Czerkaska,,,Leśna. Przychodnia Rejonowa,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,18.0299548,,,,53.1385600,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,46,,,,,,,,,,,,,Antoniego Chołoniewskiego,,,Lux-Med,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,18.0048223,,,,53.1123633,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LuxMed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4743033,,,,51.7486517,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,9,,,Knowledge,http://www.doz.pl/lekarze/l44135-Specjalistyczna_Przychodnia_Lekarska_Mar-Vita_s.c.,,,,,,,,,Stefana Żeromskiego,,,MAR-VITA,,,,,,,,,,,,,,,,,,,,,,,,,Lębork,,,,17.7523834,,,,54.5326452,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,252,,,,,,,,,,,,,Pabianicka,,,MEDICOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4241625,,,,51.7069861,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,16,,,,,,,,,,,,,Bartosza Głowackiego,,,MaGra,,,39-200,,,,,,,,,,,,,,,,,,,,,,Dębica,,,,21.4100418,,,,50.0549858,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Medcom,,,,,,,,,,,Klinika stomatologiczno-lekarska,,,,,,,,,,,,,,,,,,17.0708811,,,,50.9807074,,,,,,,,,,,,,,,,residential,,clinic,,,,,,,,,,,,,,,,,,,centre,,
,,,,,7,,,,,,,,,,,,,Generała Władysława Sikorskiego,,,Medica - Niepubliczny Zakład Opieki Zdrowotnej,,,18-100,,,,,,,,,,,,,,,,,,,,,,Łapy,,,,22.8878469,,,,52.9929864,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA (lapy.e-mapa.net),,,yes,,,,,,,,
,,,,,11,,,,,,,,,,,,,Aleja Zwycięstwa,,,Medica Centrum Edward Kisiel,,,21-200,,,,,,,,,,,26322,,,,,,,,0922254,,,Parczew,,,,22.9126046,,,,51.6400975,,,,08:00-21:00,,,,,,http://medicacentrum.com.pl,,83 355 02 12,,,,,,clinic,,,,,,,,GABINET LEKARSKI LEK. MED. EDWARD KISIEL SPECJALISTA CHORÓB WEWNĘTRZNYCH SPECJALISTA KARDIOLOGII,,parczew.e-mapa.net,,,public,,,,,,clinic,,
,,,,,2,,,,,,,,,,,,,Jagiellońska,,,Medica. Niepubliczny Zakład Opieki Zdrowotnej Medycyny Rodzinnej w Bielsku Podlaskim,,,17-100,,,,,,,,,,,07029,,,,,,,,0922685,,,Bielsk Podlaski,,,,23.1947317,,,,52.7673695,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,Krakowska,,,Medican,,,34-120,,,,,,,,,,,,,,,,,,,,,,Andrychów,,,,19.3314895,,,,49.8563740,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,30,,,,,,,,,,,,,Jerzego Waszyngtona,,,Medicover,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1523318,,,,53.1247742,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,EMUiA (emuia.gugik.gov.pl),,,yes,,,,,,,,
,,,,,278,,,,,,,,,,,,,Puławska,,,Medicover,,,02-819,,,,,,,,,,,18102,,,,,,,,0918123,,,Warszawa,,,,21.0170298,,,,52.1510278,,,,"Mo-Fr 07:00-20:00, Sa 08:00-14:00",,,,,,,,,,,,,,clinic,,,,,,,4,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,49,,,,,,,,,,,,,Generała Tadeusza Kościuszki,,,Meditrans,,,07-410,,,,,,,,,,,,,,,,,,,,,,Ostrołęka,,,,21.5727852,,,,53.0875383,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA UM Ostrołęka,,,yes,,,,,,,,
,,,,,1,,,,,,,,,,,,,Folwarczna,,,Medix,,,62-700,,,,,,,,,,,,,,,,,,,,,,Turek,,,,18.5063945,,,,52.0091079,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA (mturek.e-mapa.net),,,yes,,,,,,centre,,
,,,,,42B,,,http://ump.waw.pl/ retrieved 17:43:01 10/18/09 (UMP-Warszawa/src/WARSZAWA.szpitale.pnt-converted.txt),,,,,,,,,,Puławska,,,Medvit,,,05-500,,,,,,,,,,,18102,,medvit@medvit.pl,,,,,,0921438,,,Piaseczno,,,,21.0211333,,,,52.0855535,,,,Mo-Fr 07:00-19:00,,,,,,http://www.medvit.pl/,,+48 22 716 51 00,,,,,,clinic,,,,,,,2,,,piaseczno.e-mapa.net,,,yes,,,,,,clinic,,
,,,,,1,,,bing,,,,,,,,,,Romualda Traugutta,,,Medvita,,,59-600,,,,,,,,,,,22965,,,,,,,,0936227,half-hipped,,Lwówek Śląski,,,,15.5843763,,#CD8368,,51.1099872,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,lwowekslaski.e-mapa.net,,,yes,#F5DBC0,,,,,clinic,,
,,,,,1b,,,mglogow.e-mapa.net,,,,,,,,,,Sportowa,,,Miedziowe Centrum Zdrowia,,,67-200,,,,,,,,,,,,,,,,,,,,,,Głogów,,,,16.0987650,,,,51.6538456,,Miedziowe Centrum Zdrowia,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,34,,,,,,,,,,,,,Armii Krajowej,,,Miejska Przychodnia Rejonowa nr 2,,,97-500,,,,,,,,,,,,,,,,,,,,,,Radomsko,,,,19.4467765,,,,51.0577595,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,civic,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Międzynarodowe Centrum Dializ Zabrze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7433983,,,,50.3043926,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,10,,,,,,,,,,,,,Teatralna,,,"N.Z.O.Z. Instytut Zdrowia ""Centrum""",,,41-200,,,,,,,,,,,,,,,,,,,,,,Sosnowiec,,,,19.1259304,,,,50.2724086,,,,,,,,,,,,,,,,,,clinic,,,,,yes,,,,,,,,yes,,,,,,,,
,,,,,105,,,,,,,,,,,,,,,,NZOZ,,,26-624,,,,,,,,,,,,,,,,,,,0627070,,,,,,,21.0677779,,,,51.3250384,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,kowala.e-mapa.net,,,yes,,,,Kowala,,clinic,,
,,,,,119,,,,,,,,,,,,,,,,"NZOZ ""Medicina"" Zuzanna Rejowska",,,33-388,,,,,,,,,,,,,,,,,,,,,,,,,,20.5774228,,,,49.5437708,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,Gołkowice Górne,,,,
,,,,,34,,,ortofotomapa geoportal,,,,,,,,,,Marszałka Józefa Piłsudskiego,,,"NZOZ ""Przychodnia""",,,08-430,,,,,,,,,,,,,,,,,,,,,,Żelechów,,,,21.9005297,,,,51.8126058,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,yes,,,,,,,,
,,,,,6,,,,,,,,,,,,,Jana Radwańskiego,,,"NZOZ ""ZDROWIE""",,,07-300,,,,,,,,,,,,,,,,,,,,,,Ostrów Mazowiecka,,,,21.9072807,,,,52.7981101,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,18,,,,,,,,,,,,,29 Stycznia,,,"NZOZ ""Zdrowie""",,,14-230,,,,,,,,,,,,,,,,,,,,,,Zalewo,,,,19.6000145,,,,53.8461632,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,2a,,,UM Racibórz,,,,,,,,,,Bielska,,,NZOZ - Twój Lekarz,,,47-400,,,,,,,,,,,,,,,,,,,,,,Racibórz,,,,18.2263469,,,,50.0971094,,,,24/7,,,,,,,,+48324170200,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,PL,
,,,,,30,,,Starostwo Powiatowe Będzin,,,,,,,,,,Zwycięstwa,,,NZOZ Centrum Medyczne Syberka,,,42-500,,,,,,,,,,,,,,,,,,,,,,Będzin,"Szpital lub zakład opieki medycznej, socjalnej",,,19.1200631,,,,50.3235847,,,,,,,,,,,,,,,,,,clinic,,,,,,,3,,,,,,healthcare,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,NZOZ Centrum Usług Medycznych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8656737,,,,50.4433017,,,,,,,,,,,,,,,,,,clinic,,,,,no,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NZOZ Eskulap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7243528,,,,51.7322550,,,,,,,,,,http://www.galkowek.pl/informacje/nzoz-eskulap-galkowek/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,1,,,,,,,,,,,,,Adama Mickiewicza,,,NZOZ Eskulap,,,63-322,,,,,,,,,,,,,,,,,,,,,,Gołuchów,,,,17.9287061,,,,51.8493504,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,26a,,,,,,,,,,,,,Władysława Broniewskiego,,,NZOZ Eskulap,,,58-400,,,,,,,,,,,02125,,,,,,,,,,,Kamienna Góra,,,,16.0290044,,,,50.7830144,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mkamiennagora.e-mapa.net,,,yes,,,,,,clinic,,
,,,,,17,,,UM Katowice,,,,,,,,,,Stolarska,,,NZOZ Euroklinika,,,40-767,,,,,,,,,,,,,,,,,klinika@euroklinika.com.pl,,,,,Katowice,,,,18.9536452,http://www.euroklinika.com.pl/,,,50.2272987,,Jerzy Wilgus,,,+48 32 252 40 40,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,14,,,,,,,,,,,,,Ignacego Paderewskiego,,,NZOZ HOMED,,,36-060,,,,,,,,,,,,,,,,,,,,,geoportal.gov.pl:ortofoto,Głogów Małopolski,,,,21.9710600,,,,50.1421046,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,UG Głogów Małopolski,,,residential,,,,,,,,
,,,,,5/7,,,,,,,,,,,,,Bankowa,,,NZOZ Karkonoskie Centrum Medyczne,,,58-500,,,,,,,,,,,,,,,,,,,,,,Jelenia Góra,,,,15.7372013,,,,50.9020235,,KCM Clinic S.A.,,,,,,,,,,,,,,,,clinic,,,,,,,,,,"EMUiA (emuia.gugik,gov.pl)",,,yes,,,,,,clinic,,
,,,,,5/7,,,,,,,,,,,,,Bankowa,,,NZOZ Karkonoskie Centrum Medyczne,,,58-500,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",Jelenia Góra,,,,15.7371967,,,,50.9020215,,KCM Clinic S.A.,,,,,,,,,,,,,,,,clinic,,,,,,,,,,"EMUiA (emuia.gugik,gov.pl)",,,yes,,,,,,clinic,,
,,,,,26,,,,,,,,,,,,,Karmelicka,,,NZOZ Karmelicka,,,00-181,,,,,,,,,,,08061,,,,,,,,0918123,,,Warszawa,,,,20.9896804,,,,52.2509578,,,,8:00-18:00,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,23,,,UM Racibórz,,,,,,,,,,Hetmana Jana Karola Chodkiewicza,,,NZOZ Lecznica Imienia Świętego Łazarza,,,47-400,,,,,,,,,,,,,,,,,,,,,,Racibórz,,,,18.1982298,,,,50.0870154,,,,,,,,,,http://www.lazarz-raciborz.pl/,,+4832 419 08 88,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,1a,,,UM Zielona Góra,,https://images.mapillary.com/nl-5v-jc9KS3h_XDY-JsKw/thumb-2048.jpg,,,,,,,,Jelenia,,,NZOZ Lopit,,,,,,,,,,,,,https://www.mapillary.com/map/im/nl-5v-jc9KS3h_XDY-JsKw,,,,,,,,,,,,Zielona Góra,,,,15.5004090,,,,51.9425327,,Lubuski Ośrodek Profilaktyki i Terapii Osób Uzależnionych i Współuzależnionych,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,21a,,,Starostwo Powiatowe Będzin,,,,,,,,,,Majora Bolesława Zagórnego,,,NZOZ MEDICA,,,42-500,,,,,,,,,,,,,,,,,,,,,,Będzin,"Szpital lub zakład opieki medycznej, socjalnej",,,19.0846210,,,,50.3500431,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,healthcare,,,,,,,,
,,,,,32,,,,,,,,,,,,,Armii Krajowej,,,NZOZ MEDiFARM,,,97-500,,,,,,,,,,,,,,,,,,,,,,Radomsko,,,,19.4462811,,,,51.0578493,,,,,,,,,,,,,,,,,,clinic,,,,,,,1,,,,,,civic,,,,,,,,
,,,no,,35,,,,,,,,,,,,,Radomska,,,NZOZ Med-Star,,,,,,,,,,,,,,,,,,,,,,,,,Starachowice,,,,21.0672418,,,,51.0593555,,,,,,,yes,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,8A,,,,,,,,,,,,,Apteczna,,,NZOZ Medicus X,,,26-110,,,,,,,,,,,00377,,,,,,,,0947716,,,Skarżysko-Kamienna,,,,20.8560961,,,,51.1134630,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,,,,,
,,,,,,,,Starostwo Powiatowe Będzin,,,,,,,,,,,,,NZOZ Medyk,,,,,,,,,,,,,,,,,,,,,,,,,,"Szpital lub zakład opieki medycznej, socjalnej",,,19.1387074,,,,50.3197425,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,healthcare,,,,,,,,
,,,,,12a,,,UM Racibórz,,,,,,,,,,Marii Skłodowskiej-Curie,,,NZOZ Neuro-Med,,,47-400,,,,,,,,,,,,,rejestracja@neuro-med.com.pl,,,,,,,,,Racibórz,,,,18.2089040,,,,50.0799927,,,,,,,,,,http://www.neuro-med.com.pl,,32 414969395,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,239,,,,,,,,,,,,,,,,NZOZ Ośrodek Zdrowia w Lipsku,,,22-400,,,,,,,,,,,,,,,,,,,,,,Lipsko,,,,23.2411472,,,,50.6586771,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,Lipsko,,,,
,,,,,70,,,,,,,,,,,,,Ignacego Paderewskiego,,,NZOZ PRZYCHODNIA ALMA-MED,,,44-100,,,,,,,,,,,,,,,,,,,,,,Gliwice,,,,18.6907553,,,,50.3193649,,,,8:00-18:00,,,,,,http://www.alma-med.pl/,,32 279 50 17,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,4,,,,,,,,,,,,,Wojska Polskiego,,,NZOZ Przychodnia Nr 1 Optima Sp. z o. o.,,,43-100,,,,,,,,,,,,,,,,,,,,,,Tychy,,,,18.9693328,,,,50.1323709,,,,,,,,,,,,+48 32 327 00 90,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,24,,,UM Racibórz,,,,,,,,,,Stanisława Moniuszki,,,"NZOZ Przychodnia „Studzienna""",,,47-400,,,,,,,,,,,,,,,,,,,,,,Racibórz,,,,18.2007587,,,,50.0689053,,NZOZ Centrum Zdrowia,,,,,,,,http://centrum-zdrowia.net/temida-osrodek-mediacyjny,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,,,,UM Racibórz,,,,,,,,,,,,,NZOZ Raciborskie Centrum Medyczne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2033008,,,,50.1024114,,,,,,,,,,http://rcm-raciborz.pl/,,+4832 45 45 985,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,44,,,,,,,,,,,,,Wiejska,,,NZOZ SALUS S.C,,,73-115,,,,,,,,,,,,,,,,,,,,,,Dolice,,,,15.2058251,,,,53.1867579,,,,,,,,,,,,+48915640383,,,,,,clinic,,,,,,,,,,dolice.e-mapa.net,,,yes,,,,,,,,
,,,,,5,,,,,,,,,,,,,Kościuszki,,,NZOZ Sanus,,,,,,,,,,,"Przychodnia POZ, podstawowa opieka lekarska.",,,,,,,,,,,,,,,,,,18.9468755,,,,49.9746092,,,,,,,,,,,,322103158,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,Przytorowa,,,"NZOZ Zakład Opiekuńczo-Leczniczy ""Dom Rodzinny""",,,05-100,,,,,,,,,,,18006,,,,,,,,0921148,,,Nowy Dwór Mazowiecki,,,,20.7210563,,,,52.4248507,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,nowydwormazowiecki.e-mapa.net,,,yes,,,,,,,,
,,,,,15,,,,,,,,,,,,,Janowska,,,NZOZ Zdrowie,,,47-480,,,,,,,,,,,,,poz_pietrowice@op.pl,,,,,,,,,Pietrowice Wielkie,,,,18.0959575,,,,50.0825681,,,,,,,,,,http://zdrowie.pietrowicewielkie.pl/,,+4832 419 80 24,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,60,,,,,,,,,,,,,Wyzwolenia,,,NZOZ Zdrowie - Filia Krowiarki,,,47-494,,,,,,,,,,,25133,,,,,,,,0218905,,,Krowiarki,,,,18.0762895,,,,50.1331733,,NZOZ Zdrowie,,,,,,,,http://zdrowie.pietrowicewielkie.pl/,,+4832 419 83 28,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,,,,,
,,,,,18,,,,,,,,,,,,,Hetmana Żółkiewskiego,,,NZOZ w Żółkiewce,,,22-335,,,,,,,,,,,,,,,,,,,,,,Żółkiewka,,,,22.8364836,,,,50.9108052,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,51,,,,,,,,,,,,,Ogrodniczki,https://www.facebook.com/klinikaalfa,,"NZOZ „Alfa"" Centrum Ortopedii i Traumatologii",,,15-763,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1247731,,,,53.1445305,,,,,+48 85 654 01 69,,,,,http://www.centrumortopediialfa.pl/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,30,,,,,,,,,,,,,Łazienna,,,Nasz Lekarz,,,87-100,,,,,,,,,,,,,,,,,,,,,,Toruń,,,,18.6067546,http://naszlekarz.pl/,,,53.0101338,,,,Mo-Fr 08:00-19:00,"(48) 566 10 3330, (48) 566 10 3331",,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,91,,,Starostwo Powiatowe Będzin,,,,,,,,,,Pokoju,,,"Niepubliczna Poradnia Lekarska ""Zdrowie""",,,42-500,,,,,,,,,,,,,,,,,,,,,,Będzin,"Szpital lub zakład opieki medycznej, socjalnej",,,19.1406800,,,,50.3576862,,,,,,,,,,,,,,,,,,clinic,,,,,,,1,,,,,,healthcare,,,,,,,,
,,,,,19,,,photograph,,,,,,,,,,Kolejowa,,,Niepubliczny Ośrodek Opieki Zdrowotnej NEX-MEDICAL,,,58-160,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",Świebodzice,,https://www.flickr.com/photos/124589265@N07/14282338214,,16.3294844,,,,50.8596136,,,,Mo-Fr 08:00-18:00,,,,,,,,+48 74 854 40 89,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,PL,
,,,,,85a,,,,,,,,,,,,,Niepodległości,,,"Niepubliczny Ośrodek Zdrowia ""BER-MED"" w Wieliszewie",,,05-135,,,,,,,,,,,,,,,,,,,,,,Wieliszew,,,,20.9537984,,,,52.4580920,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,Starostwo Powiatowe Będzin,,,,,,,,,,,,,"Niepubliczny Samodzielny ZOZ ""EŁ-MED"" Fundacji Pracowniczej Elektrowni ""Łagisza""",,,,,,,,,,,,,,,,,,,,,,,,,,Inny niemieszkalny,,,19.1367559,,,,50.3483399,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,service,,,,,,,,
,,,,,9,,,,,,,,,,,,,Sportowa,,,Niepubliczny Zakład Opieki Zdrowotnej,,,58-210,,,,,,,,,,,,,,,,,,,,,,Łagiewniki,,,,16.8364082,,,,50.7907844,,,,,,,,,,,,,,,,,,clinic,,,,,no,,,,,,,,,,,,,,,,
,,,,,5,,,,,,,,,,,,,Mogileńska,,,Niepubliczny Zakład Opieki Zdrowotnej,,,88-190,,,,,,,,,,,,,renataspychalskaadamczak@onet.eu,,,,,,,,,Barcin,,,,17.9406671,,,,52.8559823,,,,,,,,,,,,+48523833390,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,66,,,,,,,,,,,,,Międzyrzecka,,,"Niepubliczny Zakład Opieki Zdrowotnej ""CENTRUM""",,,21-400,,,,,,,,,,,,,,,,,,,,,,Łuków,,,,22.3860146,,,,51.9321752,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,68A,,,,,,,,,,,,,,,,"Niepubliczny Zakład Opieki Zdrowotnej ""Eskulap"" w Iwanowicach Dworskich",,,32-095,,,,,,,,,,,,,,,,,,,0320526,,,,,,,19.9789427,,,,50.2188720,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,Iwanowice Dworskie,,clinic,,
,,,,,,,,,,,,,,,,,,,,,"Niepubliczny Zakład Opieki Zdrowotnej ""GAMED""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1623677,,,,51.4047356,,,,,,,,,,http://www.gamed.pl/,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,475,,,,,,,,,,,,,,,,"Niepubliczny Zakład Opieki Zdrowotnej ""Lub-Med"" w Lubniu",,,32-433,,,,,,,,,,,,,,,,,,,0441247,,,,,,,19.9764015,,,,49.7151806,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,Lubień,,clinic,,
,,,,,,,,,,,,,,,,,,,,,"Niepubliczny Zakład Opieki Zdrowotnej ""Przychodnia Obozisko""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1544313,,,,51.4095188,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,,,,,,,,,,,Świętej Faustyny,,,"Niepubliczny Zakład Opieki Zdrowotnej ""Rehabilitacja""",,,23-200,,,,,,,,,,,,,,,,,,,,,,Kraśnik,,,,22.2191691,,,,50.9341587,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,2,,,local knowledge,,,,,,,,,,Stefana Żeromskiego,,,Niepubliczny Zakład Opieki Zdrowotnej - QMEDIC,,,41-300,,,,,,,,,,,,,,,,,,,,,,Dąbrowa Górnicza,,,,19.1778558,,,,50.3249500,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,2,,,Starostwo Powiatowe Będzin,,,,,,,,,,Biskupa Adama Śmigielskiego,,,Niepubliczny Zakład Opieki Zdrowotnej DERMA,,,42-500,,,,,,,,,,,,,,,,,,,,,,Będzin,"Szpital lub zakład opieki medycznej, socjalnej",,,19.1163140,,,,50.3197593,,,,,,,,,,,,,,,,,,clinic,,,,,,,1,,,,,,healthcare,,,,,,,,
,,,,,231a,,,,,,,,,,,,,,,,Niepubliczny Zakład Opieki Zdrowotnej INMED,,,33-172,,,,,,,,,,,,,,,,,,,,,,,,,,21.0095632,,,,49.8694438,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,Siedliska,,,,
