health_facility:type,shop,office,healthcare:speciality,building:part,description:de,social_facility,building:type,addr:housenumber,toilets,fenced,addr:state,ele,source,image,fax,survey:date,name_alt,emergency,fixme,leisure,historic,ref:gdke,wikimedia_commons,addr:street,contact:facebook,name:en,contact:fax,name,wheelchair:description,addr:postcode,roof:material,ref:bldam,internet_access:fee,roof:orientation,registration_hours,disused,internet_access,health_specialty:psychiatry,designation,roof:height,provided_for:adolescent,loc_name,building:name,source:addr,capacity,wikipedia,language:others,access,check_date,ref,email,highway,building:height,barrier,contact:email,roof:shape,building:use,health_specialty:psychotherapy,health_specialty:psychiatrics,source:geometry,addr:city,roof:direction,language:de,health_person:type,toilets:wheelchair,provided_for:child,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,construction_date,operator,short_name,service,area,opening_hours,contact:phone,addr:housename,vehicle,start_date,website,heritage:description:de,health_specialty:rheumatology,heritage,telephone,source:date,phone,old_name,smoking,opening_hours:signed,note_de,source:url,landuse,wheelchair,contact:mail,amenity,operator:type,addr:hamlet,addr:suburb,official_name,building:min_level,wikidata,social_facility:for,health_specialty:cardiology,medical_system:western,addr:district,building:levels,note,kvl_hro:type,old_amenity,description,TMC:cid_58:tabcd_1:LocationCode,building:material,healthcare,fence_type,kvl_hro:amenity,health_specialty:orthopaedics,lat,addr:subdistrict,building,building:colour,url,roof:levels,addr:place,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:Class,year_of_construction,healthcare:for,addr:country,heritage:operator,operator:wikidata
,,,Soziotherapeutische Suchthilfe,,,,,53,,,,,,,,,,,,,,,,Burgstraße,https://www.facebook.com/Ordenswerke,,+49 2222 9235725,Die Torburg,,53332,,,,,,,,,,,,,,,,,,,,,,,,,isabelle.stammen@deutscher-orden.de,,,,,,Bornheim,,,,,,6.9939345,http://www.die-torburg.de/,,,,,,,Deutscher Orden Ordenswerke,,,,,+49 2222 923570,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.7651943,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dietrich-Bonhoeffer-Klinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2121769,,,,,,,,Diakonisches Werk Oldenburg Dietrich-Bonhoeffer-Klinik gGmbH,,,,,,,,,https://www.dietrich-bonhoeffer-klinik.de,,,,,,+49 4435 9314 0,,,,,,commercial,,,clinic,,,,,,,,,,,,,,,,,,,,,,52.8948834,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,Blomberger Straße,,,,Dr. Becker Brunnen-Klinik,,32805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horn-Bad Meinberg,,,,,,8.9849648,,,,,,,,,,,,,,,,,https://www.dbkg.de/reha-kliniken/brunnen_klinik,,,,,,+49 5234 9060,,,,,,,,,clinic,,,Bad Meinberg,,,,,,,,,,,,,,,,,,,51.8984283,,yes,,,,,,,,,DE,,
,,,,,,,,5,,,,,,,,,,,,,,,,Schützenstraße,,,,Dr. Loges + Co. GmbH,,21423,,,,,,,,,,,,,,,,,,,,,info@loges.de,,,,,,,,,,Winsen (Luhe),,,,,,10.2081754,,,,,,,,,,,,,,,,,,,,,,,+4941717070,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,53.3528138,,yes,,,,,,,,,,,
,,,general,,,,,43,,,,,"Maps4BW ( LGL, www.lgl-bw.de) / Bing",,,,,,,,,,,Bahnhofstraße,,,,Dr. Soeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbertingen,,,,,,9.4340581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.0623284,,yes,,,,,,,,,,,
,,,surgery,,,,,66,,,,,,,,,,,,,,,,Austraße,,,,"Dres. Dahlke, Kornder, Pschaick, Pfau Chirurgisches Zentrum",,35745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herborn,,,,,,8.3042956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.6700612,,yes,,,,,,,,,DE,,
,,,geriatrics;neurology;orthopaedics,,,,,25,,,,,,,+49 6343 949-900,,,no,,,,,,Wiesenstraße,,,,Edith-Stein-Fachklinik,,,,,,,,,,,,,,,,,240,,,,,,info@reha-bza.de,,,,,,,,,,Bad Bergzabern,,,,,,7.9862684,,,,,,,,ctt Reha-Fachkliniken GmbH,,,,,,,,,https://reha-bza.de,,,,,,+49 6343 949-0,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.0977883,,hospital,,,,,,,,,DE,,
,,,,,,,,,,,,,,,+49 2674 181 999,,,,,,,,,Auf der Sees,,,,Elfenmaar Klinik,,56864,,,,,,,,,,,,,,,,,,,2018-11-22,,info@elfenmaar-klinik.de,,,,,,,,,,Bad Bertrich,,,,,,7.0235779,,,,,,,,ELFENMAAR-Klinik GmbH,,,,,,Elfenmaar Klinik,,,https://www.elfenmaar-klinik.de/,,,,,,+49 2674 181 0,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,50.0718591,,hospital,,,,,,,,,DE,,
,,,,,,,,1,,,,,"maps4bw, LGL, ww.lgl-bw.de;Bing",,,,,,,,,,,Landstraße,,,,Epilepsieklinik für Erwachsene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kehl,,,,,,7.8657721,,,,,,,,Diakonie Kork,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.5656093,,hospital,,,,,,,,,,,
,,,,,,,,2e,,,,,"maps4bw, LGL, ww.lgl-bw.de;Bing",,,,,,check address,,,,,Landstraße,,,,Epilepsieklinik für Kinder und Jugendliche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kehl,,,,,,7.8653360,,,,,,,,Diakonie Kork,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.5660664,,hospital,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,Ahornstraße,,,,Ernst Bergmann Klinik Standort Ahornstraße,,14482,,"09156172,T,001",,,,,,,,,,,,,,,,,,,,,,,,gabled,,,,,Potsdam,,,,,,13.1150461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,"Verwaltungsgebäude der ehem. Lokomotivfabrik Drewitz; Erbaut 1900, erweitert 1905",,,,,,,52.3801536,,commercial,,,,,,,1900,,,,
clinic,,,psychiatry,,,,,161,,,,,,,,,,,,,,,,Sanderstraße,,,,Ev. Stiftung Tannenhof Psychiatrische Klinik Wuppertal,,42283,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Wuppertal,,,psychologist;physician;therapist,,,7.1709241,,,,,,,,Evangelische Stiftung Tannenhof,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.2737128,,,,,,,,,,,DE,,
,,,psychiatry,,,,,10,,,,,,,,,,,,,,,,Hoffnungstaler Weg,,,,Evangelisches Klinikum Bethel (EvKB) - Fachbereich Pniel der Klinik für Psychiatrie und Psychotherapie,,33617,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,Bielefeld,,,,,,8.5206015,,grey,,,,,,Evangelisches Klinikum Bethel gGmbH,,,,,,,,,https://evkb.de/psychiatrie,,,,,,+49 521 772-78771,,,,,,,,,clinic,,,,,4,,,,,,5,,,,,,,clinic,,,,52.0099146,,yes,#b28595,,,,,,,,,,
,,,psychiatry,,,,,103p,,,,,,,,,,,,,,,,Schildescher Straße,,,,Evangelisches Klinikum Bethel (EvKB) - Klinik für Psychotherapeutische und Psychosomatische Medizin,,33611,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,Bielefeld,,,,,,8.5381186,,#9e7153,,,,,,Evangelisches Klinikum Bethel gGmbH,,,,,,,,,https://evkb.de/psychosomatik,,,,,,+49 521 772 75901,,,,,,,,,clinic,,,,,,,,,,,3,,,,,,,clinic,,,,52.0426252,,yes,white,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Evangelical Centre for Geriatrics,,Evangelisches Zentrum für Altersmedizin,,,,,,,,,,,,,,Altersmedizin Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,13.0464081,,,,,,,,,,,,"Mo,We 14:00-18:00, Tu,Th 10:00-14:00",,,,,https://altersmedizin-potsdam.eu/,,,,,,+49 331 27770,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,52.4035192,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facharztzentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7284636,,,,,,,,Gesundheitszentrum Wetterau gGmbH,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,centre,,,,50.3568028,,hospital,,,,,,,,,,,
,,,,,,,,49,,,,,,,,,,,,,,,,Myslowitzer Straße,,,,Facharztzentrum,,12621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin,,,,,,13.5920539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,Kaulsdorf,,,,,,,,,,,,,,,centre,,,,52.5072619,,yes,,,,,,,,,DE,,
,,,,,,,,1 A,,,,,,,,,,,,,,,,Elsa-Brändström-Straße,,,,Facharztzentrum Promedi,,67227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frankenthal (Pfalz),,,,,,8.3307270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,centre,,,,49.5420532,,hospital,,,,,,,,,DE,,
,,,,,,,,3,,,,,,,,,,,,,,,,Teichweg,,,,Facheinrichtung für Intensivpflege Klinik Bavaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kreischa,,,,,,13.7792605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,50.9527156,,yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fachklinik Bad Bentheim - Kardiologie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1615355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,52.3181450,,yes,,,,,,,,,,,
,,,geriatrics;pulmonology,,,,,22,,,,,,,+49 6783 18-102,,,no,,,,,,Krankenhausweg,,,,Fachklinik Baumholder,,55774,,,,,,,,,,,,,,,,,,,,,verwaltung@bh.shg-kliniken.de,,,,,,,,,,Baumholder,,,,,,7.3357423,,,,,,,,Klinikum Idar-Oberstein GmbH,,,,24/7,,,,,https://baumholder.shg-kliniken.de/,,,,,,+49 6783 18-0,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.6216757,,hospital,,,,,,,,,DE,,
,,,drugs,,,,,1,,,,,,,,,,no,,,,,,Klinikstraße,,,,Fachklinik Eußerthal,,76857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eußerthal,,,,,,7.9908254,,,,,,,,Deutsche Rentenversicherung Rheinland-Pfalz,,,,,,,,,http://www.fachklinik-eusserthal.de/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.2519178,,,,,,,,,,,,,
,,,geriatrics,,,,,9,,,,,,,,,,,,,,,,Ghersburgstraße,,,,Fachklinik Ghersburg,,83043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Aibling,,,,,,12.0217520,,,,,,,,Gesundheitsbetriebe Dr. Nikolaus Netzer Verwaltungs-GmbH,,,,,,,,,https://www.ghersburgklinik.de/,,,,,,+49 8061 494 0,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,47.8526965,,,,,,,,,,,DE,,
,,,,,,,,1,,,,,,,,,,no,,,,,,Hirtenstein,,,,Fachklinik Hirtenstein,,87538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolsterlang,,,,,,10.2418695,,,,,,,,,,,,,,,,,https://www.hirtenstein.de/,,,,,,+49 8326311101,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,47.4589564,,yes,,,,,,,,,DE,,
,,,,,,,,2,,,,,,,,,,,,,,,,Zu den drei Buchen,,,,Fachklinik Hochsauerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3148707,,,,,,,,,,,,,,,,,https://www.fachklinik-hochsauerland.de/,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,51.1981858,,clinic,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,Franz-Schubert-Straße,,,,Fachklinik Landau,,76829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landau in der Pfalz,,,,,,8.1236225,,,,,,,,,,,,,,,,,,,,,,,+49 6341 14120,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.1941923,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,+49 6347 7009-319,,,,,,,,,Waldstraße,,,,Fachklinik Ludwigsmühle,,67363,,,,,,,,,,,,,,,,,,,,,info-ludwigsmuehle@ludwigsmuehle.de,,,,,,,,,,Lustadt,,,,,,8.2804124,,,,,,,,,,,,,,Ludwigsmühle,,,https://www.ludwigsmuehle.de/angebote/fachkliniken/ludwigsmuehle/,,,,,,+49 6347 7009-0,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.2234160,,,,,,,,,,,DE,,
,,,,,,,,29,,,,,,,,,,,,,,,,Plattlinger Straße,,,,Fachklinik Osterhofen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0117955,,,,,,,,,,,,,,,,,https://www.fachklinik-osterhofen.de/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.7044851,,yes,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Fachklinik Prinzregent Luitpold,,88175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scheidegg,,,,,,9.8324820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,Oberschwenden,,,,,,,,,,,,,,,,,,,47.5652165,,yes,,,,Oberschwenden,,,,,DE,,
,,,rehabilitation,,,,,1,,,,,,,,,,,,,,,,Schlossstraße,,,,Fachklinik Schloss Eichelsdorf,,97461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hofheim in Unterfranken,,,,,,10.5302355,,,,,Fachklinik Schloss Eichelsdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,Therapie von Drogenabhängigen,,,clinic,,,,50.1600186,,,,,,,,,,,DE,,
,,,,,,,,1,,,,,,,,,,,,,,,,Georg-Leißner-Straße,,,,Fachklinik Sonnenhöhe,,08645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Elster,,,,,,12.2361846,http://www.diakonie-badelster.de/leistungsspektrum/ev-fachklinik-sonnenhoehe/klinikportrait/,,,,,,,DGS – Diakoniegesellschaft Sachsen gemeinnützige GmbH,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,50.2848370,,,,,,,,,,,DE,,
,,,,,,,,44,,,,,,,,,,,,,,,,Benekestraße,,,,Fachklinik Thomas Morus,,26548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norderney,,,,,,7.1498248,,,,,,,,,,,,,,,,,http://www.caritas-gesundheitszentrum.de/fachklinik-thomas-morus,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,53.7103899,,,,,,,,,,,,,
,,,,,,,,1,,,,,Yahoo; Bing,,,,,,,,,,,Heidehof,,,,Fachklinik Weinböhla,,01689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6308073,,,,,,,,Ev.-Luth. Diakonenhaus Moritzburg e.V.,,,,,,,,,www.fk-heidehof.de,,,,,,,,,,,,residential,,,clinic,,,,,,,,,,,,,,,,,,,,,,51.1836638,,,,,,,,,,,,,
,,,geriatrics,,,,,1,,,,,,,,,,,,,,,,Rudolf-Breitscheid-Platz,,,+49 36602 55203,Fachklinik für Geriatrie,,07580,,,,,,,,,,,,,,,,,,,,,,,,,post@krankenhaus-ronneburg.de,,,,,,Ronneburg,,,,,,12.1870875,http://www.krankenhaus-ronneburg.de/,,,,,,,Fachklinik für Geriatrie GmbH,,,,,+49 36602 550,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.8673930,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,+49 4223 71-217,,,,,,,,,Heilstättenweg,,,,Fachklinik für Orthopädie,,27777,,,,,,,,,,,,,,,,,,,,,gesund@stenum-ortho.de,,,,,,,,,,Ganderkesee,,,,,,8.5547771,,,,,,,,STENUM Ortho GmbH,,,,,,,,,https://www.stenum-ortho.de,,,,,,+49 4223 71-0,,,,,,,,,clinic,,Stenum,,,,,,,,,,,,,,,,,,,,53.0791191,,hospital,,,,,,,,,DE,,
,,,orthopaedics;neurology,,,,,,,,,,,,,,,,,,,,,Am Wald,,,,Fachklinikum Brandis,,04821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandis,,,,,,12.6077428,http://www.fachklinikum-brandis.de/,,,,,,,Fachklinikum Brandis GmbH & Co. KG,,,,,49 34292 840,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.3214103,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,Badstraße,,,,Fachklinikum Sachsenhof,,08645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Elster,,,,,,12.2386440,http://www.fachklinikum-sachsenhof.de/klinik/,,,,,,,Fachklinikum Sachsenhof GmbH,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,50.2824064,,yes,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,Zu den drei Buchen,,,,Fachklink Fredeburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3172469,,,,,,,,,,,,,,,,,https://www.fachklinik-fredeburg.de/,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,51.1980787,,clinic,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fachkrankenhaus Hubertusburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9433063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.2752598,,,,,,,,,,,,,
,,,,,,,,16 A,,,Bayern,,,,,,,,,,,,,Krankenhausstraße,,,,Fachärztezentrum,,92237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sulzbach-Rosenberg,,,,,,11.7299561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,Amberg-Sulzbach,,,,,,,,clinic,,,,49.5045167,,yes,,,,,,,,,DE,,
,,,,,,,,3,,,Baden-Württemberg,,LGL (www.lgl-bw.de),,,,,,,,,,,Gassenäckerstraße,,,+49 6202 6953 170,Fides Klinik,,68775,,,,,,,,,,,,,,,,,,,,,,,,,zahnmedizin@fides-klinik.de,,,,,Bing,Ketsch,,,,,,8.5318841,http://www.fides-klinik.de/,,,,,,,fides Beleg-Klinik GmbH,,,,Mo-Fr 07:00-21:00; Sa 08:00-12:00,+49 6202 6953 100,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,dentist,,,,49.3697058,,yes,,,,,,,,,DE,,
,,,,,,,,44,,,,,,,,,,,,,,,,Im Dorf,,,,Franz-Alexander-Klinik,,77787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nordrach,,,,,,8.0818969,,,,,,,,,,,,,,Rothschild,,,,,,,,,+49 7838 1077,,,,,,,,,clinic,,,,,,,,,,,,http://www.alemannia-judaica.de/nordrach_synagoge.htm,,,,,,,,,,48.3994067,,yes,,,,,,,,,,,
,,,gynaecology,,,,,,,,,,,,,,,,,,,,,,,,+49 371 33322121,Frauen- und Kinderklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8856222,https://www.klinikumchemnitz.de/kliniken-bereiche/kliniken/frauenheilkunde-und-geburtshilfe/,,,,,,,Klinikum Chemnitz gGmbH,,,,,+49 371 33322201,,,,,,,,,,,,,,,,,limited,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.8440683,,,,,,,,,,,,,
,,,,,,,,2m,,,,,,,,,,,,,,,,Elsässer Straße,,,,Freiburger Institut für Musikermedizin,,79110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freiburg im Breisgau,,,,,,7.8317322,,,,,Institut für Musikermedizin,,,Universitätsklinik Freiburg,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,clinic,,,,48.0087963,,hospital,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,Am Kurpark,,,,GOC Park-Klinik,,53177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonn,,,,,,7.1550454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,50.6832886,,yes,,,,,,,,,DE,,
,,,spine_surgery,,,,,91,,,,,,,,,,,,,,,,Hohenheimer Straße,,,,Galenus Klinik,,70184,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,Stuttgart,,,,,,9.1843292,,,,,,,,,,,,,,,,,http://www.galenus-klinik.de/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,5,,,,,,glass,clinic,,,,48.7678987,,yes,,,,,,,,,DE,,
,,,geriatrics,,,,,63-65,,,,,,,,,,,,,,,,Berliner Straße,,,,Geriatrische Fachklinik Rheinhessen-Nahe,,55583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Kreuznach,,,,,,7.8459381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,Bad Münster am Stein-Ebernburg,,,,,,,,,,,,,,,clinic,,,,49.8111446,,hospital,,,,,,,,,,,
,,,geriatrics,,,,,27,,,,,"Stadtvermessungsamt Augsburg, mit Genehmigung",,,,,,,,,,,Butzstraße,,,,Geriatrische Rehabilitationsklinik,,86199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augsburg,,,,,,10.8638043,,,,,,,,Hessing Stiftung,,,,,,,,,,,,,,,,,,,,http://wiki.openstreetmap.org/wiki/Augsburg/Datenspende_%C3%B6ffentliche_Geb%C3%A4ude_der_Stadt_mit_Publikumsverkehr,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.3403251,,yes,,,,,,,,,DE,,
,,,geriatrics,,,,,2a,,,,,,,,,,,,,,,,Altonaer Straße,,,,Geriatrische Rehabilitationsklinik Dresden-Löbtau,,01159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dresden,,,,,,13.7129948,https://www.klinikum-dresden.de/Kliniken_Br%C3%BCckenseiten/Geriatrische+Rehabilitation+(L%C3%B6btau).html,,1,,,,,Städtisches Klinikum Dresden,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,51.0490531,,yes,,,,,,,,,,,
,,,,,,,,4-6,,,,,,,,,,,,,,,,Karl-Ferdinand-Broll-Straße,,,,Gertrudis Klinik,,35638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leun,,,,,,8.3079245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.5335032,Bisbingen,residential,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesichtschirugie/Röntgeninstitut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7083580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,clinic,,,,,,,,,,,,,,,,,,,,,,50.9487681,,yes,,,,,,,,,,,
health_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesundheitsforum Köpenick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5804706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.4599467,,,,,,,,,,,,,
,,,,,,,,17,,,,,,,,,,,,,,,,Am Damm,,,,Gesundheitszentrum,,55232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alzey,,,,,,8.1061952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.7459407,,yes,,,,,,,,,,,
,,,,,,,,28,,,,,,,,,,,,,,,,Am Stadtgarten,,,,Gesundheitszentrum Am Stadtgarten,,77855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achern,,,,,,8.0741833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,centre,,,,48.6297469,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesundheitszentrum Bitterfeld-Wolfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2744931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,51.6622059,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,Dallgower Straße,,,,Gesundheitszentrum Falkensee,,14612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falkensee,,,,,,13.0915307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,52.5580576,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesundheitszentrum Giesing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5948215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,4,,,,,,,clinic,,,,48.1109742,,yes,,,,,,,,,,,
,,,,,,,,2,,,,,survey,,,,,,,,,,,Giesinger Bahnhofplatz,,,,Gesundheitszentrum Giesing Süd,,81539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,München,,,,,,11.5950963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,7,,,,,,,clinic,,,,48.1103151,,yes,,,,,,,,,DE,,
,,,,,,,,6,,,,,,,,,,,,,,,,Ludwigstraße,,,,Gesundheitszentrum Ludwigstraße,,45739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oer-Erkenschwick,,,,,,7.2656174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.6393019,,yes,,,,,,,,,DE,,
,,,,,,,,17,,,,,,,,,,,,,,,,Bitburger Straße,,,,Gesundheitszentrum Neuerburg,,54673,,,,,,,,,,,,,,,,,,,,,,,,,info@gesundheitszentrum-neuerburg.de,,,,,,Neuerburg,,,,,,6.2988288,http://gesundheitszentrum-neuerburg.de,,,,,,,Gesundheitszentrum Neuerburg gGmbH,,,,,+49 6564 69-17200,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,50.0073594,,hospital,,,,,,,,,DE,,
