comment,roof:levels,amenity,start_date,healthcare:speciality,lon,contact:website,roof:colour,addr:suburb,official_name,height,source:date,wikidata,alt_name,operator,internet_access,addr:housenumber,capacity,emergency,religion,building:levels,opening_hours,contact:phone,wikipedia,name:de,note,source,roof:material,ref,email,website,fax,description,short_name,contact:email,building:material,fence_type,contact:facebook,leisure,denomination,barrier,phone,old_name,lat,wikimedia_commons,addr:street,building,building:colour,fixme,name:en,contact:fax,name,roof:shape,url,addr:postcode,wheelchair,addr:place,CLC:surfaceoverlap,addr:city,CLC:year,healthcare,source:url,url:miserend,toilets:wheelchair,CLC:id,disused,addr:country,CLC:code
,,hospital,,,17.6265795,,,,,,,,,,,,,,,3,,,,,Kerekesszekkel az imahaz utca felol,,,,,,,,,,,,,,,,,,47.6875213,,,yes,,,,,Petz Aladár Megyei Oktató Kórház - Reumatológiai Osztály,,,,yes,,,,,,,,,,,,
,,hospital,,,17.5162165,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,+36-96 461-566,,47.5160219,,Győri út,yes,,,,,"Petz Aladár Megyei Oktató Kórház Pszichiátriai, Mentálhigiénés és Addiktológiai Osztály",,,9100,,,,Tét,,,,,,,,,
,,hospital,,,19.0022964,,,,,,,,,,,6,,,,,,,,,,,,,elsovizsgalat@peto.hu,http://www.peto.hu,,,,,,,,,,,+3612241510,,47.5124359,,Kútvölgyi út,,,,,,Pető Intézet,,,1125,,,,Budapest,,,,,,,,,
,,hospital,,,19.0814946,,,,,,,,,Nyírő Gyula Kórház,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,47.5290063,,,yes,,,,,Pszichiátria,,,,,,,,,hospital,,,,,,,
,,hospital,,,17.0845902,,,,,,,,,Kemenesaljai Egyesített Kórház Celldömölk,,,,no,,,,,,,,,,,,http://www.korhazcelldomolk.hu/szoci.html,,,,,,,,,,fence,+36-95/445-070,,47.2539267,,Intaháza,,,,,,Pszichiátriai rehabilitációs intézet Intaháza,,,9551,,,,Mesteri,,,,,,,,HU,
,,hospital,,,18.2289541,,,,,,,,,,,,,,,,,,,,,,,,,http://www.irgalmasrend.hu/site/pecs/home,,,,,,,,,,,,,46.0749729,,,,,,,,Pécsi Irgalmasrendi Kórház,,,,,,,,,,,,,,,,
,,hospital,,,19.0781538,,,,,,,Q1243237,,,,,,,,,,,hu:Péterfy Sándor Utcai Kórház-Rendelőintézet és Baleseti Központ,,,,,,,,,,Péterfy Kórház,,,,,,,,,,47.5013619,,,,,,,,Péterfy Sándor Utcai Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,19.0751283,,,,,,,,,,,,,,,,,,,,,,,,,https://www.peterfykh.hu/,,,,,,,,,,,,,47.5015142,,,,,,,,Péterfy Sándor Utcai Kórház Alsóerdősori Telephelye,,,,,,,,,hospital,,,,,,,
,,hospital,,,16.9418594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2491525,,,yes,,,,,Rendelőintézet,,,,,,,,,,,,,,,,
,0,hospital,,,17.8745306,,grey,,Balatonfüredi Rendelőintézet,,,,Egészségház társasház,,,1,,,,3,,,,,,,tar_paper,,,https://www.furedrendelo.hu/,,,,,plaster,,,,,,+36 87 580 886;+36 87 580 888,,46.9623676,,Csárda utca,hospital,blue,,,,Rendelőintézet,flat,,8230,yes,,,Balatonfüred,,hospital,,,,,,HU,
,,hospital,,,18.9427068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9637786,,,hospital,,,,,Rendelőintézet (Clinics),,,,,,,,,,,,,,,,
,,hospital,,,19.0801072,,,,,,,,,Semmelweis Egyetem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4837255,,,,,,,,Semmelweis Egyetem Külső Klinikai Tömb,,,,no,,,,,hospital,,,,,,,
,,hospital,,,20.7859082,,,,,,,,,,,9-11,,,,,,,,,,,,,,http://www.misek.hu/altalanos/ugyeletek-elerhetosegei.html,,,,,,,,,,,,,48.0927462,,Csabai kapu,,,,,,Semmelweis Ignác Egészségügyi Központ és Egyetemi Oktató Kórház,,,3529,,,,Miskolc,,hospital,,,,,,,
,,hospital,,,19.4726907,,,,,,,,,,,,,yes,,,,,,,,FÖMI ortofotó 2005; OSSKI; OpenCellID,,,,,,,,,,,,,,,,,46.4327513,,,hospital,,,,,Semmelweis Kórház,,,,yes,,,,,,,,,,,,
,,hospital,,,18.0448227,,,,,,,,Városi Kórház,,,1,,,,,,,,,,,,,info@siokorhaz.hu,https://www.siokorhaz.hu,,,,,,,,,,,+36 84 501 700,,46.9015053,,Semmelweis utca,,,,,,Siófoki Kórház-Rendelőintézet,,,8600,,,,Siófok,,,,,,,,,
,,hospital,,,16.5966363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6772070,,,,,,,,Soproni Erzsébet Oktató Kórház,,,,,,,,,,,,,,,,
,,hospital,,,16.5796215,,,,,,,,Szanatórium;Szívszanatórium,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6685821,,Várisi út,,,,,,Soproni Rehabilitációs Gyógyintézet,,,9400,limited,,,Sopron,,,,,,,,,
,,hospital,,,22.3172563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9560447,,,,,,,,Szabolcs-Szatmár-Bereg Megyei Kórházak Mátészalkai Kórház,,,,,,,,,,,,,,,,
,,hospital,,,20.1241866,,,,,,,,II. kórház,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2537604,,,,,,,,Szeged MJV Önkormányzatának Kórháza,,,,,,,,,hospital,,,,,,,
,,hospital,,,18.3914258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,,47.5799131,,,,,,,,Szent Borbála Kórház,,,,yes,,,,,,,,,,,,
,,hospital,,,18.3962884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6002821,,,,,,,,Szent Borbála Kórház Szanatórium,,,,,,,,,,,,,,,,
,,hospital,,,18.9754859,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5270252,,Széher út,yes,,,,,Szent Ferenc Kórház,,,1021,,,,Budapest,,,,,,,,,
,,hospital,,,20.1511940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2485493,,,,,exact area and name,,,Szent Györgyi Albert Klinikai Központ,,,,,,,,,,,,,,,,
,,hospital,,,19.0362299,,,,Szent Imre Egyetemi Oktatókórház,,,,,,,12-16,,,,,,,,,,,,,,http://www.szentimrekorhaz.hu/,,,,,,,,,,fence,+36 1 464-8600,,47.4706967,,Tétényi út,,,,,,Szent Imre Kórház,,,1115,yes,,,Budapest,,hospital,,,,,,,
,,hospital,,,19.0890220,,,,,,,,,,,1,,,,,,,,,,,,,,http://www.eszszk.hu,,,,,,,,,,,,,47.4787443,,Nagyvárad tér,,,,,,Szent István Kórház,,,1097,yes,,,Budapest,,hospital,,,,,,,
,,hospital,,,18.9444530,,,,,,,,,,,,,,,,,,,,,,,,info@visegradikorhaz.hu,http://www.visegradikorhaz.hu,,,,,,,,,,,+36 26 801 700,,47.7606707,,,,,,,,Szent Kozma és Damján Rehabilitációs Szakkórház,,,2026,,Gizellatelep,,Visegrád,,,,,,,,HU,
,,hospital,,,18.1456461,,,,,,,,,,,,,,,,,,,,,,,,,http://www.szlkorhaz.hu/,,,,,,,,,,,,,46.3829837,,,,,,,,Szent Lukács kórház,,,,,,,,,,,,,,,,
,,hospital,,,19.0918600,,,,,,,,,,,5-7,,,,,,,,,,,,,,http://www.eszszk.hu,,,,,,,,,,,,,47.4761643,,Albert Flórián út,,,,,,Szent László Kórház,,https://www.dpckorhaz.hu/,1097,,,,Budapest,,hospital,,,,,,,
,,hospital,,,19.8086999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1165690,,,,,,,,Szent Lázár Megyei Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,18.9430467,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,46.9649959,,,hospital,,,,,Szent Pantaleon kórház,,,,yes,,,,,,,,,,,,
,,hospital,,,19.0680281,http://www.rokus.hu/,,,,,,,,,,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4944530,,Gyulai Pál utca,,,,,,Szent Rókus Kórház,,,1085,,,,Budapest,,,,,,,,,
,,hospital,,,17.7894725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0531844,,,,,,,,Szigetvári Városi Kórház és Rendelőintézet,,,7900,,,,Szigetvár,,,,,,,,,
,,hospital,,,19.3363562,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6096696,,Dózsa György út,,,,,,Szociális Otthon,,,2100,,,,Gödöllő,,,,,,,,,
,,hospital,,,19.2818311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6601522,,,,,,,,Szociális Otthon,,,,,,,,,,,,,,,,
,,hospital,,,19.9115379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4943555,,,,,,,,Szt. Erzsébet Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,18.9093872,,,,,,,,,,wlan,,,yes,,,,,,,,http://www.battanet.hu/battanet4/bel_egukozp.php,,,,,,,,,,,,,,,,,47.3220474,,,,,,,,Százhalom Egészségügyi Központ,,,,,,,,,,,,,,,,
,,hospital,,,19.5145724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0819551,,,yes,,,,,Szécsény Kistérségi Rendelőintézet,,,,,,,,,,,,,,,,
,,hospital,,,18.2043677,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0750509,,Ifjúság útja,,,,,,Szívgyógyászati Klinika,,,7624,,,,Pécs,,,,,,,,,
,,hospital,,,18.2239332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0731122,,,,,,,,Szülészet,,,,,,,,,,,,,,,,
,,hospital,,,19.8202807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1709745,,,,,,,,Toldy Ferenc kórház,,,,,,,Cegléd,,,,,,,,,
,,hospital,,,21.3192464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7044370,,,,,,,,Tüdőkórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,19.1004749,,,,,,,,,,,29-41,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5215417,,Uzsoki utca,,,,,,Uzsoki Utcai Kórház,,,1145,yes,,,Budapest,,,,,yes,,,,
,,,,,16.5994479,,,,,,,,,,,,,,,,,,,,,,,V.,,,,,,,,,,,,,,,47.6761376,,,yes,,,,,V. épület,,,,,,,,,,,,,,,,
,,,,,16.5991893,,,,,,,,,,,,,,,,,,,,,,,VI,,,,,,,,,,,,,,,47.6768230,,,yes,,,,,VI. épület,,,,,,,,,,,,,,,,
,,hospital,,psychiatry,18.9758879,,,,,,,,,,,1-5,,no,,,,,,,,,,,,http://vadaskert.hu/,,,,,,,,,,,,,47.5302573,,Lipótmezei út,,,,,,Vadaskert Alapítvány,,,1021,,,,Budapest,,hospital,,,,,,,
,,hospital,,,16.2649081,,,,Vas Megyei Rehabilitációs Kórház és Gyógyfürdő,,,,,,,31,,,,3,,,,,,,,,,,,,,,,,,,,,,,46.9552735,,Hunyadi János utca,public,,,,,Vas Megyei Rehabilitációs Kórház,,,9970,,,,Szentgotthárd,,,,,,,,,
,,hospital,,,18.7458029,,,,,,,,,,,26-28,,yes,,,,,,,,,,,,,,,,,,,,,,fence,,,47.7914450,,Petőfi Sándor utca,,,,,,Vaszary Kolos Kórház,,,2500,yes,,,Esztergom,,hospital,,,,,,,
,,hospital,,,17.8971148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9591463,,,yes,,,,,Vasútegészségügyi Rehabilitációs Intézet,,,,,,,,,,,,,,,,
,,hospital,,,21.9012269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5232690,,Piac utca,,,,,,Vámospércs Kistérségi Járóbeteg Rendelőintézet,,,4287,yes,,,Vámospércs,,,,,,,,,
,,hospital,,,17.2532738,,,,,,,,,,,2,,yes,,,,,,,,,,,,http://vk-keszthely.hu/,,,,,,,,,,,+36 83 311 060,,46.7685453,,Ady Endre utca,,,,,,Városi Kórház Keszthely,,,8360,,,,Keszthely,,,,,,,,,
,,hospital,,,19.8379836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7110471,,,,,,,,Városi Kórház és Rendelőintézet,,,,,,,,,hospital,,,,,,,
,,hospital,,,20.5650725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8064794,,,yes,,,,,Városi Szakorvosi Rendelőintézet,,,,,,,,,,,,,,,,
,,hospital,,,22.3078358,,,,,,,,,Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház,,5,,no,,,,,,,,,,,,http://szszbmk.hu/fehergyarmat,,,,,,,,,,,+36 45 570 770,,48.1291307,,Ady Endre utca,,,,,,Vásárosnaményi Kórház,,,4800,,,,Vásárosnamény,,,,,,,,,
,,hospital,,,16.8468204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8349099,,,,,,,,Zala Megyei Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,16.8569427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8744944,,,,,,,,"Zala Megyei Kórház, Pózvai telephely",,,,,,,,,,,,,,,,
,,hospital,,,17.8658086,,,,,,,,,,,17,,,,,,,,,,,,,,http://www.zirckorhaz.hu,,,,,,,,,,,,,47.2610532,,József Attila utca,yes,,,,,Zirci Erzsébet Kórház - Rendelőintézet,,,8420,,,,Zirc,,,,,,,,,
,,hospital,,,18.2051690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0762767,,,,,,,,ll. Belgyógyászati Klinika és Nephrológiai Centrum,,,,,,,,,,,,,,,,
,,hospital,,,18.9454143,,,,,,,,,,,42/A,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1848051,,Kölcsey Ferenc utca,,,,,,orvosi rendelő,,,6500,,,,Baja,,,,,,,,,
,,hospital,,,17.8000721,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0525209,,Alpári Gáspár utca,,,,,,Állatkórház,,,7900,,,,Szigetvár,,,,,,,,,
,,hospital,,,17.8335438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7328466,,,,,,,,Állatorvosi rendelő,,,,,,,,,hospital,,,,,,,
,,hospital,,,18.3155050,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6460463,,Hősök tere,yes,,,,,Árpád-házi Szent Erzsébet Szakkórház,,,2890,,,,Tata,,hospital,,,,,,,
,,place_of_worship,,,16.5968499,,,,,,,,Kórházkápolna,,,,,,christian,,,,,,,,,K,,,,,,,,,,,roman_catholic,,,,47.6772896,,,chapel,,,,,Árpád-házi Szent Erzsébet kórházkápolna,,,,,,,,,,,http://miserend.hu/?templom=654,,,,,
,,hospital,,,19.0134749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5065058,,,,,,,,Érsebészeti Klinika,,,,yes,,,,,,,,,,,,
,,hospital,,,20.1471098,,,,,,,,,Szegedi Tudományegyetem Általános Orvostudományi Kar Szent-Györgyi Albert Klinikai Központ,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,46.2451419,,Semmelweis utca,hospital,,,,,Újklinika,,,6725,yes,,,Szeged,,hospital,,,,,,,
,,hospital,,,19.1001263,,,,,,,,,,,30,,no,,,,,,,,My observation,,,,http://www.ujpestiszakrendelo.hu/,,,,,,,,,,,+3613694777,,47.5658495,,Görgey Artúr út,public,,,,,Újpesti Szakorvosi Rendelőintézet,,,1046,yes,,,Budapest,,,,,,,,,
,,hospital,,,20.1619180,,,,"Gyermekgyógyászati Klinika és Gyermekegészségügyi Központ ""B"" részlege",,,,,,,35-37,,,,,,,,,,,,,,,,,,,,,,,,fence,,,46.2448219,,Temesvári körút,,,,,,Újszegedi Gyermekkórház,,,6726,,,,Szeged,,hospital,,,,,,,
,,hospital,,,19.0762696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7534805,,,,,,,,épülő Egészségközpont,,,,,,,,,hospital,,,,,,,
