health_facility:type,healthcare_1,name:cy,healthcare:speciality,building:part,indoor,payment:debit_cards,clinic,health_specialty:traditional_chinese_medicine,postcode,smoking,is_in,addr:housenumber,source:addr:housenumber,addr:state,pharmacy,source,health_specialty:physiotherapy,addr:village,fhrs:local_authority_id,fax,emergency,source:name,leisure,source:area,wikimedia_commons,addr:street,payment:bitcoin,fixme,name:en,contact:fax,name,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,HE_ref,postal_code,health_specialty:general_practice,health_specialty:podiatry,amenity_1,operator,full_name,loc_name,source:addr,power,access,fhrs:authority,generator:output:electricity,ref,email,building:height,barrier,contact:email,addr:province,fhrs:id,roof:shape,building:use,source:geometry,addr:city,source:building,toilets:wheelchair,health_specialty:orthopaedics,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,lat,alt_name,nhs,generator:source,fee,addr:floor_1,addr:floor_2,area,opening_hours,contact:phone,addr:housename,heritage,website,addr:unit,listed_status,telephone,phone,old_name,source:outline,generator:type,room,dispensing,landuse,roof:levels,amenity,source:shape,operator:type,out-of-hours,addr:suburb,building:min_level,generator:method,wikidata,source:postcode,health_specialty:cardiology,verified,building:levels,image,note,FIXME,description,building:material,health_specialty:acupuncture,last_check,min_height,levels,toilets,addr:county,source:addr:postcode,building,building:colour,medical_system:chinese,website_3,website_2,website_1,name:gd,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,,,,,,,,,,,,,,,,,,,,,,Mill Street,,,,,Derby Bowen Therapy,,DE1 1DY,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,-1.4883995,,,,,52.9254741,,,,,,,,,,The Coach House,,http://www.derbybowen.com/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derma Laser Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1930708,,,,,51.4184499,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devizes NHS Treatment Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9805915,,,,,51.3410045,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewsnap Lane Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0777125,,,,,53.4698015,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,,,,,,,,,,,,,,Spindrift Avenue,,,,,Docklands Medical Centre,,E14 9WU,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.0210108,,,,,51.4912822,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donemanagh Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3137424,,,,,54.8741977,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorset Physiotherpy Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4402800,,,,,50.7151340,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,physiotherapist,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dovecot Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1633438,,,,,56.1942568,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,chiropractor,,,,,24,,,,,,,,,,,,,,Downend Road,,,,,Downend Chiropractic Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5218850,,,,,51.4824014,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,3,,,,,,,,,,,,,,Dowry Place,,,,,Dowry Chiropractic Clinic,,BS8 4QL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6212013,,,,,51.4495185,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,49;51,,,,,,,,,,,,,,High Street,,,,,Dr Beijing Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7550769,,,,,51.4339180,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dromara Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0150177,,,,,54.3806525,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,63,,,,Bing,,,,,,,,,,The Grove,,,,,Ealing Chiropractic Clinic,,W5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3018800,,,,,51.5109643,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Calder Medical Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4617663,,,,,55.8957558,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Grinstead Health Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0130876,,,,,51.1319391,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,78,,,,,,,,,,,,,,Osmondthorpe Lane,,,,,East Leeds Health Centre,,LS9 9EF,,,,,,,,,,,,,,,,,,,,,,,,,,,Leeds,,,,,-1.4991150,,,,,53.7988063,,,,,,,,,,,,,,,,+44 113 295 1470,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Trees Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5621058,,,,,51.4706793,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,3,,,approximate,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastney Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0600487,,,,,50.7868560,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Bing,,Nottingham Road,,,,,Eastwood Health Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nottingham,,,,,-1.2993178,,,,,53.0159033,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,Eastwood,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,survey,,,,,,,,,,Lea Bridge Road,,,,,Ecclesbourne Surgery,,E17 9DP,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.0010397,,,,,51.5807864,,,,,,,,,,Ecclesbourne,,,,,,,,,,,,,,clinic,,,,Walthamstow,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elgar Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1828777,,,,,52.1929462,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,252,,,,,,,,,,,,,,Abbs Cross Lane,,,,,Elm Park Clinic,,RM12 4YG,,,,,,,,,,,,,,,,,,,,,,,,,,,Elm Park,,,,,0.2070907,,,,,51.5548067,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,GPS,,,,,no,survey,,,,,,,,,Eltisley Manor,,PE19 6SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1999549,,,,,52.2238928,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,private clinic; formerly Drey House until about 1998,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emberbrook Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3352993,,,,,51.3866403,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epsom Clinic,,,,,,,,,,,CSH Health,,,,,,,,,,,,,,,,,,,,,,,-0.2625845,,,,,51.3323457,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,Evesham Natural Health Care,,WR11 4EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9465104,,,,,52.0956692,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,Land Registry,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairfield Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9472493,,,,,53.4185358,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairfield Park Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3525867,,,,,51.3952493,,,,,,,,,,,,www.fairfieldparkhc.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,Fareham Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1758505,,,,,50.8538210,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feeny Medical Practise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0249257,,,,,54.8927398,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,doctor,,
,,,,,,,chiropodist;podiatrist,,,,,85,,,,,,,,,,,,,,Melton Road,,,,,Feet and Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1295297,,,,,52.9273454,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,podiatrist,,
,,,,,,,,,,,,575-583,,,,,,,,,,,,,,Durham Road,,,,,Fell Tower Medical Centre,,NE9 5EY,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateshead,,,,,-1.5989692,,,,,54.9339817,,,,,,,,,,Fell Tower,,https://www.felltowermedicalcentre.nhs.uk/,,,,+44 191 491 3322,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fender Way Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0823903,,,,,53.3891709,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ffordd Las Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4880945,,,,,53.3149184,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filton Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5727988,,,,,51.5041382,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,257,,,,,,,,,,,,,,Colinton Road,,,,,Firrhill Centre,,EH14 1DW,,,,,,,,,Edinburgh Council,,,,,,,,,,,,,,,,,,Edinburgh,,,,,-3.2382524,,,,,55.9147143,,,,,,,,,,,,http://www.firrhillcentre.com,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,,,,,,,,,,,,,,Kedleston Road,,,,,Five Lamps Chiropody Clinic,,DE22 1GU,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,-1.4842638,,,,,52.9301501,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,175,,,,,,,,,,,,,,Southmead Road,,,,,Flamingo,,BS10 5DT,,,,,,,,,,,,,,,,,,sadie@theflamingocentre.co.uk,,,,,,,,,,,,,,-2.6021745,,,,,51.4944165,,,,,,,,,,,,www.theflamingocentre.co.uk,,,,,,,,,,,,clinic,,,,Southmead,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Place,,,,,Footworks,,BS8 4QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6189213,,,,,51.4499078,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Old Road,,,,,Ford Physiotherapy Clinic,,CO15 3AY,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,1.1487192,,,,,51.7952969,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,shop,,,,,,,,,,,physiotherapist,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forest Road Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0262428,,,,,51.5896090,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,308A,,,,,,,,,,,,,,Hertford Road,,,,,Forest Road Primary Care Centre,,N9 7HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0533920,,,,,51.6335449,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,general,,,,,,,,,,,,,,,,,,,,,,,Abergorki Industrial Estate,,,,,Forest View Medical Centre,,CF42 6DL,,,,,,,,,,,,,,,,,,,,,,,,,,,Treorchy,,,,,-3.5197659,,,,,51.6646832,,,,,,,,Mo-Fr 08:30-18:30,,Forest View Medical Centre,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips Lane,,,,,Formby NHS Clinic,,L37 4AY,,,,,,,,,,,,,,,,,,,,,,,,,,,Formby,,,,,-3.0584323,,,,,53.5541082,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Grantown Road,,,,,Forres Health & Care Centre GP Practices,,IV36 1JG,,,,,,,,,,,,,,,,,,,,,,,,,,,Forres,,,,,-3.6213555,,,,,57.6031978,,,,,,,,Mo-Fr 08:00-18:00,,Forres Health & Care Centre,,https://www.forreshealthcentre.co.uk/,,,,+44 345 337 1120,,,,,,,,clinic,,,,,,,,,,,,,,,"Services: Baby Clinic, Baby Massage, Cervical Cytology, Child Health Surveillance, Chronic ,Disease Management Clinics, Contraceptive Services, District Nurse, Immunisation, In-house INR Testing, Maternity Medical Services, Minor Surgery, Travel Advice",,,,,,,,,yes,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Wellsprings Road,,,,,Foundation House,,TA2 7PQ,,,,,,,,,,,,,,,,,,,,,,,,,,,Taunton,,,,,-3.1024368,,,,,51.0315728,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,,,,,,,,,,68,,,,,,,,,,,,,,Gold Street,,,,,Foundations Complimentary Therapy Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wellingborough,,,,,-0.6961790,,,,,52.3070595,,,,,,,,,,,,,,,,+44 1933 442793,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,general,,,,,,,,,,,,,,,,,,,,,,,Common Hill Lane,,,,,Fownhope Medical Centre,,HR1 4PZ,,,,,,,,,,,,,,,,,,,,,,,,,,,Fownhope,,,,,-2.6099363,,,,,52.0071633,,,,,,,,Mo-Fr 08:00-18:00,,,,fownhopesurgery.nhs.uk,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,2,,,,yes,,,,,,,,,,,clinic,,
,,,,yes,,,,,,,,8,,,,,,,,,,,,,,Francis Grove,,,,,Francis Grove Surgery,,SW19 4DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2091160,,,,,51.4198744,,,,,,,,Mo-Fr 08:00-18:30,,,,http://www.francisgrovesurgery.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,Freshfields CAMHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7430716,,,,,52.3793553,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Westgate,,,,,Friockheim Health Centre,,DD11 4TX,,,,,,,,,,,,,,,,,,,,,,,,,,,Friockheim,,,,,-2.6640733,,,,,56.6375295,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,103A,,,,,,,,,,,,,,Main Street,,,,,Frodsham Chiropody Surgery,,WA6 7AB,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frodsham, Cheshire",,,,,-2.7271783,,,,,53.2955995,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frome Valley Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4962790,,,,,51.5343722,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,9,,,,,,,,,,,,,,Winchcombe Street,,,,,Future Skin,,GL52 2LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0726471,,,,,51.9003310,,,,,,,,"Mo-We,Fr 09:30-18:00; Th 10:00-20:00; Sa 09:30-17:00",,,,http://www.futureskin.co.uk/,,,,+441242 511191,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garnet Fold Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4577293,,,,,53.5595173,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garthdee Medical Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1340538,,,,,57.1196291,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garvagh Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6883170,,,,,54.9820445,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,197,,,,bing,,,,,,,,,,Tettenhall Road,,,,,Geoff Hale City Osteopaths,,WV6 0BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolverhampton,,,,,-2.1532033,,,,,52.5921008,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilbert House Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3033454,,,,,51.3137928,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilbert Road Medical Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1748467,,,,,57.1777376,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gillies Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1134840,,,,,51.2452182,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,office,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goldington Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4274028,,,,,52.1532538,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4350870,,,,,53.6045514,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Red Cross Road,,,,,Goring & Woodcote Medical Practice,,RG8 9HG,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,-1.1350322,,,,,51.5222973,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Eccles Road,,,,,Goyt Valley Medical & Dental Practice,,SK23 9EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapel-en-le-Frith,,,,,-1.9190702,,,,,53.3233235,,,,,,,,,,,,,,,,+44 1663 735112,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,Grace Swan Health Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0847189,,,,,53.1753622,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,24,,,,,,,,,,,,,,Gracemount Drive,,,,,Gracemount Medical Centre,,EH16 6RN,,,,,,,,,,,,,,,,,,,,,,,,,,,Edinburgh,,,,,-3.1554566,,,,,55.9038703,,,,,,,,,,,,http://www.gracemountmp.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Union Village Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3765202,,,,,51.5316539,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grange Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9149846,,,,,54.1875674,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,clinic,,
,,,,,,,,,,,,71,,,,,,,,,,,,,,Castlegate,,,,,Grantham Foot Clinic,,NG31 6SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,Grantham,,,,,-0.6401977,,,,,52.9116837,,,,,,,,"Tu,Th,Fr 09:00-16:00; Sa 09:00-13:00",,The Grantham Foot Clinic,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gray Hill Surgery,,,,,,,,,,,Caldicot Medical Group,,,,,,,,,,,,,,,,,,,,,,,-2.7536130,,,,,51.5889533,,,,,,,,"Mo-Th 08:00-18:00, Th 7:00-18:00",,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Brooke Road,,,,,Grays Health Centre,,RM17 5BY,,,,,,,,,,,,,,,,,,,,,,,,,,,Grays,,,,,0.3233902,,,,,51.4795088,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Great Oaks,,,,,Great Oaks Clinic,,SS14 1EH,,,,,,,,,,,,,,,,,,,,,,,,,,,Basildon,,,,,0.4585425,,,,,51.5719612,,,,,,,,Mo-Fr 09:00-17:00; Sa-Su off,,,,,,,,+44 300 3001515,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Westfield Road,,,,,Green Banks Centre for Disabled Children,,CT9 5PA,,,,,,,,,NHS,,,,,,,,,,,,,,,,,,Margate,,,,,1.3647288,,,,,51.3790093,,,,,,,,,,,,http://margate-eng.healthukdirectory.com/green-banks-centre-disabled-children/,,,,+44 300 042 0003,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,GB,
