health_facility:type,roof:levels,amenity,loc_name,healthcare:speciality,addr:housename,contact:website,building:use,reg_name,indoor:wall:material,official_name,lon,abbreviation,indoor:level,wikidata,alt_name,smoking,operator,name:de,opening_hours:phone,is_in,addr:housenumber,alt_name_1,emergency,addr:district,area,building:levels,opening_hours,image,contact:phone,wikipedia,layer,alt_name1,note,source,email,covered,start_date,website,alt_name_2,fax,at_bev:addr_date,description,short_name,contact:email,healthcare,addr:suburb,phone,orig_name,alt_name2,health_specialty:orthopaedics,old_name,lat,operator:type,smoking:outside,tourism,addr:street,building,building:colour,name:en,contact:fax,name,designation,level,url,addr:postcode,wheelchair,addr:place,addr:city,local_name,military,toilets:wheelchair,landuse,addr:country,indoor:area
,,hospital,,,Landeskrankenhaus Gmunden,,,,,,13.7815234,,,,,,,,,,49,,,,,,,,,,,,,geoimage.at,,,,http://www.lkh-gmunden.at/,,,,,,,,,,,,,,47.9162109,,,,Miller von Aichholzstraße,yes,,,,Landeskrankenhaus Gmunden,,,,4810,,,Gmunden,,,,,AT,
,,hospital,,,,,,,,,15.4000797,,,Q1168883,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,22,,yes,,,,,,,de:LKH Graz-West,-1,,,,,,,http://www.lkh-grazwest.at,,,,,,,,,+43 316 5466 0,,,,,47.0791218,,,,Göstinger Straße,,,,,"Landeskrankenhaus Graz Süd-West, Standort West",,,,8020,yes,,Graz,,,yes,,AT,
,,hospital,,,,,,,,,16.3224589,,,,,,,,,,4,,,,,,,,,,,,,geoimage.at,,,,,,,2018-10-01,,,,,,,,,,,47.0506071,,,,Bergstraße,yes,,,,Landeskrankenhaus Güssing,,,,7540,yes,,Güssing,,,,,AT,
,,hospital,,,,,,,,,11.5143300,,,Q1277028,,,Tirol Kliniken,,,,,,,,,,,,,de:Landeskrankenhaus Hall,,,,,,,,https://www.tirol-kliniken.at/page.cfm?vpath=standorte/landeskrankenhaus-hall,,,,,,,hospital,,,,,,,47.2830160,,,,,,,,,Landeskrankenhaus Hall,,,,,,,,,,,,,
,,hospital,,,,,,,,,15.9675269,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-hartberg.at,,,,,,,,,+43 3332 605 0,,,,,47.2729853,,,,,,,,,Landeskrankenhaus Hartberg,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,15.0840504,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,42,,yes,,,,,,,,,,,,,,,http://www.lkh-hochsteiermark.at/,,,,,LKH Hochsteiermark,,,Waasen,+43 3842 401 0,,,,Landeskrankenhaus Leoben,47.3789335,,,,Vordernberger Straße,,,,,Landeskrankenhaus Hochsteiermark,,,,8700,,,Leoben,,,,,AT,
,,hospital,,internal;neurology,,,,,,,11.2442436,,,Q64555518,,,Tirol Kliniken GmbH,,,,,,,,,,,,,de:Landeskrankenhaus Hochzirl,,,,bing,,,,https://www.tirol-kliniken.at/page.cfm?vpath=standorte/oe-landeskrankenhaus-hochzirl---natters/standort-hochzirl,,,,,,,hospital,,,,,,,47.2841219,,,,,yes,,,,Landeskrankenhaus Hochzirl,,,,,,,,,,,,,
,,hospital,,,,,,,,,15.3104640,,,Q37773920,LKH Hörgas,,,,,,68,,,,,,,,+43 3124 501-0,,,,,GeoImage.at High-Res,,,,http://www.lkh-hoergas.at/,,,,,,internet@lkh-hoergas.at,hospital,,,,,,,47.1376766,,,,,,,,,Landeskrankenhaus Hörgas,,,,8112,,Hörgas,Eisbach,,,,,AT,
,,hospital,,,,,,,,,14.6546426,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,18,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-judenburg.at,,,,,,,,,+43 3572 82560 0,,,,,47.1666638,,,,Oberweggasse,,,,,Landeskrankenhaus Judenburg,,,,8750,yes,,Judenburg,,,,,AT,
,,hospital,,,,,,,,,14.8197252,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,10,,yes,Murtal,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-knittelfeld.at,,,,,,,,,+43 3512 707 0,,,,,47.2145678,,,,Gaaler Straße,,,,,Landeskrankenhaus Knittelfeld,,,,8720,,,Knittelfeld,,,,,AT,
,,hospital,,,,,,,,,15.3040450,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,4-6,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-mariazell.at,,,,,,,,,+43 3882 2222 2800,,,,,47.7894427,,,,Spitalgasse,,,,,Landeskrankenhaus Mariazell,,,,8630,,,Sankt Sebastian,,,,,AT,
,,hospital,,,,,,,,,15.6682839,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,63-65,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-muerzzuschlag.at,,,,,,,,,+43 3852 2080 0,,,,,47.6013501,,,,Grazer Straße,,,,,Landeskrankenhaus Mürzzuschlag,,,,8680,yes,,Mürzzuschlag,,,,,AT,
,,hospital,,,,,,,,,11.3653353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2404590,,,,,,,,,Landeskrankenhaus Natters,,,,,,,,,,,,,
,,hospital,,,,http://www.lkhr.at,,Valduna,,,9.6482046,,,Q1802326,LKH Rankweil,,Vorarlberger Krankenhaus-Betriebsgesellschaft.m.b.H.,,,,16,,,,,,Mo-Fr 07:30-16:00,,+43 5522 403 0,de:Landeskrankenhaus Rankweil,,,Umriss laut Flächenwidmungsplan,,,,,,,,,,,office@lkhr.at,,,,,,,,47.2624375,,,,Valdunastraße,,,,+43 5522 403 6500,Landeskrankenhaus Rankweil,,,,6830,,,Rankweil,,,,,AT,
,,hospital,,,,,,,,,14.3661364,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,2-4,,yes,,,,,,,,,,,,,,,http://www.lkh-rottenmann.at,,,,,,,,,+43 3614 2431 0,,,,,47.5258637,,,,Sankt Georgen,,,,,Landeskrankenhaus Rottenmann,,,,8786,yes,,Rottenmann,,,yes,,AT,
,,hospital,,,,,,,,,13.0270114,,,,Uniklinikum Salzburg - Landeskrankenhaus,,Salzburger Landeskliniken,,,,48,LKH Salzburg,yes,,,,,,,,,,,,,,,,Salzburg LKH,,,,,,hospital,,,,,,,47.8077310,,,,Müllner Hauptstraße,,,,,Landeskrankenhaus Salzburg,,,,5020,yes,,Salzburg,,,,,,
,,hospital,,,,,,,,,13.4360045,,,,,,,,,,,,,,,,,,,,1,,,geoimage.at,,,,,,,,,,,hospital,,,,,,,48.4554320,,,,,yes,,,,Landeskrankenhaus Schärding,,,,4780,yes,,,,,,,AT,
,,hospital,,,,,,,,,14.1875092,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,38,,yes,,,,,,,,,,,geoimage.at,,,,http://www.lkh-stolzalpe.at,,,,,,,,,+43 3532 2424 0,,,,,47.1187367,,,,Stolzalpe,yes,,,,Landeskrankenhaus Stolzalpe,,,,8852,yes,,Stolzalpe,,,,,AT,
,,hospital,,,,,,,,,14.1928348,,,,,,,,,,38,,,,,,,,,,,,,geoimage.at,,,,http://www.lkh-stolzalpe.at,,,2019-10-01,,,,,,,,,,,47.1208784,,,,,yes,,,,Landeskrankenhaus Stolzalpe Haus II,,,,8852,,Stolzalpe,Murau,,,,,AT,
,,hospital,,,,,,,,,15.1419169,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,31,,yes,,,,,,,,,,,GeoImage.at,,,,http://www.lkh-voitsberg.at,,,,,,,,,+43 3142 201 0,,,,,47.0523972,,,,Conrad-von-Hötzendorf-Straße,,,,,Landeskrankenhaus Voitsberg,,,,8570,,,Voitsberg,,,,,AT,
,,hospital,,,,,,,,,15.1413276,,,,,,,,,,31,,yes,,,,,,,,,,,GeoImage.at,,,,,,,,,,,,,,,,,,47.0525395,,,,Conrad-von-Hötzendorf-Straße,yes,,,,Landeskrankenhaus Voitsberg,,,,8570,yes,,Voitsberg,,,yes,,AT,
,,hospital,,,Krankenhaus Vöcklabruck,,,,,,13.6394796,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,+43 5055471 0,,,,,48.0025208,,,,Dr. Wilhelm Bock-Straße,yes,,,,Landeskrankenhaus Vöcklabruck,,,,4840,yes,,Vöcklabruck,,,,,AT,
,,hospital,,,,,,,,,15.5572139,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,18,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-wagna.at,,,,,,,,,+43 3452 701 0,,,,,46.7692575,,,,Pelzmannstraße,,,,,Landeskrankenhaus Wagna,,,,8435,,,Wagna,,,,,AT,
,,hospital,,,,,,,,,15.6358519,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,85,,,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-weiz.at,,,,,,,,,+43 3172 2214 0,,,,,47.2130059,,,,Franz-Pichler-Straße,,,,,Landeskrankenhaus Weiz,,,,8160,,,Weiz,,,,,AT,
,,hospital,,,,,,,,,14.8465399,,,,,,Kärntner Landeskrankenanstalten-Betriebsgesellschaft - KABEG,,,,9,,yes,,,,,,,,,,,,,,,http://www.lkh-wo.at/,,,,Lymphklinik Wolfsberg +43 4352 533 76903,LKH Wolfsberg,,,,+43 4352 533 0,,,,,46.8345385,,seperated,,Paul-Hackhofer-Straße,,,,,Landeskrankenhaus Wolfsberg,,,http://www.lymphklinik-wolfsberg.at/,9400,,,Wolfsberg,LKH,,,,AT,
,,hospital,,,,,,,,,15.4689492,,,Q1798169,,,KAGes;Medizinische Universität Graz,,,,,,yes,,,,,,,de:LKH-Universitätsklinikum Graz,,,,,,,1912-05-12,,,,,,LKH Graz,,,,,,,,,47.0892236,,seperated,,,,,,,Landeskrankenhaus-Universitätsklinikum Graz,,,http://www.lkh-graz.at/,,,,,LKH,,,,,
,,clinic,Puntigam Links,,,,,,,,15.4180201,,,Q1341799,,,KAGes,,,,1,,neurology;psychiatry,,,,,,,de:Landesnervenklinik Sigmund Freud,,,,geoimage.at,,,,,,,,,LSF,,,,,,,,,47.0355489,,,,Wagner-Jauregg-Platz,,,,,Landesnervenklinik Sigmund Freud,,,,8053,,,Graz,,,,,AT,
,,hospital,,,,,,,,,15.8812822,,,,,,Vorauer Marienschwestern von der Unbefleckten Empfängnis,,,,,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.marienkrankenhaus.at,,,,,,,,,+43 3337 2254 0,,,,,47.4063857,,,,,,,,,Marienkrankenhaus Vorau,,,,,,,,,,,,,
,,hospital,,,,http://www.oss.at/,,,,,16.2811977,,,Q1620018,,no,Orthopädisches Spital Speising GmbH,,,,109,,,,,,,,+43 1 80182 - 0,,,,,,,,,,,,,,,office@oss.at,hospital,,,,,,,48.1647932,,separated,,Speisinger Straße,,,,+43 1 80182 - 1487,Orthopädisches Spital Speising,,,,1130,,,Wien,,,,,AT,
,,hospital,,,,,,,,,16.2855983,,,Q992631,Sozialmedizinisches Zentrum Baumgartner Höhe,,,,,,1,,,,,,,,,de:Otto-Wagner-Spital,,,,,,,,http://www.wienkav.at/kav/ows/,,,,,,,,,,,,,,48.2098321,,,,Baumgartner Höhe,,,,,Otto-Wagner-Spital,,,,1140,,,Wien,,,,,AT,
,,hospital,,gastroenterology,,,,,,,16.2751114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.1691765,,,,,yes,,,,"Pavillion 5, 1. Medizinische Abteilung mit Gastroenterologie",,,,,,,,,,,,,
,0,hospital,,,,,,,,,14.2964364,,,,,,Humanomed,,,,,,no,,,5,,,,,,,,,,,,https://www.humanomed.at/privatklinik-maria-hilf/,,,,,,,,,,,,,,46.6277940,,,,,hospital,,,,Privatklinik Maria Hilf,,,,,,,,,,,,,
,,hospital,,,,,,,,,14.1239892,,,,LKH Kirchdorf,,Oberösterreichische Gesundheitsholding,,,,8,,yes,,,,,,,,,,,geoimage.at,contact.ki@ooeg.at,,,https://www.ooeg.at/pek/ki,,,,,,,hospital,,05 055467-0,,,,,47.9082252,,,,Hausmanningerstraße,yes,,,,Pyhrn-Eisenwurzen Klinikum Kirchdorf,,,,4560,yes,,Kirchdorf an der Krems,,,yes,,AT,
,,hospital,,,,,,,,,14.3908059,,,Q57338062,LKH Steyr,,Oberösterreichische Gesundheitsholding,,,,170,,,,,,,,,,,,,,contact.sr@ooeg.at,,,https://www.ooeg.at/pek/sr,,,,,,,hospital,,+435055466,,,,,48.0442739,,,,Sierninger Straße,,,,,Pyhrn-Eisenwurzen Klinikum Steyr,,,,4400,,,Steyr,,,,,,
,,hospital,,,,,,,,,14.3440130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,46.6242849,,,,,,,,,"Rotes Kreuz Kärnten Logistikzentrum, Leitstelle, Blutspendedienst",,,,,,,,,,,,,
,,hospital,,,,http://www.rudolfinerhaus.at,,,,,16.3464230,,,Q1427278,,,,,,,78,,,,,,,,,de:Rudolfinerhaus,,,,,,,,,,,,,,,,,,,,,,48.2441258,,,,Billrothstraße,,,,,Rudolfinerhaus,,,,1190,,,Wien,,,,,AT,
,,hospital,,,,,,,,,15.4833128,,,,,,Pensionsversicherungsanstalt,,,,1,,no,,,,,,,,2,,,,,yes,,,,,,,,,,,,,,,,47.1819609,,,,Quellenstraße,yes,,,,Sonderkrankenanstalt Rehabilitationszentrum St. Radegund,,,,8061,,,St. Radegund bei Graz,,,,,AT,
,,hospital,,,,,,,,,15.4833128,,,,,,Pensionsversicherungsanstalt,,,,1,,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,47.1819609,,,,Quellenstraße,hospital,,,,Sonderkrankenanstalt Rehabilitationszentrum St. Radegund,,,,8061,,,St. Radegund bei Graz,,,,,AT,
,,hospital,,,,,,,,,14.6830743,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8570038,,,,,yes,,,,Sonderkrankenanstalt Rehabilitationszentrum Weyer,,,,3335,,Mühlein,Weyer,,,,,AT,
,,hospital,,,,,,,,,16.3479306,,,Q2305900,SMZ Süd,,,,,,3,,no,,,,,,,de:Sozialmedizinisches Zentrum Süd – Kaiser-Franz-Josef-Spital,,,,,kfj.post@wienkav.at,,,http://www.wienkav.at/kav/kfj/,,+43 1 601911929,,,Kaiser-Franz-Josef-Spital,,,,+43 1 601910,,,,Franz-Josephs-Spital,48.1740906,,,,Kundratstraße,,,,,Sozialmedizinisches Zentrum Süd - Kaiser-Franz-Josef-Spital,,,,1100,yes,,Wien,,,yes,,AT,
,,hospital,,,,,,,,,16.2622736,,,Q1532717,St. Josef Spital,,,,,,189,,no,,,,,,,,,,,,,,,https://www.sjk-wien.at/,,,,,,,,,,,,,,48.1945326,,,,Auhofstraße,yes,,,,St. Josef Krankenhaus,,,,1130,,,Wien,,,,,AT,
,,hospital,,,,,,,,,13.6377833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0033591,,,,,yes,,,,Strahlenzentrum,,,,,,,,,,,,,
,,hospital,,,,,,,,A. ö. Tauernklinikum Zell am See,12.8131917,,,,,,Tauernkliniken GmbH,,,,8,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3386693,,,,Paracelsusstraße,,,,,Tauernklinikum,,,,5700,,,Zell am See,,,,,AT,
,,hospital,,,,,,,,,14.2956230,,,Q2493167,Unfallkrankenhaus Klagenfurt,,,,,,35,,yes,,,,,,,de:Unfallkrankenhaus Klagenfurt,,,,,,,,,,,,,,,,,,,,,,46.6185696,,,,Waidmannsdorfer Straße,hospital,,,,Unfallkrankenhaus,,1,http://www.auva.at/ukhklagenfurt/,9020,yes,,Klagenfurt am Wörthersee,,,,,AT,
,,hospital,,,,,,,,,15.4000797,,,Q2493157,,,Allgemeine Unfallversicherungsanstalt,,,,24,,yes,,,,,,,de:Unfallkrankenhaus Graz,-1,,,,,,,https://www.auva.at/ukhgraz,,,,,,,,,,,,,,47.0791218,,,,Göstinger Straße,,,,,Unfallkrankenhaus Graz,,,,8020,,,Graz,,,,,AT,
,,hospital,,,,http://www.auva.at/ukhlinz,,,,,14.3109615,,,Q2493172,,,,,,,,,yes,,,,24/7,,+43 732 69200,de:Unfallkrankenhaus Linz,,,,,,,,,,,,,,ULV@auva.at,,,,,,,,48.3041603,,,,,,,Emergency hospital Linz,+43 732 69201509,Unfallkrankenhaus Linz,,,,,yes,,,,,,healthcare,,
,,hospital,,,,,,,,,16.3430429,,,Q2493175,,,,,,,37-39,,,,,,,,,de:Unfallkrankenhaus Meidling,,,,,,,,https://www.auva.at/ukhmeidling,,,,,,,hospital,,,,,,,48.1726189,,,,Kundratstraße,yes,,,,Unfallkrankenhaus Meidling,,,,1120,yes,,Wien,,,,,AT,
,,hospital,,,,,,,,,13.0551639,,,Q2493177,UKH Salzburg,,AUVA,,,,,Salzburg UKH,yes,,,,,,,de:Unfallkrankenhaus Salzburg,,,,,,,,,,,,,,,,,,,,,,47.7992557,,,,,,,,,Unfallkrankenhaus Salzburg,,,,,yes,,,,,,,,
,,hospital,,general,,,,,,,11.3870319,,,Q1802327,,,Tirol Kliniken GmbH,,,,,,yes,,,,,,,de:Landeskrankenhaus Innsbruck,,,,,,,,https://www.tirol-kliniken.at/,,,,,,,hospital,,,,,,,47.2634384,,,,,,,,,Universitätsklinik Innsbruck,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,15.6146697,,,Q1802293,,,NÖ Landeskliniken-Holding,,,,10,,yes,,,,,,,de:Universitätsklinikum Krems,,,,,,,,https://www.krems.lknoe.at/,,,,,,,,,,,,,,48.4128122,,,,Mitterweg,,,,,Universitätsklinikum Krems,,,,3500,,,Krems an der Donau,,,,,AT,
,,hospital,,general;gynaecology;paediatrics;dermatology;orthopaedics;internal;trauma;radiology;urology;surgery;cardiology;neurology,,,,,,,15.6301005,,,Q1802295,,,Kliniken Holding,,,,1,,yes,,,,,,,,,,,,,,,https://www.stpoelten.lknoe.at/,,,,,,,hospital,,+43 2742 9004,,,,Landesklinikum St. Pölten,48.2147990,public,,,Dunant-Platz,,,,,Universitätsklinikum St. Pölten,,,,3100,yes,,Sankt Pölten,,,,,,
,,hospital,,,,,,,,,16.0647103,,,,,,,,,,10,,,,,,,,,,,,,,office@tulln.lknoe.at,,,https://www.tulln.lknoe.at/,,,,,,,,,+43 2272/9004-0,,,,,48.3207020,,,,Alter Ziegelweg,,,,,Universitätsklinikum Tulln,,,,3430,,,Tulln,,,,,AT,
,,hospital,,,,,,,,,16.2981955,,,Q1479663,,,,,,,37,,yes,,,,,,,,,,,,,,,http://www.wienkav.at/kav/wil/,,,,,,,,,,,,,,48.2081646,,,,Montleartstraße,,,,,Wilhelminenspital,,,,1160,,,Wien,,,,commercial,AT,
,,hospital,,,,,,,,,13.8101432,,,,,,,,,,33,,,,,,,,,,,,,geoimage.at,institut@zeileis.at,,,https://www.zeileis.at/,,+43-7248-64290,,,,,,,+43-7248-62351-0,Institut Zeileis GmbH & Co KG,,,,48.2070012,,,,Valentin Zeileis-Straße,yes,,,,Zeileis Gesundheitszentrum,,,,4713,,,Gallspach,,,,,AT,
,,hospital,,,,,,,,,14.3590662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,46.6116077,,,,,,,,,Ärztezentrum,,,,,,,,,,,,,
,,hospital,,,,,,,,,14.0866195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7338278,,,,,,,,,Öffentliches Krankenhaus WAIERN / Feldkirchen,,,,,,,,,,,,,
