health_facility:type,shop,office,healthcare:speciality,building:part,payment:debit_cards,ref:addr,addr:housenumber,emergency,contact:youtube,ele,source,opening_hours:url,image,fax,short_name,fixme,historic,facebook,name:uk,wikimedia_commons,addr:street,colour,contact:facebook,name:en,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,WroclawGIS:addr:postcode:id,payment:credit_cards,roof:orientation,source:user,internet_access,name_1,WroclawGIS:addr:layer,roof:height,WroclawGIS:building:ID,ewmapa:warstwa,WroclawGIS:addr:date,payment:cash,loc_name,phone_2,building:usage:pl,phone_1,3dr:type,source:address,mapillary,boundary,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,contact:twitter,health_specialty:internal_medicine,addr:city:simc,WroclawGIS:addr:id,building:buildyear,source:geometry,addr:city,source:building,source_ref,building:type:pl,drive_through,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,operator,name:pl,old_name:de,opening_hours,contact:phone,addr:housename,contact:mobile,heritage,start_date,website,admin_level,source:height,survey:url,is_in:suburb,addr:subdistrict,delivery,phone,WroclawGIS:building:date,old_name,smoking,OBJECTID_height_lidar,WroclawGIS:addr:postcode:layer,nat_name,source:note,note:pl,buildingpart,architect,dispensing,source:addr,landuse,wheelchair,amenity,operator:type,health_specialty:gynaecology,telephone,official_name,addr:last_update,building:use:pl,medical_system:western,addr:district,building:levels,health_specialty:family_medicine,contact:instagram,note,collection_times,building:fireproof,disused:amenity,description,building:material,takeaway,levels,lat,building,building:colour,url,roof:levels,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator,health_specialty:dentistry
,,,,,,,17,,,,,,,,,,,,,,Parkowa,,,,,NZOZ - Ośrodek Zdrowia Łabunie,,,22-437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łabunie,,,,,,23.3728790,,,,,,,,,,,,,,,,,,,,,,,+48 84 611 30 59,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.6521282,yes,,,,,,,,,
,,,,,,,13,,,,,,,,,,,,,,Gdańska,,,,,NZOZ ARS MEDICA Poradnie Specjalistyczne - Więcbork,,,89-410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Więcbork,,,,,,17.4888839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.3585720,yes,,,,,,doctor,,,
,,,,,,,137A,,,,,,,,,,,,,,,,,,,NZOZ Almus,,,37-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602638,,,,,,,,,,22.3850881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,50.0269899,commercial,,,,Białoboki,,,,,
,,,,,,,137,,,,,,,,,,,,,,,,,,,NZOZ Almus Rehabilitacja,,,37-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602638,,,,,,,,,,22.3849227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,50.0267058,commercial,,,,Białoboki,,,,,
,,,,,,,55-57,,,,WroclawGIS,,,,,,,,,,Elizy Orzeszkowej,,,,,NZOZ Amicur,,,50-311,,,,,,,,,,,73527,,,,,,,,,,,,15211,,,,,,hipped,,,,,,,Wrocław,,,,,,17.0538390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,51.1229398,yes,,,,,,,,,
,,,,,,,22a,,,,,,,,,,,,,,Podwisłocze,,,,,NZOZ Asklepios,,,,,,,,,,,,,,,,,,,,,,,"UM Rzeszów, wms.erzeszow.pl",,,,,,,,,,,,,,,,Rzeszów,,,,,,22.0062216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,50.0246802,commercial,,,,,,,,,
,,,,,,,25,,,,,,,,,,,,,,Bolesława Limanowskiego,,,,,NZOZ BAKRA,,,63-400,,,,,,,,,,,,,,,,,,,,,,,11074,,,,,,,,,0937132,,,,Ostrów Wielkopolski,,,,,,17.8235975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mostrowwielkopolski.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,51.6537361,yes,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,Plac Bzowy,,,,,NZOZ Biogenes,,,53-224,,,40900,,,,,,search/0,,60937,,2011-03-13,,,,,,,,,,02534,,,,,,,,,,40229,,,Wrocław,,,,,,16.9915961,,,,,,,,,,,,,,,,http://biogenes.pl,,,,,,,,,,,,,,,,,,,WroclawGIS,,,doctors,,,,Niepubliczny Zakład Opieki Zdrowotnej Biogenes,,,,,,,,,,,,,,,,51.0930189,hospital,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NZOZ Bukowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9053902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.3649000,yes,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NZOZ Bydgoska Medyczna Przychodnia 'Centrum' Sp. z o.o.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,Bydgoszcz,,,,,,18.0020295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.1197239,,,,,,,doctor,,,
,,,,,,,1,,,,,,,,,,,,,,Kwiatowa,,,,,NZOZ Calisia,,,62-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalisz,,,,,,18.0939800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,51.7543175,healthcare,,,,,,doctor,,,
,,,,,,,11,,,,,,,,,,,,,,Wojska Polskiego,,,,,NZOZ Centrum Medyczne,,,83-000,,,,,,,,,,,,,,,,,,,,,,,24628,,,,,,,,,0934620,,,,Pruszcz Gdański,,,,,,18.6328577,,,,,,,,,,,,,,,,"https://medinfo.pl/niepubliczny-zaklad-opieki-zdrowotnej-centrum-medyczne,203335",,,,,,,+48 58 682 22 81,,,,,,,,,,,,mpruszczgdanski.e-mapa.net,,,doctors,,,,,,,,,2,,,,,,,,,,,54.2555589,yes,,,,,,doctor,,,
,,,,,,,9,,,,,,,,,,,,,,Władysława Broniewskiego,,,,,"NZOZ Centrum Zdrowia ""Błonie""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,,,17.9630419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.1195307,yes,,,,,,doctor,,,
,,,,,,,24,,,,,,,,,,,,,,,,,,,NZOZ Centrum medyczne Połaniec,,,28-230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3331547,,,,10,,,,,,,,,,,,http://nzozpolaniec.pl,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,50.4329586,yes,,,,Zawada,,,,,
office,,,,,,,12,,,,,,,,,,,,,,Nowa,,,,,NZOZ Cor-Medicus,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,,,,,,,,,,przychodnia@cormedicus.pl,,,,,,,,,Dobrzyca,,,,,,17.6033167,http://www.cormedicus.pl/,,,,,,,,,Mo-Fr 08:00-18:00,+48627413450,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,main,,,,,,,,,,51.8636485,yes,,,,,,,,,
,,,,,,,3,,,,,,,,,,,,,,Długa,,,,,NZOZ Cytramed,,,46-331,,,,,,,,,,,,,,,,,,,,,,,,,,,cytramed@wp.pl,,,,,,,,,Radłów,,,,,,18.5360798,,,,,,,,,,,+48 34 359 90 50,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.9334903,commercial,,,,,,,,,
laboratory,,,,,,,56,,,,,,,,,,,,,,Generała Józefa Hallera,,,,,NZOZ Dermilab,,,63-300,,,,,,,,,,,,,,,,,,,,,,,,,dermilab@data.pl,,,,,,yes,,,,,Pleszew,,,,,yes,17.7781037,,,,,,,,,,,,,,,,http://dermilab.pl/,,,,,,,,,,,,,,,,,,,,,,doctors,,yes,,,,,,,,,,,,,,,,,,51.8976754,yes,,,,,,,,,
,,,,,,,1a,,,,,,,,,,,,,,Prymasa Stefana Wyszyńskiego,,,,,NZOZ Dobrzec,,,62-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalisz,,,,,,18.0589901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,51.7519025,healthcare,,,,,,,,,
,,,,,,,23,,,,,,,,,,,,,,Katowicka,,,,,NZOZ Dokawa,,,43-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piasek,,,,,,18.9485878,,,,,,,,,,,,,,,,http://www.dokawa.pl,,,,,,,+48 32 448 44 28,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Piasku,,,,50.0049594,yes,,,,,,,,,
,,,,,,,9,,,,,,,,,,,,,,Jana Myliusa,,,,,NZOZ Duży Medyk,,,82-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,,Elbląg,,,,,,19.4257900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,54.1890886,civic,,,,,,,PL,,
,,,,,,,4,,,,,,,,,,,,,,Dziechcinka,,,,,NZOZ Dziechcinka,,,43-460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wisła,,,,,,18.8667056,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,doctors,,,,,,,,,,,,,,,,,,,,49.6472470,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NZOZ Endoterapia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0436923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.2521795,,,,,,,,,,
,,,,,,,23,,,,,,,+48 42 211 67 50,,,,,,,Mikołaja Kopernika,,,,,NZOZ Eskulap,,,95-050,,,,,,,,,,,,,,,,,,,,,,,,,eskulap.konstantynow@o2.pl,,,,,,,,,,,Konstantynów Łódzki,,,,,,19.3245615,,,,,,,,,,Mo-Fr 07:00-19:00,,,,,,http://eskulapkonstantynow.pl/,,,,,,,+48 42 211 67 50,,,,,,,,,,,,mkonstantynowlodzki.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,51.7510294,public,,,,,,,,,
,,,,,,,13,,,,,,,,,,,,,,Jana Mertki,,,,,NZOZ Eskulap,,,63-400,,,,,,,,,,,,,,,,,,,,,,,12621,,,,,,,,,0937132,,,,Ostrów Wielkopolski,,,,,,17.8311128,,,,,,,Niepubliczny Zakład Opieki Zdrowotnej Zespół Lekarzy Rodzinnych ESKULAP s.c. Przychodnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,mostrowwielkopolski.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,51.6395086,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Serbinowska,,,,,NZOZ Eskulap,,,62-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSiP Kalisz : Ewidencja Gruntów i Budynków :: Działki - http://msip.kalisz.pl/isdp/gs/ows/wms_egib,Kalisz,,,,,,18.0643332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.7519556,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NZOZ Euromedica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7748442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.5026387,,,,,,,,,,
,,,,,,,101,,,,gis.um.szczecin.pl,,,,,,,,,,aleja Wojska Polskiego,,,,,NZOZ FAMILY,,,,,,,,,,,,,,,,,,,,Szpital lub zakład opieki medycznej,,,,,,,,,,,,,,,,,,,,,,,,,14.5340290,,,,,,,,,,,,,,,,,,,,,,,+48 91 42 25 442,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,53.4396167,healthcare,,,,,,,,,
,,,,,,,6,,,,,,,,,,,,,,Adama Mickiewicza,,,,,NZOZ Galmed,,,69-100,,,,,,,,,,,,,,,,,,,,,,,12734,,,,,,,,,0935736,,,,Słubice,,,,,,14.5574074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slubice.e-mapa.net,,,doctors,,,,,,,,,4,,,,,,,,,,,52.3500454,yes,,,,,,doctor,PL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NZOZ Gdańskie Centrum Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6711594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,54.4020042,,,,,,,,,,
,,,,,,,94c,,,,,,,,,,,,,,,,,,,NZOZ Gumniska,,,39-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0818150,,,,,,,,,,21.4171924,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,Niepubliczny Zakład Opieki Zdrowotnej Gumniska,,,,,,,,,,,,,,,,49.9979528,yes,,,,Gumniska,,,,,
,,,,,,,22A,,,,,,,,,,,,,,Kozienicka,,,,,NZOZ Góra-Med,,,24-100,,,,,,,,,,,,,,,,,,,,,,,09716,,,,,,,,,0389943,,,,Góra Puławska,,,,,,21.9319067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,51.4126555,yes,,,,,,,,,
,,,,,,,13,,,,,,,,,,,,,,Wiślna,,,,,NZOZ Helios Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goczałkowice-Zdrój,,,,,,18.9688507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.9403611,yes,,,,,,,,,
,,,,,,,25,,,,,,,,,,,,,,,,,,,NZOZ Hipokrates,,,60-688,,,,,,,,,,,,,,,,,,,,,,,,,hipokrates@hipokrates-poznan.pl,,,,,,,,,,,Poznań,,,,,,16.9026749,,,,,,,,,,,,,,,,http://hipokrates-poznan.pl/,,,,,,,+48 61 823 47 11;+48 61 823 47 49;+48 61 823 42 04,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,2,,,,,,,,,,,52.4602507,yes,,,,Osiedle Marysieńki,,,PL,,
,,,,,,,30,,,,UM Zielona Góra,,,,,,,,,,Żołnierzy 2 Armii,,,,,NZOZ Integracja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zielona Góra,,,,,,15.4873095,,,,,,,Poradnia Zdrowia Psychicznego z Psychiatrycznym Oddziałem Dziennym INTEGRACJA s.c.,,,,,,,,,,,,,,,,,,,,,,,,"dawna ""II Armii"" a potem ""Ofiar komunizmu""",,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.9349851,yes,,,,,,doctor,,,
,,,,,,,3,,,,,,,,,,,,,,Sportowa,,,,,NZOZ Kardio-Med,,,05-270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marki,,,,,,21.1089390,,,,,,,,,,,,,,,,http://www.mozmarki.pl/,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.3248144,,,,,,,,,,
,,,,,,,141,,,,,,,,,,,,,,Tadeusza Kościuszki,,,,,NZOZ Kormed,,,37-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lubaczów,,,,,,23.1357328,,,,,,,,,,,,NZOZ Lubaczów,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,50.1609513,yes,,,,,,,,,
,,,,,,,81,,,,,,,,,,,,,,,,,,,NZOZ LUBOMED s.c.,,,59-623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasiecznik,,,,,,15.5675531,,,,,,,,,,,,,,,,http://www.lubomed.com/,,,,,,,+48 75 789 36 78,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,50.9585836,commercial,,,,Pasiecznik,,,,,
,,,,,,,4,,,,,,,,,,,,,,Generała Józefa Sowińskiego,,,,,NZOZ Legionowo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legionowo,,,,,,20.9329022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.3942879,hospital,,,,,,doctor,,,
,,,,,,,81A,,,,,,,,,,,,,,,,,,,"NZOZ Lekarza Rodzinnego ""Inter-Med""",,,63-304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7388683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,czerminpleszewski.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,51.9479257,yes,,,,Czermin,,doctor,,,
,,,,,,,16,,,,,,,,,,,,,,Tadeusza Kościuszki,,,,,NZOZ Lumed,,,37-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lubaczów,,,,,,23.1260429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.1575547,yes,,,,,,,,,
,,,,,,,8,no,,,,,,,,,,,,,Tulipanowa,,,,,NZOZ MEDICAL-MED,,,95-060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brzeziny,,,,,,19.7668406,,,,,,,,,,,,,,,,http://www.medicalmed.pl,,,,,,,48468752604,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.8015393,yes,,,,,,,,,
,,,,,,,36C,,,,,,,,,,,,,,3 Maja,,,,,NZOZ MEDIPOZ Sp. z o. o.,,,44-230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0939409,,,,Czerwionka-Leszczyny,,,,,,18.6700301,,,,,,,,,,,,,,,,http://www.medipoz.pl/,,,,,,,+48 32 4312974,,,,,,,,,,,,EMUiA,,,doctors,,,,,,,,,,,,,,,,,,,,50.1546592,yes,,,,,,,,,
,,,,,,,25,,,,,,,,,,,,,,Armii Krajowej,,,,,NZOZ Medica,,,38-423,,,,,,,,,,,,,,,,,,,,,,,00432,,,,,,,,,0356725,,,,Targowiska,,,,,,21.8235696,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,miejscepiastowe.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,49.6384926,yes,,,,,,,,,
,,,,,,,3a,,,,Starostwo Powiatowe w Sochaczewie,,,+48 46 862 15 57,,,,,,,Prezydenta Ryszarda Kaczorowskiego,,,,,NZOZ Medicamed,,,96-500,,,,,,,,,,,,,,,,,,,,,,,,,medicamed2@medicamed.pl,,,,,,,,,,,Sochaczew,,,,,,20.2381535,,,,,,,,,,,,,,,,https://sochaczew.medicamed.pl/,,,,,,,+48 46 861 00 65; +48 46 862 13 73; +48 46 862 13 96,,,,,,,,,,,,EMUiA (msochaczew.e-mapa.net),,yes,doctors,,,,,,,,,2,,,,,,,,,,,52.2254277,healthcare,,,,,,,,,
,,,,,,,24,,,,,,,,,,,,,,Kórnicka,,,,,NZOZ Medicur,,,61-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poznań,,,,,,16.9500799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,52.3993128,yes,,,,,,,PL,,
,,,,,,,37a,,,,,,,,,,,,,,Górnośląska,,,,,NZOZ Medicus,,,62-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalisz,,,,,,18.0772674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,51.7522962,healthcare,,,,,,,,,
,,,,,,,27,,,,,,,,,,,,,,Józefa Sowińskiego,,,,,NZOZ Medicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutno,,,,,,19.3615521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,52.2384139,yes,,,,,,,,,
,,,,,,,56,,,,,,,,,,,,,,Armii Krajowej,,,,,NZOZ Medicus,,,58-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żarów,,,,,,16.4932213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.9429075,public,,,,,,,PL,,
,,,,,,,4A,,,,,,,,,,,,,,Parkowa,,,,,NZOZ Medikol,,,44-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rybnik,,,,,,18.5451356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.0843047,school,,,,,,doctor,,,
,,,,,,,1,,,,,,,,,,,,,,Opolska,,,,,NZOZ Medlife,,,42-700,,,,,,,,,,,,,,,,,,,,,,,15095,,medlife@tlen.pl,,,,,,,0931945,,,,Lubliniec,,,,,,18.6793573,,,,,,,,,,Mo-Fr 08:00-21:00,"+48 34 356 30 65, +48 500 17 11 99",,,,,http://www.med-life.eu,,,,,,,+48 34 356 30 65;+48 500 171 199,,,,,,,,,,,,mlubliniec.e-mapa.net,,yes,doctors,,,,,,,,,1.5,,,,,yes,,,,,,50.6736901,commercial,,,,,,doctor,,,
,,,,,,,,,,,gis.um.szczecin.pl,,,,,,,,,,aleja Powstańców Wielkopolskich,,,,,NZOZ Multi Cordis,,,,,,,,,,,,,,,,,,,,Szpital lub zakład opieki medycznej,,,,,,,,,,,,,,,,,,,,,,,,,14.5293127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,53.4065599,healthcare,,,,,,,,,
,,,,,,,33,,,,,,,,,,,,,,Młodzieżowa,,,,,NZOZ Nasza Poradnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9621651,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.2902643,yes,,,,,,,,,
,,,,,,,46,,,,e.czestochowa.pl,,,,,,,,,,Aleja Wolności,,,,,NZOZ Nasza Przychodnia,,,42-217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Częstochowa,,,,,,19.1163629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.8042098,yes,,,,,,,,,
,,,,,,,28,,,,,,,,,,,,,,,,,,,"NZOZ Niepubliczny Zakład Opieki Zdrowotnej „Nasz Medyk”, filia w Radominie",,,87-404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1873612,,,,,,,,,,,,,,,,http://naszmedyk.pl,,,,,,,+48 56 683 75 20,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.0871525,yes,,,,Radomin,,doctor,,,
,,,,,,,1,,,,,,,,,,,,,,Jana Kleina,,,,,NZOZ Nowy Fordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,,,18.1293766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.1502164,yes,,,,,,doctor,,,
,,,,,,,47,,,,,,,,,,,,,,Adama Mickiewicza,,,,,NZOZ Oko Med,,,86-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grudziądz,,,,,,18.7564353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,53.4905392,yes,,,,,,,,,
,,,,,,,10,,,,,,,,,,,,,,Johanna Gottfrieda Herdera,,,,,NZOZ Olsztyńscy Ortopedzi Sp. z o.o.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olsztyn,,,,,,20.5078686,,,,,,,,,,,,,,,,https://www.olsztynscy-ortopedzi.pl/,,,,,,,+48895239090,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.7400537,yes,,,,,,,,,
,,,,,,,34a,,,,,,,,,,,,,,Długa,,,,,"NZOZ Ośrodek Medyczny ""Mistaza""",,,41-300,,,,,,,,,,,,,,,,,,,,,,,03839,,,,,,,,,0939473,,,,Dąbrowa Górnicza,,,,,,19.2193508,,,,,,,,,,,,,,,,,,,,,,,32 260 32 36,,,,,,,,,,,,mdabrowagornicza.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,50.3241843,yes,,,,,,,,,
,,,,,,,12,,,,,,,,NZOZ Promyk,,,,,,Wiosenna,,,,,"NZOZ Ośrodek Zdrowia ""Promyk""",,,36-122,,,,,,,,,,,,,,,Promyk,,,,,,,,,,nzozpromyk@wp.pl,,,,gabled,,,0662050,,,,,,,,,,21.8645149,,,,,,,,,,,,,,,,http://www.nzozpromyk.com/,,,,,,,+48 17 744 21 78,,,,,,Niepubliczny Zakład Opieki Zdrowotnej - Ośrodek Zdrowia Promyk,,,,,,emuia.gugik.gov.pl,,,doctors,,,,"NZOZ Ośrodek Zrowia ""Promyk"" Nowy Dzikowiec",,,,,1,,,,,,,,,,,50.2696843,yes,,,1,Nowy Dzikowiec,,,,,
,,,,,,,94,,,,,,,,,,,,,,Mikołowska,,,,,NZOZ PRO VITA,,,44-203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rybnik,,,,,,18.5662888,,,,,Niepubliczny Zakład Opieki Zdrowotnej PRO VITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.1019656,yes,,,,,,doctor,,,
,,,,,,,7,,,,UM Ruda Śląska,,,,,,,,,,Wawelska,,,,,NZOZ PRZYCHODNIA LEKARSKA S.C.,,,41-700,tar_paper,,,,,,,,,,,"Przyziemie budynku ognioodpornego, podpory, podcienia z rastra",,,,,,,,,,,,,,,,,flat,,,,,,,Ruda Śląska,,,,,,18.8574167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,yes,,,,,,50.3036071,yes,,,,,,,,,
