shop,building:part,indoor,payment:cash,ref:addr,addr:housenumber,payment:debit_cards,addr:state,source,drive_in,short_name,addr:street,source:name,fixme,name,designation,level,addr:postcode,roof:material,payment:credit_cards,roof:orientation,source:user,payment:mastercard,recycling:drugs,amenity_1,building:usage:pl,description,payment:maestro,3dr:type,brand:wikidata,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,building:use,addr:city:simc,atm,source:geometry,payment:visa_electron,addr:city,source:building,payment:visa_debit,source_ref,drive_through,lon,contact:website,roof:colour,height,operator,name:pl,brand:wikipedia,area,opening_hours,contact:phone,addr:housename,building.source:levels,start_date,website,brand,addr:subdistrict,phone,smoking,emuia:id,room,buildingpart,dispensing,landuse,roof:levels,amenity,source:opening_hours,payment:notes,building:use:pl,source:amenity,addr:district,building:levels,note,ref:source,source:addr,building:material,source_ref:name,payment:visa,lat,payment:telephone_cards,building,building:colour,payment:coins,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country
,,,,,,,,,,,,,,Apteka Aleksandra Paliwoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6972313,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.5036769,,yes,,,,,,,pharmacy,
,,,,,139,,,,,,Józefa Ignacego Kraszewskiego,,,Apteka Aloes,,,33-380,,,,,,,,,,,,,,,,,,,,,,,,,Krynica-Zdroj,,,,,20.9539127,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,49.4016889,,yes,,,,,,,,
,,,,,13J,,,,,,Płocka,,,Apteka Arnica,,,06-450,,,,,,,,,,,,,16511,,,,,,,,0114620,,,,Glinojeck,,,,,20.2896814,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,glinojeck.e-mapa.net,,,,52.8192638,,yes,,,,,,,pharmacy,
,,,,,9,,,,,,Osiedle Złote,,,Apteka Arnica,,,58-200,,,,,,,,,,,,,,,,,,,,,,,,,Dzierżoniów,,,,,16.6403723,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,1,,,,,,,50.7389374,,yes,,,,,,,pharmacy,
,,,,,8,,,,,,Kolejowa,,,Apteka Arnika,,,14-230,,,,,,,,,,,,,,,,,,,,,,,,,Zalewo,,,,,19.5990111,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.8469047,,yes,,,,,,,,
,,,,,5,,,,,,Dworcowa,,,Apteka Arnika,,,87-731,,,,,,,,,,,,,,,,,,,,,,,,,Waganiec,,,,,18.8717811,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.8042742,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka Avena 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7621050,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.5427972,,yes,,,,,,,,
,,,,,72,,,,,,Myśliwska,,,Apteka Bałtycka,,,80-283,,,,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,,18.5623684,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,1,,,,,,,54.3508599,,yes,,,,,,,,
,,,,,61,,,,,,Kosynierów Gdyńskich,,,Apteka Bonifratrów,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łódź,,,,,19.4705391,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,,51.7177113,,yes,,,,,,,,
,,,,,53,,,Starostwo Powiatowe w Wałczu,,,Kilińszczaków,,,Apteka Centralna,,,78-600,,,,,,,,,,,,,08437,,,,,,,,0967245,,,,Wałcz,,,,,16.4690207,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,mwalcz.e-mapa.net,,,,53.2721347,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Apteka Centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2756362,,,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-13:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.2375108,,yes,,,,,,,,
,,,,,111,,,,,,,,,Apteka Centrum,,,23-305,,,,,,,,,,,,,,,,,,,,,0789230,,,,,,,,,22.6030594,,,,,,,,Mo-Fr 08:00-16:00; Th 08:00-18:00,,,,,,,,+48 15 8755256,,,,,yes,,,pharmacy,,,,,,,,,emuia1.gugik.gov.pl,,,,50.7731986,,yes,,,,,Chrzanów Trzeci,,,
,,,,,259,,,,,,,,,Apteka Centrum,,,34-620,metal,,along,,,,,,,,,,,,,,,,gabled,,,,,,,,,,,20.2406364,,black,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-13:00,,,,,,,,+48 18 334 20 90,,,,,,,1,pharmacy,,,,,,1,,,,,,,49.7767186,,retail,cornsilk,,,,Jodłownik,,pharmacy,
,,,,,28,,,,,,Długa,,,Apteka Centrum,,,86-022,,,,,,,,,,,,,,,,,,,,,,,,,Dobrcz,,,,,18.1501588,,,,,,,,,,,,,,,,+48 52 522 35 40,,,,,,,,pharmacy,,,,,,,,,,,,,53.2657765,,yes,,,,,,,,
,,,,,115,,,,,,Osiedle Władysława Łokietka,,,Apteka Centrum Leków,,,,,,,,,,,,,,,,,,,,,,,,,,Geopoz: budynki ewidencyjne,,Poznań,,,,,16.9427738,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,,,,,,,,,,,pharmacy,,,,,,1,,,,,,,52.4486578,,yes,,,,,,,pharmacy,
,,,,,35,,,UM Cieszyn,,,Frysztacka,,,Apteka Centrum Medyczne,,,43-400,,,,,,,,,,,,,,,,,,,,,,,,,Cieszyn,,,,,18.6258132,,,,,,,,,,,,,,,,,,PKT_762,,,,,,pharmacy,,,,,,,,,,,,,49.7549852,,yes,,,,,,,,
,,,,,14,,,,,,Ratuszowa,,,Apteka Centrum Zdrowia,,,74-300,,,,,,,,,,,,,18489,,,,,,,,0935558,,,,Myślibórz,,,,,14.8651632,,,,,,,,mo-Su 08:00-22:00,,,,,"https://www.aptekacentrumzdrowia.pl/apteka-mysliborz,15",,,+48 95 747 01 46,,,,,yes,,,pharmacy,,,,,,1,,,mysliborz.e-mapa.net,,,,52.9246597,,yes,,,,yes,,,,PL
,,,,,,,,survey,,,,,,Apteka DGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8377292,,,,,,,,,,,,,,,,,,,,room,,,,pharmacy,,,,,,,,,,,,,50.4553349,,,,,,,,,pharmacy,
,,,,,9,,,,,,Klonowa,,Duplicate address in import (zdublowany adres w promieniu 100 metrów; do weryfikacji),Apteka Dbam o Zdrowie,,,88-160,,,,,,,,,,,,,08574,,,,,,,,0929109,,,,Janikowo,,,,,18.1050528,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,52.7548032,,yes,,,,,,,,
,,,,,1,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,Wolności,,,Apteka Dbam o Zdrowie,,,46-300,,,,,,,,,,,,,,,,,,,,,,,,,Olesno,,,,,18.4211029,,,,,,,,,,,,,,,,+48 34 358 20 92,,,,,,,,pharmacy,,,,,,,,,,,,,50.8765207,,commercial,,,,,,,,
,,,,,32,,,,,,Bielska,,,Apteka Diabetyka,,,09-400,,,,,,,,,,,,,,,,,,,,,,,,,Płock,,,,,19.6978085,,,,Piotr Błaszkiewicz,,,,Mo-Fr 08:00-19:00; Sa 08:00-15:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.5540315,,yes,,,,,,,,
,,,,,,,,Starostwo Powiatowe Będzin,,,,,,Apteka Dobrych Rad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0310250,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,Handlowo-usługowy,,,1,,,,,,,50.3664563,,retail,,,,,,,pharmacy,
,,,,,1,,,,,,Nad Białką,,,Apteka Dobrych Rad,,,43-502,,,,,,,,,,,,,,,,,,,,,,,,,Czechowice-Dziedzice,,,,,19.0146448,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,49.9328861,,yes,,,,,,,pharmacy,
,,,,,220b,,,Starostwo Powiatowe Będzin,,,Tadeusza Kościuszki,,,Apteka Dobrych Rad,,,42-510,,,,,,,,,,,,,,,,,,,,,,,,,Rogoźnik,,,,,19.0298213,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,50.3915155,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Apteka Dr N Farm Tomasz Dębowski,,,14-241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4574445,,,,,,,,08:00-16:00,,,,,,,,+48 89 6481111,,,,,,,,pharmacy,,,,,,,,,,,,,53.6357028,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka Dr. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3637295,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,53.1210345,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Apteka Drofarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9403334,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.4293113,,yes,,,,,,,,
,,,,,16,,,,,,Dworcowa,,,Apteka Dyżurna,,,84-200,,,,,,,,,,,,,,,,,,,,,,,,,Wejherowo,,,,,18.2295592,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,54.6053155,,yes,,,,,,,pharmacy,PL
,,,,,2,,,,,,Niepodległości,,,Apteka Elżbieta Fliszkiewicz,,,26-670,,,,,,,,,,,,,,,,,,,,,,,,,Pionki,,,,,21.4448563,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.4743376,,yes,,,,,,,,
,,,,,14,,,,,,Zdrojowa,,,Apteka Farmacja,,,87-720,,,,,,,,,,,,,,,,,,,,,,,,,Ciechocinek,,,,,18.7899755,,,,,,,,08:00-21:00,,,,,,,,,,,,,,,,pharmacy,,,,,,3,,,,,,,52.8795101,,yes,,,,,,,,PL
,,,,,2B,,,,,,Bukowa,,,Apteka Gemini,,,84-200,,,,,,,,,,,,,,,,,,,,,,,,,Wejherowo,,,,no,18.2257239,,,,Gemini Hutter Sp. z o.o.,,,,,,,,,https://www.aptekagemini.pl/,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,54.6024422,,yes,,,,,,,pharmacy,
,,,,,2,,,,,,Juliusza Słowackiego,,,Apteka Góra,,,11-010,,,,,,,,,,,,,,,,,,,,,,,,,Barczewo,,,,,20.6940982,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.8327695,,yes,,,,,,,,
,,,,,21A,,,,,,Suwalska,,,Apteka Hibiskus,,,03-252,,,,,,,,,,,,,21614,,,,,,,,0918123,,,,Warszawa,,,,,21.0336414,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,mapa.um.warszawa.pl,,,,52.2952534,,yes,,,,,,,pharmacy,
,,,,,8,,,,,,Józefa Sowińskiego,,,Apteka Hipokrates,,,99-300,,,,,,,,,,,,,,,,,,,,,,,,,Kutno,,,,,19.3654078,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,,52.2365125,,yes,,,,,,,,
,,yes,,,,,,,,,,,,Apteka Hygieia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9027298,,,,,,,,,,,,,,,,,,,,room,yes,,,pharmacy,,,,,,,,,,,,,50.0211276,,,,,,,,,,
,,,yes,,11B,,,,,,Strzelców,,,Apteka Hygieia,,,31-422,,,,,yes,,,,,,,,,,,,,,,,,,,yes,Kraków,,yes,,,19.9746434,,,,,,,,Mo-Fr 07:00-21:00; Sa 07:00-18:00,,,,,,,Prądnik Czerwony,,,,,,,,,pharmacy,,,,,Prądnik Czerwony,0,apteka,,,,,yes,50.0929067,,yes,,,,,,,pharmacy,PL
,,,,,12,,,,,,Braniewska,,,Apteka IMBIR,,,85-708,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,,18.0510758,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.1275367,,yes,,,,,,,,
,,,,,20,,,,,,Warszawska,,,Apteka Jaktorowska,,,96-313,,,,,,,,,,,,,23682,,,,,,,,0728457,,,,Chylice-Kolonia,,,,,20.5538455,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,jaktorow.e-mapa.net,,,,52.0861082,,yes,,,,,,,,
,,,,,2f,,,,,,Kierska,,,Apteka Kierska,,,62-090,,,,,,,,,,,,,,,,,,,,,0593997,,,,Kiekrz,,,,,16.7799249,,,,,,,,"Mo-Fr 08:00-21:00, Sa 08:00-16:00, Su 09:00-14:00",,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (rokietnica.e-mapa.net),,,,52.4841173,,yes,,,,,,,,
,,,,,38,,,,,,3 Maja,,,Apteka Kolska,,,62-600,,,,,,,,,,,,,,,,,,,,,,,,,Koło,,,,,18.6436220,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,2,,,mkolo.e-mapa.net,,,,52.1967892,,yes,,,,,,,,
,yes,,,,44,,,,,,Armii Krajowej,,,Apteka Królewska,,,58-130,,,,,,,,,,,,,,,,,,,,,,,,,Żarów,,,,,16.4941464,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.9413917,,,,,,yes,,,,PL
,,,,,12,,,,,,Józefa Ignacego Kraszewskiego,,,Apteka Kubuś,,,64-920,,,,,,,,,,,,,09869,,,,,,,,0966530,,,,Piła,,,,,16.7169593,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,pila.e-mapa.net,,,,53.1537592,,yes,,,,,,,,
,,,,,57,,,,,,Chorzowska,,,Apteka Lawenda,,,41-902,,,,,,,,,,,,,,,,,,,,,,,,,Bytom,,,,,18.9405169,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.3332479,,yes,,,,,,,,
,,,,,4,,,,,,Wrocławska,,,Apteka Leśna,,,55-114,,,,,,,,,,,,,,,,,,,,,,,,,Wisznia Mała,,,,,17.0443601,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.2449177,,yes,,,,,,,,
,,,,,84A,,,,,,Admirała Józefa Unruga,,,Apteka Leśna,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gdynia,,,,,18.5039323,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,54.5527519,,yes,,,,,,,,PL
,,,,,8,,,,,,Apteczna,,,Apteka Magdalena Jarosz,,,32-010,,,,,,,,,,,,,00377,,,,,,,,0322169,,,,Dojazdów,,,,,20.1043987,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,kocmyrzowluborzyca.e-mapa.net,,,,50.1281330,,yes,,,,,,,pharmacy,
,,,,,71a,,,,,,Generała Jerzego Ziętka,,,Apteka Magiczna,,,41-400,,,,,,,,,,,,,,,,,,,,,,,,,Mysłowice,,,,,19.1574504,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,UM Mysłowice,,,,50.2161448,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka Maxfarm,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,22.9269626,,,,,,,,,,,,,,,,,,,,room,no,,,pharmacy,,,,,,,,,,,,,54.1083503,,,,,,,,,,
,,,,,34,,,WroclawGIS,,,Świdnicka,,,Apteka Mała,,,55-041,,,,,,,,,,,,,,,,,,,,,,,,,Tyniec Mały,,,,,16.9233362,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.0217246,,yes,,,,yes,,,,
,,,,,7,,,,,,Międzyrzecka,,,Apteka Małgorzata,,,43-382,,,,,,,,,,,,,,,,,,,,,,,,,Bielsko-Biała,,,,,18.9817134,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,49.8085738,,yes,,,,,,,,
,,,,,27k,,,,,,Tadeusza Kościuszki,,,"Apteka Na Ryneczku ""AMARA""",,,42-300,,,,,,,,,,,,,,,,,,,,,,,,,Myszków,,,,,19.3253685,,,,,,,,,,,,1996,,,,+48 34 313 02 31,,,,,,,,pharmacy,,,,,,2,,,,,,,50.5745984,,commercial,,,,,,,,
,,,,,,,,,,,,,,Apteka Na Rynku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2631466,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.5100901,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka Norweska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5518928,,,,,,,,Mo-Sa 9:00-21:00; Su 10:00-20:00,+48 58 668 43 45,,,,,,,,,,,room,,,,pharmacy,,,,,,,,,,,,,54.4750625,,,,,,,,,,
,,,,,3,,,Bing,,,Klasztorna,,,Apteka Nova,,,43-178,,,,,,,,,,,,,,,,,,,,,,,,,Ornontowice,,,,,18.7625996,,,,,,,,"Mo-Fr 09:00-18:00; Sa 08:00-12:00; Su,PH off",,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA,,,,50.1788779,,yes,,,,,,,,
,,,,,89a,,,,,,Kaliska,,,Apteka Omega,,,87-800,,,,,,,,,,,,,,,,,,,,,,,,,Włocławek,,,,,19.0495888,,,,,,,,,,,,,,,,+48 54 307 08 00,,,,,,,,pharmacy,,,,,,,,,,,,,52.6390263,,yes,,,,,,,,
,,,,,1,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,Nyska,,,Apteka Optima,,,48-200,,,,,,,,,,,,,,,,,,,,,,,,,Prudnik,,,,,17.5736379,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.3236407,,yes,,,,,,,,
,,,,,19b,,,,,,Fryderyka Chopina,,,Apteka Osiedlowa,,,55-200,,,,,,,,,,,,,,,,,,,,,,,geoportal.gov.pl.GPS,,Oława,,,,,17.2775028,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,molawa.e-mapa.net,,,,50.9442358,,yes,,,,,,,pharmacy,
,,,,,7A,,,,,,Marii Konopnickiej,,,Apteka PULS,,,87-400,,,,,,,,,,,,,,,,,,,,,,,,,Golub-Dobrzyń,,,,,19.0548445,,,,,,,,"Mo-Fr 08:00-19:00, Sa 08:00-16:00",,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.1056078,,yes,,,,,,,,
,,,,,52,,,,,,3 Maja,,,Apteka Panaceum,,,09-500,,,,,,,,,,,,,,,,,,,,,,,,,Gostynin,,,,,19.4590513,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,52.4219339,,yes,,,,,,,pharmacy,
,,,,,48,,,Starostwo Powiatowe Będzin,,,Modrzejowska,,,Apteka Panaceum,,,42-500,,,,,,,,,,,,,,,,,,,,,,,,,Będzin,,,,,19.1308149,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,Handlowo-usługowy,,,1,,,,,,,50.3228485,,retail,,,,yes,,,,
,,,,,20,,,,,,Henryka Probusa,,,Apteka Piastowska,,,58-160,,,,,,,,,,,,,06604,,,,,,,,0984663,,"geoportal.gov.pl, GPS",,Świebodzice,,,,,16.3108691,,,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-14:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,mswiebodzice.e-mapa.net,,,,50.8649784,,commercial,,,,,,,,
,,,,,76a,,,,,,11 Listopada,,,Apteka Plus,,,28-200,,,,,,,,,,,,,,,,,,,,,,,,,Staszów,,,,,21.1901587,,,,,,,,,,,,,http://plusapteka.pl/,,,+48 15 832 07 84,,,,,yes,,,pharmacy,,,,,,,,,,,,,50.5618537,,yes,,,,,,,pharmacy,
,,,,,1,,,,,,Juliusza Słowackiego,,,Apteka Pod Białym Krukiem,,,59-602,,,,,,,,,,,,,,,,,,,,,,,,,Lwówek Śląski,,,,,15.5846530,,black,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,4,,,,,,,51.1109214,,,#FBCEB1,,,,,,pharmacy,
,,,,,2a,,,,,,Doktora Stanisława Kryzana,,,Apteka Pod Borem,,,83-200,,,,,,,,,,,,,,,,,,,,,,,webewid.powiatstarogard.pl,,Starogard Gdański,,,,,18.5061867,,,,,,,,Mo-Fr 09:00-18:00; Sa 09:00-13:00,,,,,,,,58 562 04 93,,,,,yes,,,pharmacy,,,,,,,,,,,,,53.9849629,,yes,,,,yes,,,,
,,,,,9,,,,,,Szubińska,,,Apteka Pod Kasztanem,,,86-005,,,,,,,,,,,,,22130,,,,,,,,0079496,,,,Białe Błota,,,,no,17.9200336,,,,,,,,Mo-Fr: 08:00-20:00; Sa: 08:00-14:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,53.0995246,,yes,,,,,,,pharmacy,
,,,,,9,,,,,,Parkowa,,,Apteka Pod Wierzbą,,,63-920,,,,,,,,,,,,,15710,,,,,,,,0374137,,,,Pakosław,,,,no,17.0588959,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.6190016,,yes,,,,,,,,
,,,,,1,,,,yes,,Śremska,,,Apteka Pofarma,,,62-050,,,,,,,,,,,,,,,,,,,,,0971057,,,,Mosina,,,,,16.8476995,,,,,,,,Mo-Fr 07:30-21:30; Sa 08:00-15:00; Su 10:00-15:00,,,,,,,,+48 61 813 74 12,,,,,yes,,,pharmacy,,,,,,,,,,,,,52.2415072,,yes,,,,,,,,
,,,,,31,,,,,,Marii Skłodowskiej-Curie,,,Apteka Polonez,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,,18.0466503,,,,,,,,,,,,,http://www.euroapteka.pl,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.1266187,,yes,,,,,,,,
,,,,,25,,,,,,Jakuba Wejhera,,,Apteka Polska,,,80-346,,,,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,,18.5841330,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,Urząd Miasta Gdańsk,,,,54.4214757,,yes,,,,,,,,PL
,yes,,,,,,,,,,,,,Apteka Prima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4921824,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.9364787,,,,,,yes,,,,
,,,,,8A,,,,,,Długa,,,Apteka Prima,,,96-514,,,,,,,,,,,,,,,,,,,,,,,,,Rybno,,,,,20.1019563,,,,,,,,Mo-Fr 08:00-17:00,,,,,,,,+48 46 861 16 54,,,,,,,,pharmacy,,,,,,,,,EMUiA (rybno.e-mapa.net),,,,52.2435233,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka Prywatna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5659333,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.2734116,,,,,,,,,,
,,,,,4,,,,,,Basztowa,,,Apteka Prywatna Wyczołek,,,38-230,,,,,,,,,,,,,00861,,,,,,,,0357268,,,,Nowy Żmigród,,,,,21.5246716,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,2,,,emuia.gugik.gov.pl,,,,49.6056263,,yes,,,,yes,,,pharmacy,
,,,,,13,,,,,,Juliana Węgrzynowicza,,,Apteka Przy Szpitalu,,,84-300,,,,,,,,,,,,,,,,,,,,,,,,,Lębork,,,,,17.7507439,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,54.5385336,,yes,,,,,,,,
,,,,,19,,,UM Zielona Góra,,,Zyty,,,Apteka Przy Szpitalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5182069,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.9405835,,yes,,,,,,,pharmacy,
,,,,,15,,,http://szukaj.sluzbazdrowia.pl/Apteka-przy-pogotowiu/Wloclawek/Ul-lunewil-15/z901409.html,,,Lunewil,,,Apteka Przy pogotowiu,,,87-800,,,,,,,,,,,,,,,,,,,,,,,,,Włocławek,,,,,19.0581561,,,,,,,,,,,,,,,,+48 54 231 36 44,,,,,,,,pharmacy,,,,,,,,,,,,,52.6588610,,yes,,,,,,,,
,,,,,66,,,,,,Piotrkowska,,Duplicate address in import (zdublowany adres w promieniu 100 metrów),Apteka Przyjazna,,,26-300,,,,,,,,,,,,,16308,,,,,,,,0967943,,,,Opoczno,,,,,20.2745466,,,,,,,,Mo-Fr 08:00-18:00; Sa 07:00-15:00,,,,,,,,503 873 633,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.3764013,,yes,,,,,,,,
,,,,,136,,,,,,Kościelna,,,Apteka Przyszpitalna,,,21-200,,,,,,,,,,,,,09546,,,,,,,,0922254,,,,Parczew,,,,,22.9126569,,,,,,,,Mo-We 08:00-17:00,,,,,,,,,,,,,,,,pharmacy,,,,,,1,,,parczew.e-mapa.net,,,,51.6348690,,yes,,,,,,,pharmacy,
,,,,,18a,,,,,,Północna,,,Apteka Północna,,,99-200,,,,,,,,,,,,,,,,,,,,,,,,,Poddębice,,,,,18.9545121,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,,,,+48436784212,,,,,,,,pharmacy,,,,,,,,,,,,,51.8967717,,yes,,,,,,,,
,,,,,48,,,,,,Radosna,,,Apteka REMEDIUM,,,59-220,,,,,,,,,,,,,,,,,,,,,,,,,Legnica,,,,,16.1879310,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.2023970,,yes,,,,,,,pharmacy,
,,,,,13,,,,,,Kazimierza Wielkiego,,,Apteka Remedium,,,32-700,,,,,,,,,,,,,,,,,,,,,,,,,Bochnia,,,,,20.4284504,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00; PH off,,,,,https://www.remedium.ch/,,,+48146115452,,,,,,,,pharmacy,,,,,,,informacja@remedium.ch,,,,,,49.9682457,,yes,,,,,,,pharmacy,
,,,,,9,,,,,,,,,"Apteka Remedium, punkt apteczny",,,32-725,,,,,,,,,,,,,,,,,,,,,0822080,,,,Rajbrot,,,,,20.4863193,,,,,,,,"Mo-Fr 08:00-16:00; Sa,Su,PH off",,,,,https://www.remedium.ch/,,,+48 14 613 90 77,,,,,,,,pharmacy,,,,,,,informacja@remedium.ch,,emuia.gugik.gov.pl,,,,49.8213955,,yes,,,,,Rajbrot,,,
,,,,,6,,,,,,Wrocławska,,,Apteka Rodzinna,,,63-930,,,,,,,,,,,,,24806,,,,,,,,0954461,,,,Jutrosin,,,,,17.1690785,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.6527903,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Apteka Rodzinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8360806,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.3773296,,,,,,,,,,
