health_facility:type,office,healthcare:speciality,indoor,social_facility,payment:cash,postal_code,ref:FR:FINESS,is_in,addr:housenumber,emergency,source,opening_hours:signed,fax,source:amenity,government,ref:FR:SIREN,ref:FR:SIRET,source:FINESS,addr:street,bmo:type,source:name,contact:fax,name,level,type:FR:FINESS,addr:postcode,payment:credit_cards,source:geometry:date,internet_access,amenity_1,amenity_2,source:architect,network,operational_status,payment:cheque,ref,email,barrier,contact:email,roof:shape,description1,healthcare:speciality_1,healthcare:speciality_2,source:geometry,addr:city,wall,lon,contact:website,roof:colour,layer,height,alt_name,source_1,operator,area,opening_hours,contact:phone,addr:housename,source:boundary,start_date,website,contact:housenumber,source:date,phone,old_name,name:oc,room,architect,landuse,wheelchair,source:ref:FR:FINESS,amenity,operator:type,official_name,short_name,building:levels,note,operator:wikipedia,contact:street,FIXME,description,building:material,lat,building,roof:levels,addr:place,healthcare,addr:country,operator:wikidata
,,,,,,,,,1510,no,,,+33 4 75 85 39 31,,,,,,Route de Celles-les-Bains,,,,"Centre de Soins, d'Accompagnement et de Prévention en Addictologie La Cerisaie",,,07250,,,,,,,,,,,cerisaie-inf@privas-groupe-sainte-marie.com,,,,,,,,Rompon,,4.7446018,,,,,,,Association hospitalière Sainte-marie,,,,,,,http://www.ahsm.eu/implantations/centre-de-soins-daccompagnement-et-de-prevention-en-addictologie-la-cerisaie-csapa,,,+33 4 75 85 16 31,,,,,,,,clinic,,,CSAPA La Cerisaie,,,,,,,,44.7881943,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre de convalescence La Pignada,,,,,,,,,,,,,,,,,,,,,,,,-1.1848874,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.7612775,,,,clinic,,
,,,,,,,490537818,,146,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,+33 2 41 79 77 48,,,,,,Square de Lattre de Tassigny,,,,Centre de dialyse et de néphrologie,,141,49000,,,,,,,,,,,angers@diaverum.com,,,,,,,,Angers,,-0.5394199,,,,,,,Diaverum Angers,,,,,,,https://www.diaverum.com/fr-FR/Clinic-container/France/Angers/Centre-de-Dialyse-Diaverum-Angers/,,,+33 2 41 79 76 76,,,,,,,,clinic,private,,,,,,,,,,47.4460918,hospital,,,,,
dispensary,,,,,,,,,,,,,,,,,,,,,,,Centre de la mère et de l'enfant,,,,,,,,,,,,,,,,,,,,,Theodolite,,,-149.5469899,,,,,,,Pays,,,,,,,,,2017-02-14,,,,,,,,,clinic,government,,,,,,,,,hard,-17.5357941,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Centre de radiologie,,,,,,,,,,,,,,,,,,,,,,,,3.0323539,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.1811691,office,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,Centre de rééducation de Villers-Bettnach,,,,,,,,,,,,,,,,,,,,,,,,6.3638110,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,49.2339340,hospital,,,,,
,,,,,,,290003953,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,Rue Ar Veret,,,,Centre de rééducation fonctionnelle de Tréboul,,,29100,,,,,,,,,,,,,,,,,,,Douarnenez,,-4.3359920,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.0904000,yes,,,,,
,,,,,,,750011215,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,survey,,Centre de santé,,124,,,,,,,survey,,,,,,,,,,,,,,,2.3553654,,,,,,,,,,,,,1959,,,,,,,,P. Y. Duclos,,,data.gouv.fr:Ministère des Solidarités et de la Santé - 06/2018,clinic,,,,9,,,,,,,48.8269570,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Centre de soins infirmier Paul Clermont,,,,,,,,,,,,,,,,,,,,,,,,3.1116751,,,,,,,,,Mo-Fr 08:00-19:00,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,50.6281535,yes,,,yes,,
,,,,,,,,,,,KG Ground Survey 2016,,,,,,,,,,,,Centre médical,,,,,,,,,,,,,,,,,,,,,,,,-61.5369716,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,16.2369026,yes,,,,,
,,ophthalmology,,,,,,,,,,,,,,,,,,,,,Centre médical,,,,,,,,,,,,,,,,,,,,,,,,2.5960293,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,49.2162061,yes,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Centre médical,,,,,,,,,,,,,,,,,,,,,,,,5.4274731,,,,,,,,,,,,,,,,,,,,,,healthcare,,,clinic,,,,,,,,,,,43.4351271,,,,clinic,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,Rue Henri Matisse,,,,Centre médical,,,25000,,,,,,,,,,,,,,,,,,,Besançon,,5.9787422,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.2162789,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,Centre médical,,,,,,,,,,,,,,,,,,,,,,,,-2.5178372,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.2980632,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Centre médical,,,,,,,,,,,,,,,,,,,,,,,no,-61.0708533,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,0,,,,,,,16.3038373,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,,Centre médical,,,,,,,,,,,,,,,,,,,,,,,,2.5811368,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,50.8128120,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009,,,,,,,,,,,,"Centre médical - ""Pierre Curie",,,,,,,,,,,,,,,,,,,,,,,,7.7127052,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.6040635,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Centre médical Atlas,,,,,,,,,,,,,,,,,flat,,,,,,,2.3760707,,tan,,,,,COSEM,,,,,,,http://www.centre-medical-atlas.com/,,,,,,,,,yes,,clinic,,,,3,,,,,,glass,48.8749703,yes,,,clinic,,
,,cardiology;dentistry;dietitian;gynaecology;neurology;osteopathy;radiology,,,,,,,101,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010;local knowledge,,+33 1 60780035,,,,,,Avenue de Stalingrad,,,,Centre médical Chaumont,,,91120,,,,,,,,,,,,,,,,,,,Palaiseau,,2.2612774,,,,,,,,,"Mo 08:00-18:00; Tu 08:00-12:30, 13:00-17:30; We-Th 08:00-12:30, 13:30-18:00; Fr 08:00-12:30, 13:00-18:00; Sa 08:00-12:30",,,,,,,,+33 1 69814105,,,,,,yes,,clinic,,,,,,,,,,,48.7135736,yes,,,clinic,,
dispensary,,,,,,,,,,,,,,,,,,,,,,,Centre médical Fanomai,,,,,2013,,,,,,operational,,,,,,,,,,Aerial photogrammetry,,,-149.6062787,,,,,,,,,,,,,,,,2010/07/19,,,,,,,,,clinic,private,,,,,,,,,hard,-17.5579495,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre médical Ihitoki,,,,,,,,,,,,,,,,,,,,,,,,-1.7723156,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.3495240,yes,,,clinic,,
,,,,,,,,,74,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,Rue Joliot Curie,,,,Centre médical Joliot Curie,,,,,,,,,,,,,,,,,,,,,,Verdun-sur-Garonne,,1.2305870,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.8509660,yes,,,clinic,,
,,,,,,,,,,,Bing,,,,,,,,,,,,Centre médical de Mamao,,,,,2013,,,,,,,,,,,,,,,,Theodolite,,,-149.5604901,,,,,,,Pays,,,,,,,,,2017-01-31,,,,,,,,,clinic,government,,,,,,,,,hard,-17.5366162,yes,,,,,
,,,,,,,740014311,,106,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,Chemin de Morcy,,,,Centre médical du Chablais,,,74200,,,,,,,,,,,,,,,,,,,Thonon-les-Bains,,6.4523604,,,,,,,,,,,,,2011-10-25,,,,,,,,,,,,clinic,,,,,,,,,,,46.3572713,,,,,,
,,,,,,,,,15,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,Cours Gambetta,,,,Centre médical et social - PMI,,,,,,,,,,,,,,,,,,,,,,,,-0.6020701,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.7275007,yes,,,,,
,,,,,,,,,10,limited,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2019,,,,,,,,Impasse de la Republique,,,,Centre médical pluridisciplinaire,,,,,,,,,,,,,,,,,,,,,,,,0.3708936,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.6468782,yes,,,,,
,,,,,,,,,,,,,+33 4 72 69 04 05,,,,,,,,,,Centre ostéo-articulaire Condorcet,,,,,,,,,,,,,,,,,,,,,,,,4.8673789,,,,,,,,,,,,,,https://www.institut-chirurgical.com/,,,+33 4 72 69 04 04,,,,,,,,clinic,,,,,,,,,,,45.7772483,hospital,,,yes,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,Chant' Ours,,,,,,,,,,,,,,,,,,,,,,,,6.6205666,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.9202160,yes,,,clinic,,
,,,,,,,,,50,,,,,,,,,,Rue de Paris,,,,Château D'Herblay,,,95220,,,,,,,,,,,,,,,,,,,Herblay,,2.1705230,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.9923165,yes,,,,,
,,,,,,,,,50,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,Rue de Paris,,,,Château D'Herblay,,,95220,,,,,,,,,,,,,,,,,,,Herblay,,2.1700603,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.9917363,yes,,,,,
,,,,,,,,,,yes,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,Clinique,,,,,,,,,,,,,,,,,,,,,,,,6.5886233,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,46.0634075,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Clinique Ambroise Paré,,,,,,,,,,,,,,,,,,,,,,,,2.2787592,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.8865953,yes,,,,,
,,,,,,,,,,,knowledge;GrandNancy Orthophotographie 2016,,,,,,,,,,,,Clinique Bellefontaine,,,,,,,,,,Clinea Cliniques,,,,,,,,,,,,,,6.1397384,,,,,,,Orpea,,,,,,,https://www.orpea.com/clinique-bellefontaine-nancy-54,,,,,,,,,,,clinic,private,,,,,,,,,,48.7035358,,,,,,
,,cardiology,,,,,,,4,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,Rue Des Vignes,,,,Clinique Cardiologue,,,,,,,,,,,,,,,,,,,,,,,,0.3856614,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.7447962,yes,,,clinic,,
,,,,,yes,,,,13,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,Rue Marcel Paul,,,+33 4 95 55 38 58,Clinique Chirurgicale Docteur Maymard,,,20200,,,,,,,,,yes,,,,polyclinique.maymard@wanadoo.fr,,,,,,Bastia,,9.4471360,http://www.clinique-maymard.com/,,,,Clinique Maymard,,,,24/7,+33 4 95 55 39 39,,,,,,,,,,,,,,,clinic,,,,,,,,,,,42.7006910,yes,,,,,
,,,,,,,,,9,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,Rue Edouard Amavet,,,,Clinique Chirurgicale de Martigues,,,13500,,,,,,,,,,,,,,,,,,,Martigues,,5.0522505,,,,,,,,,,,,,,,,,+33 4 42 35 42 35,,,,,,,,clinic,,,,,,,,,,,43.4012840,yes,,,,,
,,,,,,,640780268,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,,,,,Clinique Delay,,,,,,,,,,,,,,,,,,,,,,,,-1.4842996,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.4801082,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Clinique Embats,,,,,,,,,,,,,,,,,,,,,,,no,0.5282801,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.6409131,yes,,,,,
,,,,,yes,,,,22,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,Boulevard Benoite Danesi,,,+33 4 95 32 70 89,Clinique Filippi,,,20200,,,,,,,,,yes,,,,direction@clinique-filippi.fr,,,,,,Bastia,,9.4429543,http://www.clinique-filippi-2b.fr/,,,,,,,,"Mo-Sa 08:00-18:00; Su 09:00-12:00, 14:00-18:00",+33 4 95 34 89 89,,,,,,,,,,,,,,,clinic,,,,,,,,,,,42.6969210,yes,,,,,
,,,,,,,,,26,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,Boulevard Victor Hugo,,,,Clinique Hartmann,,,92200,,,,,,,,,,,,,,,,,,,Neuilly-sur-Seine,,2.2806591,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.8861223,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,Clinique Hoffmann,,,,,,,,,,,,,,,,,,,,,,,,2.4895968,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.8824481,hospital,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,Clinique Iris Marcy Etoile,,,,,,,,,,,,,,,,,,,,,,,,4.7038250,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.7890600,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Clinique Kerfriden,,,,,,,,,,,,,,,,,,,,,,,,-4.0907187,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.1954716,,,,clinic,,
,,,,,,,430007450,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,,,,,Clinique Korian Le Haut Lignon,,,,,,,,,,,,,,,,,,,,,,,,4.3044654,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.0684573,,,,,,
,,,,,,,,,168,,Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,Rue des Champs de Gond,,,,Clinique Korian les Deux Lys,,,74300,,,,,,,,,,,,,,,,,,,Thyez,,6.5535553,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,46.0780118,yes,,,,,
,,,,,,,940813090,,,,,,,,,,,,,,,,Clinique La Concorde,,365,,,,,,,,,,,,,,,,,,,,,,2.4244770,,,,,,,Clinea,,,,,,,https://www.orpea.com/clinique-la-concorde-alfortville-94,,,+33 1 45 18 28 28,,,,,,,,clinic,,,,,,,,,,,48.8047184,,,,,,
,,,,,,,,,,,Bing,,,,,,,,,,,,Clinique La Jauberte,,,,,,,,,,,,,,,,,,,,,,,,5.4063058,,,,,,,,,,,,,,https://www.lajauberte.com/,,,,,,,,healthcare,,,clinic,,,,,,,,,,,43.5382937,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,Mail Philippe Lamour,,,,Clinique Le Val d'Orb,,,34760,,,,,,,,,,,,,,,,,,,Boujan-sur-Libron,,3.2474947,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.3664627,yes,,,,,
,,,,,,,840014088,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,,,,,Clinique Les Cyprès,,,,,,,,,,,,,,,,,,,,,,,,4.8828162,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,emprise à affiner,,,,,,43.9245623,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Clinique Lille-Sud SOS Mains,,,,,,,,,,,,,,,,,,,,,,,,3.0895917,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,50.5896651,,,,clinic,,
,,,,,,,,,33 bis,,,,,,,,,,Rue du 8 Mai 1945,,,,Clinique Lyon Lumière,,,69330,,,,,,,,,,,,,,,,,,,,,4.9983329,,,,,,,,,,,,,,https://www.orpea.com/clinique-lyon-lumiere,,,,,,,,,,,clinic,,,,,,,,,,,45.7684870,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2014,,,,,,,,,,,,Clinique Manioukani,,,,,,,,,,,,,,,,,,,,,,,,-61.7142526,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,15.9819274,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,Clinique Mediazur,,,,,,,,,,,,,,,,,,,,,,,,5.6132590,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,institut psychiatrique,,,,,,43.3981460,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;fsef.net,,,,,,,,Avenue Paul Langevin,,,,Clinique Médico-Psychologique des 4 Cantons,,,59664,,,,,,,,,,,,,,,,,,,Villeneuve-d'Ascq,,3.1405486,,,,,,,,,24/7,,,,,http://www.fsef.net/index.php/etablissements/clinique-des-quatre-cantons/presentation-clinique-des-quatre-cantons,,,+33 3 20 43 88 10,,,,,,,,clinic,,,,,Tél après 21h : 03 20 43 88 14,,,,,,50.6047820,yes,,,clinic,,
,,orthopaedics;surgery;radiology,,,,,930300264,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,Clinique Paris Lilas,,128,,,,,,,,,,,,,,,,,,,,,,2.4227010,,,,,,,Clinique Paris Lilas – SAS – RCS Bobigny 702 010 091,,,,,,,,,,,,,,,,,data.gouv.fr:Ministère des Affaires sociales et de la Santé - 2014-05-05,clinic,,,,,,,,,,,48.8788001,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,+33 4 78 95 02 77,Clinique Part-Dieu,,,,,,,,,,,,,,,,bienvenue@clinique-part-dieu.com,,,,,,,,4.8455696,http://www.clinique-part-dieu.com/,,,,,,,,,+33 4 78 60 59 19,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.7595299,yes,,,,,
,,,,,,,170022826,,,yes,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Clinique Pasteur,,697,,,,,,,,,,,,,,,,,,,,,,-1.0252443,,,,,,,,,,,,,,http://www.clinique-pasteur-royan.fr/,,,+33 5 46 22 22 22,,,,,,,,clinic,private,,,,,,,,,,45.6538858,,,,,,
,,,,,,,740014519,,,,Bing,,,,,,30116075001154,,Impasse Henri Becquerel,,,+33 4 50 75 24 04,Clinique Pierre de Soleil,,,,,,,,,,,,,,,,vetrazmonthoux@orpea.net,,,,,,,,6.2481896,,,,,,,Orpea,,,+33 8 26 28 28 19,,,2014-04-30,,,,,,,,,,,,clinic,private,Clinique de Soins de Suite et de Réadaptation,,,,fr:Orpea,,,,,46.1800236,hospital,,,,,Q3347694
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Clinique Psychiatrique Universitaire,,,,,,,,,,,,,,,,,,,,,,,,0.6596379,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.3980639,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,Clinique Regina,,,,,,,,,,,,,,,,,,,,,,,,6.1416736,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.8791528,,,,,,
,,,,,,,670018068,,10,yes,"survey, BDOrtho IGN",,+33 3 69 06 07 27,,,,,,Rue Catherine Kany,,,,Clinique Rhéna,,697,67000,,,,,,,,,,,,,,,,,,,Strasbourg,,7.7937708,,,,,,,,,,,,,,https://www.clinique-rhena.fr/,,,+33 3 69 06 07 08,,,,,,,,clinic,private,,,,,,,,,,48.5715003,,,,hospital,,
,,,,,,,340780790,,,,,,,,,,,,,,,,Clinique Saint-Antoine,,,,,,,,,,,,,,,,,,,,,,,,3.6947219,,,,,,,,yes,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.6515386,,,,,,
,,,,,,,130784812,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,,,,,Clinique Saint-Barnabé,,,,,,,,,,,,,,,,,,,,,,,,5.3837782,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.3513907,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Clinique Saint-Jean,,,,,,,,,,,,,,,,,,,,,,,,5.9471410,,,,,,,,,,,,,,,,,,,,,,healthcare,,,clinic,,,,,,,,,,,43.1232780,,,,clinic,,
,,,,,,,130784598,,,,,,,,,,6580406400049,http://finess.sante.gouv.fr/,,,,,Clinique Saint-Martin,,109,,,,,,,,,,,,,,,,,,,,,,5.5055438,,,,,,,,,,,,,,,183,,,,,,,healthcare,,,clinic,,,,,,,Route des Camoins,,,,43.3012265,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Clinique Saint-Michel,,,,,,,,,,,,,,,,,,,,,,,,5.5447389,,,,,,,,,,,,,,,,,,,,,,healthcare,,,clinic,,,,,,,,,,,43.3086674,,,,clinic,,
,,,,,,,250000288,,6,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,,+33 3 81 39 26 94,,,,31945006000060,,Rue Émile Thomas,,,,Clinique Saint-Pierre,,365,25300,,,,,,,,,,,,,,,,,,,Pontarlier,,6.3491649,,,,,,,,,,,,,1956-10-25,,,,+33 3 81 38 83 00,,,,,,,,clinic,,,,,,,,,,,46.9056473,yes,,,hospital,FR,
,,,,,,,,,,,,,,,,,,,,,,,Clinique Saint-Roch,,,,,,,,,,,,,,,,,,,,,,,,3.2904641,,,,,,,,,,,,,,http://www.geriatrie-marchiennes.fr/,,,,,,,,,,,clinic,,,,,,,,,,,50.4054659,,,,clinic,,
,,,,,,,,,8,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,Rue de Paris,,,,Clinique Saint-Vincent,,,97400,,,,,,,,,,,,,,,,,,,Saint-Denis,,55.4490033,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,-20.8801027,yes,,,,,
,,,,,,,380780197,,,,,,,,,,,,,,,,Clinique Saint-Vincent de Paul,,,,,,,,,,,,,,,fence,,,,,,,,,5.2449659,,,,,,,,,,,,,,http://www.clinique-bourgoin.com/,,,,,,,,,,,clinic,,,,,,,,,,,45.5978423,,,,clinic,,
,,,,,,,,,,no,Bing + terrain,,,,,,,,,,,,Clinique Sainte-Élisabeth,,,,,,,,,,,,,,,,,,,,,,,,5.3923474,,,,,,,,,,,,,,https://www.clinique-sainte-elisabeth.fr/,,,,,Clinica Santa Elisabèt,,,healthcare,,,clinic,,,,,,,,,,,43.3003865,,,,clinic,,
,,,,,,,,,24 bis,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,Clinique Tivoli,,,,,,,,,,,,,,,,,,,,,,,,6.1903700,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,49.1048680,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Clinique Val Dracy,,,,,,,,,,,,,,,,,,,,,,,,4.7811569,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,46.7958225,yes,,,,,
,,,,,,84100,,,,yes,,,,,,?,,,Route du Parc,,,,Clinique d'Orange,,,,,,,,,,,,,,,,,,,,,,,,4.8209201,,,,,,,Capio,,,,,,,,,,,Clinique du Parc,,,,,limited,,clinic,,,,,,,,,,,44.1306843,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Clinique de Beaupuy,,,,,,,,,,,,,,,,,,,,,,,,1.5692898,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.6548648,,,,,,
,,,,,,,,,22,,,,,,,,,,Rue de Chatel-Guyon,,,,Clinique de Chatelguyon,,,23170,,,,,,,,,,,,,,,,,,,Viersat,,2.4250553,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,46.2718806,yes,,,,,
,,,,,,,,,85,,,,,,,,,,Route de Domont,,,,Clinique de Domont,,,95330,,,,,,,,,,,,,,,,,,,Domont,,2.3434832,,,,,,,Capio,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,49.0337926,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Clinique de Saint-Victor,,,,,,,,,,,,,,,,,,,,,,,,4.2654855,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.4537237,yes,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Clinique de l'Ange Gardien,,,,,,,,,,,,,,,,,,,,,,,,3.1428047,,,,,,,Ramsay Générale de Santé,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.9795413,,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,Clinique de l'Auzon,,,,,,,,,,,,,,,,,,,,,,,,3.1376190,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.7009650,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Clinique de la Baie,,,,,,,,,,,,,,,,,,,,,,,,-3.8324211,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.5943119,yes,,,,,
