health_facility:type,shop,office,healthcare:speciality,building:part,photo,description:de,addr:housenumber_1,health_specialty:occupational_therapy,note:de,health_specialty:ophthalmology,unimainz:buildingId,guest_house,contact:yelp,headframe:speciality,building:type,addr:housenumber,toilets,user_defined_other,man_made,seamark:type,opening_hours:note,TODO,created_by,healthcare:speciality:TCM,addr:state,name:de,source,payment:girocard,opening_hours:url,image,bdouble,fax,survey:date,emergency,building:roof,contact:facebook,historic,check_date:opening_hours,building:roof:material,tourism,wikimedia_commons,addr:street,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,ref:bldam,lastcheck,roof:orientation,name:1,source:outline,health_specialty:psychosomatic_medicine,elevator,health_specialty:psychiatry,amenity_1,designation,roof:height,operator,name:it,parking,loc_name,phone_1,est_height,lon,seamark:building:function,wikipedia,asb,access,health_specialty:gastroenterology,check_date,language:en,is_in,ref,email,building:height,contact:email,addr:source,roof:shape,doctors,building:use,healthcare:speciality:alternative,healthcare:speciality_1,min_level,name:hsb,health_specialty:general,addr:inclusion,country,atm,source:geometry,addr:city,source:building,language:de,disused:building,name:3,health_person:type,toilets:wheelchair,internet_access,health_specialty:diagnostic_radiology,telecom,ref:witten,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,healthcare:counselling,ele,short_name,area,opening_hours,contact:phone,addr:housename,heritage:website,indoor,contact:mobile,health_specialty:chiropractic,heritage,emergency_service,roof:ridge:direction,start_date,website,addr:hamlet,phone,official_name,changing_table,old_name,smoking,heritage:ref,opening_hours:signed,max_level,room,type,health_specialty:sports_medicine,healthcare:speciality:de,health_speciality:physiotherapy,wheelchair:description:de,buildingpart,architect,healthcare:for,dispensing,wikipedia:de,contact:phone_1,source:addr,wheelchair,amenity,speciality,operator:type,addr:place,name:2,building:flats,addr:suburb,generator:source,building:min_level,short_name:de,wikidata,addr:street_1,specialization,addr:district,doctor,building:levels,language:ar,health_facility,note,kvl_hro:type,specialisation,branch,doctors:de,FIXME,disused:amenity,description,healthcare:speciality:acupuncture,building:material,year_of_construction,health_specialty:family_medicine,kvl_hro:amenity,health_specialty:orthopaedics,building:architecture,lat,capacity,fax:2,medical_system:western,building,building:colour,url,roof:levels,floor,health_specialty:gynaecology,building:levels:underground,healthcare,onkz,addr:country,heritage:operator
,,,acupuncture,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Südring,,,,,Dr. Brockstedt,,,37124,,,,,,,,,,,,,,,,,,,9.9151825,,,,,,,,,,,,,,,,,,,,,,,,,,Rosdorf,,,,,,,,,,,,,,,,,,,,,,+49 5509 2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Obernjesa,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4574916,,,,residential,,,,,,,alternative,,DE,
,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,Ottobeurer Straße,,,,,Dr. Brösel und Dres. Baumann,,,87733,,,,,,,,,,,,,,,,,,,10.3938600,,,,,,,,,,,,,,,,,,,,,,,,,,Markt Rettenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9479087,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Bubel,,,,,,,,,,,,,,,,,,,,,,7.6062570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5831259,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,Bismarckstraße,,,,,Dr. Bugger,,,66333,,,,,,,,,,,,,,,,,,,6.8538964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zahnarzt-in-voelklingen.de/,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,Völklingen,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2509118,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Bürger,,,,,,,,,,,,,,,,,,,,,,7.5642631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9473840,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,Wilhelmstraße,,,,,Dr. Cesary Krüger und Dr. Heike Krüger,,,32257,,,,,,,,,,,,,,,,,,,8.5705579,,,,,,,,,,,,,,,,,,,,,,,,,,Bünde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1998435,,,,yes,,,,,,,,,DE,
,,,general,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Havelstraße,,,,,Dr. Christine Selack-Voigt - Hausarzt,,,16798,,,,,,,,,,,,,,,,,,,13.1422900,,,,,,,,,,,,,,,,,,,,,,,,,,Fürstenberg/Havel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 033093 32176,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1847863,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,Steinlachstraße,,,,,Dr. Christine Stegmann-Scharf,,,72116,,,,,,,,,,,,,,,,,,,9.1020851,,,,,,,,,,,,,,,,,,,,,,,,,,Mössingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3859365,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,Lübelner Straße,,,,,Dr. Christine Tobinsky,,,29439,,,,,,,,,,,,,,,,,,,11.1454031,,,,,,,,,,,,,,,,,,,,,,,,,,Lüchow,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 09:00-12:00, Tu,Th 17:30-19:00; PH off",,,,,,,,,,,,,+49 5841 9627,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9667323,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Cornelius,,,,,,,,,,,,,,,,,,,,,,10.8100214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7477704,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Daiker,,,,,,,,,,,,,,,,,,,,,,11.5092029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8927086,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,An der Lohschule,,,,,Dr. Dannbeck,,,59069,,,,,,,,,,,,,,,,,,,7.8607236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6306389,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,18a,,,,,,,,,,,,,,,,,,,,,,,,,,Sollingbreite,,,,,Dr. David Riemer,,,37639,,,,,,,,,,,,,,,,,,,9.4937916,,,,,,,,,,,,,,,,,,,,,,,,,,Bevern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 5531 993047,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8549957,,,yes,detached,,,,,,,,,DE,
,,,physiatry,,,,,,,,,,,,,12,,,,,,,,,,,"Bing, Local Knowledge",,,,,+49 9771 6876297,,,,,,,,,,Martin-Luther-Straße,,,,,Dr. Delia Kuzman-Anton,,,97616,,,,,,,,,,,,,,,,,,,10.2086638,,,,,,,,,,dr.kuzman@t-online.de,,,,,,,,,,,,,,,,Bad Neustadt an der Saale,,,,,,,,,,,,,,,,,,,,,"Mo,Th 08:30-13:00; Tu,We 08:30-13:00,14:00-17:00",,,,,,,,,,,,,+49 9771 6876296,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3224238,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Am Rathaus,,,,,Dr. Dentler,,,77736,,,,,,,,,,,,,,,,,,,8.0811149,,,,,,,,,,,,,"Datenquelle:Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,Zell am Harmersbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,Unterharmersbach,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3521088,,,,house,,,,,,,,,DE,
,,,general,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,Lange Straße,,,,,Dr. Derdowski,,,,,,,,,,,,,,,,,,,,,,9.1893554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6950623,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,Sophie-Scholl-Straße,,,,,Dr. Dietrich & Dr. Frank,,,92224,,,,,,,,,,,,,,,,,,,11.8485448,,,,,,,,,,,,,,,,,,,,,,,,,,Amberg,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4326741,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Auweg,,,,,Dr. Draxler,,,91220,,,,,,,,,,,,,,,,,,,11.3413247,,,,,,,,,,,,,,,,,,,,,,,,,,Schnaittach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5568416,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,6a,,,,,,,,,,,,,,,,,,,,,,,,,,Raiffeisenstraße,,,,,Dr. Dsivanska,,,34295,,,,,,,,,,,,,,,,,,,9.3820966,,,,,,,,,,,,,,,,,,,,,,,,,,Edermünde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2202144,,,,office,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Rückertstraße,,,,,Dr. E. Charlotte Krämer,,,,,,,,,,,,,,,,,,,,,,10.2764467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo 08:00-11:00,16:00-18:00; Tu 08:00-11:00; We 09:00-11:00; Th 08:00-11:00,16:00-18:00; Fr 08:00-11:00,15:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,General medicine,,,,,,,,,,,,,,,,,,,,,50.0219355,,,,house,,,,,,,,,,
,,,,,,,,,,,,,,,,20c,,,,,,,,,,,HiRes aerial imagery,,,,,,,,,,,,,,,Hans-Willy-Mertens-Straße,,,,,Dr. E. Elbern,,,53842,roof_tiles,,,across,,,,,,,,,,,,,,,7.1221887,,,,,,,,,,,,,,gabled,,,,,,,,,,,,Troisdorf,,,,,,,,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Spich,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8281648,,,,yes,brown,,,,,,,,DE,
,,,general,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,Kulmbacher Straße,,,,,Dr. Eberhard Halbauer (Allgemeinmedizin),,,95233,,,,,,,,,,,,,,,,,,,11.6945410,,,,,,,,,,,,,,,,,,,,,,,,,,Wüstenselbitz,,,,,,,,,,,,,,,,,,,,,Mo-Fr 07:30-11:00;Tu 16:00-18:00;Th 16:00-17:30,+49 (0)9252 8831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2154543,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Queichstraße,,,,,Dr. Eckard Bauer,,,76846,,,,,,,,,,,,,,,,,,,7.8513509,,,,,,,,,,,,,,,,,,,,,,,,,,Hauenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1908404,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,Untere Bahnhofstraße,,,,,Dr. Eichinger (Allgemeinarzt),,,91186,,,,,,,,,,,,,,,,,,,11.0704672,,,,,,,,,,,,,,,,,,,,,,,,,,Büchenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2677718,,,,yes,,http://www.praxis-dr-eichinger.de/,,,,,doctor,,,
,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Marktplatz,,,,,Dr. Eiman Mubarak,,,64760,,,,,,,,,,,,,,,,,,,8.9734287,,,,,,,,,,,,,,,,,,,,,,,,,,Oberzent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Beerfelden,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5684543,,,,yes,,,,,,,doctor,,DE,
,,,ophthalmology,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,Frankfurter Straße,,,,,"Dr. Engelbrecht, Dr. Sauer und Dr. Rais",,,64293,,,,,,,,,,,,,,,,,,,8.6503227,,,,,,,,,,,,,,,,,,,,,,,,,,Darmstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8794627,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,Alstedder Straße,,,,,Dr. Engels,,,44534,,,,,,,,,,,,,,,,,,,7.4942792,,,,,,,,,,,,,,,,,,,,,,,,,,Lünen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6276502,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,+49 8340 567,,,,,,,,,,Allgäuer Straße,,,,,Dr. Engstler & Dr. Lingenheil,,,87650,,,,,,,,,,,,,,,,,,,10.5414367,,,,,,,,,,,,,,,,,,,,,,,,,,Baisweil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 8340 500,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9440792,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Hafenstraße,,,,,Dr. Enno Wilters,,,26553,,,,,,,,,,,,,,,,,,,7.4752817,,,,,,,,,,,,,,,,,,,,,,,,,,Dornum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Dornumersiel,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6748954,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,Bornwiesenweg,,,,,Dr. Ernst Weingärtner,,,63594,,,,,,,,,,,,,,,,,,,9.0906077,,,,,,,,,,,,,,,,,,,,,,,,,,Hasselroth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,Neuenhaßlau,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1624916,,,,yes,,,,,,,,,DE,
,,,general,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,Echterstraße,,,,,Dr. Ertel,,,97241,,,,,,,,,,,,,,,,,,,10.0642603,,,,,,,,,,,,,,,,,,,,,,,,,,Bergtheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 9367 90990,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8960143,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,Hauptstraße,,,,,Dr. Eva Wulf,,,,,,,,,,,,,,,,,,,,,,8.0405339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6640587,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Eyni,,,,,,,,,,,,,,,,,,,,,,7.3356440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1488471,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,11a,,,,,,,,,,,,,,,,,,,,,,,,,,Rupertistraße,,,,,Dr. Fickler,,,84518,,,,,,,,,,,,,,,,,,,12.5857042,,,,,,,,,,,,,,,,,,,,,,,,,,Garching an der Alz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1347599,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dr. Fink, Kohlhaas",,,,,,,,,,,,,,,,,,,,,,7.8166429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7442998,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,Bing 2014,,,,,,,,,,,,,,,Wasseler Weg,,,,,Dr. Fleige,,,31319,,,,,,,,,,,,,,,,,,,9.9371488,,,,,,,,,,,,,,,,,,,,,,,,,,Sehnde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,Wehmingen,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2967067,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,Im Kirchenfeld,,,,,Dr. Folz-Schmidt,,,66333,,,,,,,,,,,,,,,,,,,6.8376790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2371997,,,,house,,,,,,,,,,
,,,general,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,Rathausstraße,,,,,Dr. Frank Scheuplein,,,95659,,,,,,,,,,,,,,,,,,,12.1867076,,,,,,,,,,,,,,,,,,,,,,,,,,Arzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0561321,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,Dr. Franz Erhard,,,,,,,,,,,,,,,,,,,,,,8.1145238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6391940,,,,yes,,,,,,,,,,
,,,general,,,,,,,,,,,,,222a,,,,,,,,,,,,,,,,,,,,,,,,,,Leipziger Straße,,,,,Dr. Freudenstein,,,38124,,,,,,,,,,,,,,,,,,,10.5233985,,,,,,,,,,,,,,,,,,,,,,,,,,Braunschweig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Stöckheim,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2105230,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Frieß,,,,,,,,,,,,,,,,Jörg Frieß,,,,,,9.2225016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9014549,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,Am Markt,,,,,Dr. Funder,,,15377,,,,,,,,,,,,,,,,,,,14.0730234,,,,,,,,,,,,,,,,,,,,,,,,,,Buckow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5683535,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,Heßbergstraße,,,,,Dr. Funk,,,71543,,,,,,,,,,,,,,,,,,,9.4576674,,,,,,,,,,,,,,,,,,,,,,,,,,Wüstenrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0767379,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,Poststraße,,,,,Dr. Gabriele Mayerhofer,,,55566,,,,,,,,,,,,,,,,,,,7.6556116,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Sobernheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7838714,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,Bahnhofstraße,,,,,Dr. Gabriele Schallhorn,,,29348,,,,,,,,,,,,,,,,,,,10.2331197,,,,,,,,,,,,,,,,,,,,,,,,,,Eschede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7368522,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,20,,,,,,,,,,,Bing Sat,,,,,,,,,,,,,,,Haintorstraße,,,,,Dr. Gauß,,,67251,,,,,,,,,,,,,,,,,,,8.2095872,,,,,,,,,,,,,,,,,,,,,,,,,,Freinsheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5058104,,,,house,,,,,,,,,DE,
,,,,,,,,,,,,,,,,24,,,,,,,,,,,HiRes aerial imagery,,,,,,,,,,,,,,,Heidestraße,,,,,Dr. Geissler,,,51147,roof_tiles,,,along,,,,,,,,4,,,,,,,7.0890889,,,,,,,,,,,,,,gabled,,residential;industrial,,,,,,,,,,Köln,,,,,,,,,,,,grey,,13,,,,,,,,,,,,,,,,,,,,+49 2203 64064,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,Wahn,,,,,,,,,3,,,,,,,,,,,,,,,,,,50.8577842,,,,yes,white,,1,,,,,,DE,
,,,general,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,Ringstraße,,,,,Dr. Gembe Facharzt für Allgemeinmedizin,,0,69427,,,,,,,,,,,,,,,,,,,9.1532763,,,,,,,,,,,,,,,,,,,,,,,,,,Mudau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Schloßau,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5367380,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,Kirchstraße,,,,,Dr. Georg Reichert,,,38700,,,,,,,,,,,,,,,,,,,10.6696336,,,,,,,,,,,,,,,,,,,,,,,,,,Braunlage,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,Hohegeiß,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6634287,,,,house,,,,,,,,,,
,,,,,,,,,,,,,,,,24a,,,,,,,,,,,,,,,,,,,,,,,,,,Traunring,,,,,Dr. Gerhard Haindl & Dr. Richard Feilhuber,,,83301,,,,,,,,,,,,,,,,,,,12.5866670,,,,,,,,,,,,,,,,,,,,,,,,,,Traunreut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9601537,,,,yes,,,,,,,,,,
