shop,health_facility:type,office,building:part,indoor,payment:alipay,payment:cash,currency:others,postal_code,language:tr,source:outline,construction_year,source:position,addr:housenumber,toilets,payment:debit_cards,payment:unionpay,addr:state,name:de,source,image,fax,survey:date,note:de,building:roof,ref:lda,contact:facebook,historic,currency:EUR,tourism,wikimedia_commons,addr:street,delivery,source:name,fixme,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,website:operator,payment:credit_cards,payment:contactless,lastcheck,roof:orientation,internet_access,payment:mastercard,opening_hours:text,house,designation,roof:height,owner,BLfD:criteria,fixme:wikipedia,payment:american_express,source:addr,payment:maestro,network,lda:criteria,internet_access:fee,wikipedia,access,ref:Alsdorf,check_date,language:en,ref,email,building:height,contact:email,opening_hours:lastcheck,roof:shape,building:use,tenant,atm,source:geometry,addr:city,source:building,language:de,toilets:wheelchair,drive_through,lon,contact:website,roof:colour,layer,height,phone:mobile,alt_name,operator,ele,emergency:iodine_tablets,wheelchair:description:en,area,opening_hours,payment:jcb,contact:phone,addr:housename,check-date,heritage,ref:BLfD,type,start_date,website,addr:unit,payment:ep_geldkarte,lfd:criteria,brand,source:date,phone,old_name,smoking,payment:cryptocurrencies,payment:account_cards,opening_hours:signed,internet_access:operator,room,tunnel,roof,wheelchair:description:de,buildingpart,dispensing,wheelchair,inscription,amenity,operator:type,addr:hamlet,addr:suburb,payment:discover_card,wikidata,payment:notes,language:ru,payment:v_pay,medical_system:western,addr:district,payment:girocard,building:levels,payment:visa_debit,surveillance,note,demolished,opening_hours:check_date,ref:lfd,description,building:material,healthcare,payment:visa,building:architecture,lat,source:metrics,3dr:type,building,building:colour,payment:coins,url,roof:levels,source:address,source:addr:housenumber,payment:diners_club,year_of_construction,addr:country,heritage:operator
,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,Jülicher Straße,,,,,Barbara-Apotheke,,,52249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eschweiler,,,,,6.2718935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.8363093,,,yes,,,,,,,,,,
,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,Schmidtgasse,,,,+49 6051 2476,Barbarossa-Apotheke,,,63571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelnhausen,,,,,9.1925877,http://www.barbarossa-apotheke.de/,,,,,,Klaus Krieg,,,,,"Mo 09:00-13:00,14:30-18:15; Tu-Fr 08:30-13:00,14:30-18:15; Sa 09:00-13:00",,+49 6051 3666,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,50.2011648,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,Rotenburger Straße,,,,,Bartenwetzer Apotheke,,,34212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melsungen,,,,,9.5448086,,,,,,,Alexander Schröder,,,,,"Mo-Tu, Th-Fr 08:30-12:30; 14:30-18:30; We, Sa 08:30-12:30",,,,,,,,,https://www.bartenwetzer-apotheke.de/,,,,,,+49 5661 73820,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.1305384,,,yes,,,,,,,,,,
,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,Hauptstraße,,,,,Bartholomäus Apotheke,,,93197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeitlarn,,,,,12.1068683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.0768627,,,yes,,,,,,,,,,
,,,,,,,,,,,,,47,,,,,,,,+49 6292 7510,,,,,,,,,,Bahnhofstraße,,,,,Bauland Apotheke,,,74743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seckach,,,,,9.3359336,,,,,,,Petra Eberhard,,,,,"Mo-Fr 08:00-12:30,14:00-18:00; Sa 08:00-13:00",,,,,,,,,https://www.bauland-apotheke-seckach-app.de/,,,,,,+49 6292 264,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.4426376,,,yes,,,,,,,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,Bofsheimer Straße,,,,,Bauland Apotheke,,,74749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosenberg,,,,,9.4536709,,,,,,,,,,,,,,+49 6295 2 12,,,,,,,,,,,,,,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.4862008,,,yes,,,,,,,,,,
,,,,,,,,,,,,,5a,,,,,,,,+49 7634 621344,,,,,,,,,,Marktstraße,,,,,Bauland-Apotheke,,,74740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adelsheim,,,,no,9.3910605,,,,,,,Petra Eberhard,,,,,"Mo-Th 08:30-12:30,14:30-18:30; We,Fr 08:30-13:00",,,,,,,,,http://www.bauland-apotheke.de/,,,,,,+49 6291 6213 0,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.4027460,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bavaria Aphoteke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4553462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,48.9280070,,,yes,,,,,,,,,,
,,,,,,,,,,,,,2a,,,,,,Bing,,,,,,,,,,,,Friedrich-Fuckel-Straße,,,,,Bavaria Apotheke,,,83064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raubling,,,,,12.1144768,,,,,,,,,,,,Mo-Fr 08:15-18:30; Th 08:15-20:00; Sa 08:30-13:00,,,,,,,,,https://www.bavaria-apotheke-raubling.de/,,,,,,+49 8035 2450,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,47.7913411,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,379,,,,,,,,+49 2207 706007,,,,,,,,,,Kölner Straße,,,,,Bechener Apotheke,,,51515,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@bechener-apotheke.de,,,,,,,,,Kürten,,,,,7.2102741,,,,,,,H. Arno Regelein,,,,,"Mo-Sa 08:00-13:00; Mo-Tu,Th-Fr 14:30-18:30",,,,,,,,,https://www.bechener-apotheke-kuerten.de/,,,,,,+49 2207 5445,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.0397345,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beethoven Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0785436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,49.3727534,,,yes,,,,,,,,,,
,,,,,,,,,,,,,102,,,,,,,,,,,,,,house,,,,Metzer Straße,,,,,Bellevue-Apotheke (ehemaliges Wirtshaus zur Bellevue),,,66117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saarbrücken,,,,,6.9765285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.2259752,,,yes,,,,,,,,,,
,,,,,,,,,,,,,2 A,,,,,,,,,,,,,,,,,,Heinrich-Lanz-Straße,,,,,Bentrites Apotheke,,,67259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beindersheim,,,,,8.3252297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.5584721,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Altstadtparkplatz,,,,,Berg Apotheke,,,49545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tecklenburg,,,,,7.8149197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.2197722,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,Stummstraße,,,,+49 6831 707110,Berg- und Hütten Apotheke,Öffentliche Behindertentoiletten mit Euro-Schlüssel befinden sich ca. 20m weiter in Hüttenwerkstraße 38 im Haus der Energie,,66763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@bergundhuetten-apotheke.de,,,,,,,Dillingen/Saar,,,,,6.7290460,http://www.bergundhuetten-apotheke.de/,,,,,,Sandra Radke,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:30,,+49 6831 707004,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.3544893,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,Simmerner Straße,,,,,Berg-Apotheke,,,56075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koblenz,,,,,7.5772700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,50.3423625,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bergapotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5152657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.8759963,,,yes,,,,,,,,,,
,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,Berghamer Straße,,,,,Bergham Apotheke,,,93149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2765593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.2009306,,,,,,,,,,,,DE,
,,,,,,yes,,,,,,,106,,yes,,,,,,,,,,,,,,,,Kaiserstraße,,,,,Bergische Apotheke,,,42477,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radevormwald,,,,,7.3592320,,,,,,,Klaus Bültmann,,,,,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.2024308,,,yes,,,https://www.bergische.com,,,,,,DE,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Alte Staatsstraße,,,,,Bergmann-Apotheke,,,09376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipped,,,,,Oelsnitz/Erzgeb.,,,,,12.7043406,,,,,,,,,,,,"Mo-Fr 08:00-13:00,14:00-18:00; Sa 08:00-12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,2,,,,,,,,,,,,50.7245787,,,apartments,,,,1,,,,,,
,,,,,,,,,,,,,9,,,,,,,,+49 7245 10586,,,,,,,,,,Badenstraße,,,,,Bernhardus Apotheke,,,76467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bietigheim,,,,,8.2544567,,,,,,,,,,,,"Mo-Fr 08:30-12:30,14:15-19:00; Sa 08:30-13:00",,,,,,,,,https://www.bernhardus-apotheke-bietigheim.de/,,,,,,+49 7245 2476,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,48.9131197,,,yes,,,,,,,,,DE,
,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beyl´sche Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2613121,,,,,,,,,,,,"Mo-Fr 08:00-13:00,15:00-18:00; Sa 08:00-13:00",,+49 5624 99770,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.2447338,,,,,,,,,,,,,
,,,,,,,,,,,,,44,,,,,,Bing,,,,,,,,,,,,Hauptstraße,,,,,Bienenberg Apotheke,,,79364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malterdingen,,,,,7.7946174,,,,,,,,,,,,"Mo-Fr 08:00-12:30, Mo,Fr 14:30-18:30; Tu,Th 14:30-19:00; Sa 08:30-12:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,48.1615755,,,apartments,,,,,,,,,,
,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,Böblinger Straße,,,,,Bihlplatz-Apotheke,,,70199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuttgart,,,,,9.1517247,,,,,,,,,,,,"Mo-Fr 08:30-13:00,14:30-18:30; Sa 08:30-12:30",,,,,,,,,http://www.bihlplatz-apotheke.de/,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,48.7600656,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,38,,,,,,3dShapes,,,,,,,,,,,,Holzgraben,,,,,Birken Apotheke,,,52525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinsberg,,,,,6.0796006,,,,,,,,,,,,"Mo-Sa 08:00-12:30; Mo,Tu,Th,Fr 14:15-18:30",,,,,,,,,,,,,,,+49 2452 156966,,,,,,,,,,,,yes,yes,,pharmacy,,,Karken,,,,,,,,,,,,,,,,,,,,,51.1029360,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,Bümmersteder Tredde,,,,,Birken-Apotheke,,,26133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oldenburg,,,,,8.2289921,,,,,,,Dr. Gabriele Röscheisen-Pfeifer,,,,,,,+49 441 42397,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,53.0953513,,,yes,,,,,,,,,,
,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,Kleinseebacher Straße,,,,+49 9131 41707,Birken-Apotheke,,,91096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birken-Apo-Moehrendorf@gmx.de,,,,,,,Möhrendorf,,,,,11.0037496,http://www.birken-apo-moehrendorf.de/,,,,,,Brigitte Holtappels,,,,,"Mo-Fr 08:30-13:00,14:00-18:30; Sa 08:30-13:00",,+49 9131 41844,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.6419430,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,85,,,,,,Bing,,,,,,,,,,,,Kurmainzer Straße,,,,,Birkenapotheke,,,61440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oberursel (Taunus),,,,,8.5929809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.1800660,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,24,,,,,,,,+49 39932 13340,,,,,,,,,,Clara-Zetkin-Ring,,,,,Birkholz-Apotheke,,,17213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malchow,,,no,,12.4206631,,,,,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,,,,,,www.birkholz-apotheke.de,,,,,,+49 39932 13365,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,53.4743306,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,19,,,,,,GPS,,,,,,,,,,,,Glanstraße,,,,,Blumen Apotheke,,,66901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schönenberg-Kübelberg,,,,,7.3743340,,,,,,,,,,,,,,,,,,,,,https://www.apotheken.de/club/66901/blumen-apotheke/,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.4097717,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Blumenstraße,,,,,Blumen Apotheke,,,59555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lippstadt,,,,,8.3456008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.6715408,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,Leinenweberstraße,,,,,Blumen-Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5959853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,49.1936780,,,yes,,,,,,,,,,
,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,Rappenwörthstraße,,,,,Blumen-Apotheke,,,76287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rheinstetten,,,,,8.3011086,,,,,,,,,,,,"Mo-Fr 08:00-13:00,14:30-18:30; Sa 08:00-13:00",,,,,,,,,,,,,,,+49 7242 5555,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,2,,,,,,,,,pharmacy,,,48.9655101,,,apartments,,,,1,,,,,DE,
,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,Mainzer Straße,,,,,Blumenparkapotheke,,,55411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bingen am Rhein,,,,,7.9025249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,49.9687884,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,Blumenrather Straße,,,,,Blumenrather Apotheke,,,52477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alsdorf,,,,,6.1883022,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 2404 61812,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.8613049,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Wuppertalstraße,,,,+49 2171 733318,Blüten-Apotheke,,,51381,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-15,,,,,info@blueten-apotheke.de,,,,,,,Leverkusen,,,,,7.0342094,http://www.blueten-apotheke.de/,,,,,,Stefan Küppers,,,,,Mo-Fr 08:30-18:30; Sa 08:30-13:00; PH off,,+49 2171 733317,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.0779549,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,84; 86,,,,,,,,,,,,,,,,,,Dr.-Rörig-Damm,,,,,Bonifatius Apotheke,,,33102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paderborn,,,,,8.7594211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.7390105,,,yes,,,,,,,,,,
,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,Freiheitsstraße,,,,+49 2362 965041,Bonifatius Apotheke,,,46284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bonifatius-apotheke-dorsten@t-online.de,,,,,,,Dorsten,,,,,6.9508267,http://www.akwl.de/apothekenschild.php?aid=01047002,,,,,,Hanns-Jürgen Schnurrer,,,,,"Mo-Fr 08:30-13:00,14:30-18:00; We 08:30-13:00; Sa 09:00-13:00",,+49 2362 62511,Bonifatius Apotheke Inh. Schnurrer Hanns-Jürgen,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,Holsterhausen,,,,,,,,,,,,,,,,,,,,,51.6809548,,,house,,,,,,,,,DE,
,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,Salzufler Straße,,,,,Bornapotheke,,,32108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Salzuflen,,,,,8.7859667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.1014882,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,Borussiastraße,,,,,Borussia-Apotheke,,,44149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dortmund,,,,,7.3803421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.4874009,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,Höchster Straße,,,,,Breuberg-Apotheke,,,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breuberg,,,,,9.0174167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.8177330,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brohltal-Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2212203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,50.4598469,,,yes,,,,,,,,,,
,,,,,,,,,,,,,1a,,,,,,,,+49 531 877503,,,,,,,,,,Turmstraße,,,,,Broitzemer Apotheke,,,38122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,Braunschweig,,,,,10.4806947,,gray,,,,,,,,,,"Mo,Tu,Th,Fr 08:00-13:30, We 08:00-13:00, Sa 09:00-13:00, Mo,Tu,Th,Fr 14:30-19:00, We 15:00-18:00",,,,,,,,,http://www.broitzemer-apotheke.de,,,,,,+49 531 873518,,,,,,,,,,,,,yes,,pharmacy,,,Broitzem,,,,,,,,,1,,,,,,,,,pharmacy,,,52.2338365,,,yes,,,,0,,,,,DE,
,,,,,,,,,,,,,17a,,,,,,,,,,,,,,,,,,Oberdorfelder Straße,,,,,Brunnen Apotheke,,,61138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8014905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.1934236,,,yes,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Sankt-Annen-Straße,,,,,Brunnen Apotheke,,,49624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Löningen,,,,,7.7567257,,,,,,,,,,,,"Mo-Fr 08:30-18:30; Sa 08:00-13:00; Su,PH off",,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.7357032,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,Weilbacher Straße,,,,,Brunnen-Apotheke,,,65719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,8.4201104,,,,,,,,,,,,,,,,,,,,,https://www.brunnenapotheke-hofheim.de/,,,,,,,,,,,,,,,,,,yes,no,,pharmacy,,,Diedenbergen,,,,,,,,,,,,,,,,,,pharmacy,,,50.0608430,,,yes,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Peter-Grave-Straße,,,,,Brunnen-Apotheke,,,26419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schortens,,,,,7.9902236,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 4423-6241,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,53.5525145,,,yes,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Bildäckerstraße,,,,,Brunnen-Apotheke,,,70619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuttgart,,,no,,9.2324882,,,,,,,,,,,,"Mo-Fr 08:30-13:00,14:30-18:30; Sa 08:30-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,yes,limited,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,48.7463898,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Weimarische Straße,,,,,Brunnen-Apotheke,,,99439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am Ettersberg,,,,,11.3425740,,,,,,,,,,,,,,+49 36451 60217,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,Buttelstedt,,,,,,,,,,,,,,,,,,,,,51.0751815,,,commercial,,,,,,,,,DE,
,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,Bahnhofstraße,,,,,Brunnen-Apotheke,,,26810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westoverledingen Ihrhove,,,,,7.4501280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,53.1658320,,,yes,,,,,,,,,,
,,,,,,,,,,,,,42,,,,,,bing,,,,,,,,,,,,Mitterweg,,,,,Brunnenapotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5853887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,48.1332139,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,building,,,,,,,,,Brunnenapotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9285578,,,,,,,,,,,,,,,,,4,,,1910,,,,,,,,ehem. Bahnhof,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.3353802,,,yes,,,,,,,,,,
,,,,,,,,,,,,,50,,,,,,HiRes aerial imagery,,,,,,,,,,,,Landgrafenstraße,,,,,Brunnenapotheke,,,53842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Troisdorf,,,,,7.1377869,,,,,,,,,,,,"Mo,Tu,Th,Fr 08:30-13:00,14:30-18:30; We 08:30-13:00;Sa 09:00-13:00",,+49 2241 408 688,,,,,,,,,,,,,,,,,,,,,,,,,yes,limited,,pharmacy,,,Oberlar,,,,,,,,,,,,,,,,,,,,,50.8134010,,,residential,,,,,,,,,DE,
